Time;AccX;AccY;AccZ;Acc-old;Acc-trns
59:55.1;-0.044035538166526535;-0.22771754308370518;-0.8804375711599983;0.909;0.008828732629305572
59:55.1;-0.042949904311012525;-0.23265739732829124;-0.9007707935291087;0.8909999999999999;0.009001053898652071
59:55.1;-0.04178236150330961;-0.23744240125372046;-0.9205057773816323;0.894;0.009132249674737759
59:55.1;-0.040437002659269757;-0.24191856290405742;-0.9390581321430997;0.924;0.009186300091073865
59:55.1;-0.0389320679582149;-0.24591311347511835;-0.955810027920561;0.975;0.009150835404781978
59:55.1;-0.03740189248659984;-0.24924914066104403;-0.9701506346637482;1.023;0.009044122149557224
59:55.2;-0.0360597147911394;-0.2517760181615483;-0.9815486768150631;1.075;0.008911452370552414
59:55.2;-0.0351367804418631;-0.25340457339455486;-0.9896354078171227;1.075;0.008811536386262487
59:55.2;-0.03481899809557095;-0.2541338543921685;-0.9942712985906056;1.069;0.008797994711041044
59:55.2;-0.0351988988763827;-0.2540593414802278;-0.9955768581915054;1.051;0.008903054641311199
59:55.2;-0.03625187013420426;-0.25335927724613355;-0.9939220018012203;1.03;0.009128922736556253
59:55.2;-0.0378379078338728;-0.2522635206568945;-0.9898806019059133;1.012;0.009448532936424352
59:55.2;-0.0397257800820939;-0.2510147351764035;-0.9841628480630059;1.002;0.00981383194948768
59:55.2;-0.041633712848142324;-0.24983272080161278;-0.9775386730072818;0.997;0.010167833079254812
59:55.2;-0.04327819788647486;-0.24888921633063643;-0.9707627828159204;0.992;0.010456548750853617
59:55.2;-0.044421212425767125;-0.24829502400914827;-0.9645077023020898;0.98;0.010638101365615738
59:55.3;-0.04490727967300776;-0.24809734812972917;-0.959308174060791;0.9670000000000001;0.01068801402504345
59:55.3;-0.044685006980836564;-0.2482843939926913;-0.9555198309644466;0.961;0.010601100645607191
59:55.3;-0.043811348579453055;-0.24879525855408557;-0.9532963230708147;0.961;0.010390983112955013
59:55.3;-0.04243948784291378;-0.2495338325075753;-0.9525893353216844;0.9670000000000001;0.010088004937596344
59:55.3;-0.040792681200239295;-0.25038526484007745;-0.9531736259507484;0.98;0.009735607026140621
59:55.3;-0.03912758601911634;-0.25123317884483665;-0.9546949651270752;0.998;0.009384792626492633
59:55.3;-0.03769247892911533;-0.25197564991849214;-0.9567340517758667;1.013;0.009086664773206167
59:55.3;-0.036687648765864146;-0.252537957597399;-0.958875518492874;1.021;0.008884004584821218
59:55.3;-0.03623536597892515;-0.25288028893731723;-0.960769601751543;1.022;0.008803733448086099
59:55.4;-0.03636475492536611;-0.25299898862960907;-0.9621759369141917;1.02;0.008852255524531113
59:55.4;-0.0370136430341691;-0.2529209784285165;-0.9629835548599234;1.0;0.00901499636776413
59:55.4;-0.038045673612170774;-0.25269277718781274;-0.9632069369489058;1.0;0.009260143313102672
59:55.4;-0.03927738599948201;-0.2523673380919132;-0.9629630478508273;1.0;0.009545206884004774
59:55.4;-0.04050871660883021;-0.25199228788386446;-0.9624363570702842;0.99;0.009824438861186783
59:55.4;-0.04155206827805859;-0.2516018854603506;-0.9618379504545622;0.9790000000000001;0.010055610572312476
59:55.4;-0.04225697339720155;-0.2512134474990593;-0.9613641741091501;0.9740000000000001;0.01020538058676305
59:55.4;-0.04252776337009629;-0.2508280769137853;-0.9611613451307726;0.976;0.01025285906846223
59:55.4;-0.042332109528149746;-0.25043501302202886;-0.9613032652460396;0.983;0.010191201196333873
59:55.4;-0.04169990861592936;-0.2500184075313276;-0.9617854276146725;0.992;0.010027329369075954
59:55.4;-0.04071386677199416;-0.24956491457426683;-0.9625351352448798;1.0;0.009780081457864201
59:55.5;-0.03949430466818702;-0.2490703768303103;-0.9634327949237986;1.002;0.00947715482019805
59:55.5;-0.03818099893644509;-0.24854410450821546;-0.9643380188324497;1.003;0.009151242035585677
59:55.5;-0.036914719107906314;-0.24800981308257206;-0.9651149542207224;1.003;0.0088358325757677
59:55.5;-0.03582089804226902;-0.24750320096282;-0.9656533368165988;1.005;0.008561276729392955
59:55.5;-0.034997432970306275;-0.2470669315940526;-0.9658835893436651;1.008;0.008351713723804893
59:55.5;-0.034507782695492616;-0.24674402177068025;-0.9657849644869755;1.006;0.008223262116763583
59:55.5;-0.03437952847460393;-0.24657060773954526;-0.965385725366428;0.998;0.008183556673430781
59:55.5;-0.03460763020771679;-0.24656911610177398;-0.9647551542293211;0.991;0.008232422431751225
59:55.5;-0.03516084706119657;-0.24674294434311705;-0.9639894249930894;0.987;0.008363274310524946
59:55.5;-0.03598935912466928;-0.24707370732341521;-0.9631956115010633;0.987;0.00856475886318724
59:55.6;-0.03703168295857748;-0.24752182380249418;-0.9624784263931742;0.9890000000000001;0.008822221343558655
59:55.6;-0.0382195880903013;-0.2480305732329793;-0.9619324685760235;0.998;0.00911876036907499
59:55.6;-0.03948084290162613;-0.24853288587516137;-0.9616399023987462;0.998;0.00943588750453835
59:55.6;-0.04074090231872724;-0.2489595565716211;-0.9616709261044007;1.001;0.00975407142764935
59:55.6;-0.04192528294532446;-0.24924762620606233;-0.9620833514651238;1.0;0.010053556720802508
59:55.6;-0.04296382809607724;-0.24934801408107865;-0.9629184789499993;0.9990000000000001;0.010315692909651465
59:55.6;-0.04379692776654248;-0.2492316020537837;-0.9641923482543829;0.9940000000000001;0.01052471723975154
59:55.6;-0.044382833301259285;-0.24889296774972824;-0.9658835366853411;0.9890000000000001;0.010669705023425687
59:55.6;-0.044704546429285896;-0.24835121546843633;-0.967920774310281;0.9840000000000001;0.010746271134961665
59:55.6;-0.04477418935055309;-0.24764778321498399;-0.9701754014672642;0.985;0.010757526767365034
59:55.7;-0.04463249951410211;-0.24684148188227567;-0.972464236873632;0.992;0.010713786623555573
59:55.7;-0.044341841491457;-0.2460014494599971;-0.9745665383739964;1.0190000000000001;0.01063072507906757
59:55.7;-0.04397351466543368;-0.24519923137923677;-0.9762537414339527;1.0190000000000001;0.010526233378237533
59:55.7;-0.043593141877417405;-0.24450144913000735;-0.9773246544040652;1.024;0.010416899231855178
59:55.7;-0.04324888512139431;-0.24396410827255186;-0.9776363545619873;1.02;0.010315212940283473
59:55.7;-0.04296516305523314;-0.24362876349795481;-0.9771238814724081;1.015;0.010228092644466457
59:55.7;-0.04274174234175425;-0.2435202721202944;-0.9758067214470145;1.011;0.010156665452442985
59:55.7;-0.042556926157245135;-0.24364612933615828;-0.9737835655780097;1.0090000000000001;0.010096996574156194
59:55.7;-0.04237389061556917;-0.2439977439666474;-0.9712181209149012;1.005;0.010041554016907836
59:55.8;-0.0421494545488628;-0.2445535036321568;-0.9683185679884755;1.002;0.009981231023041031
59:55.8;-0.041843980419563845;-0.245282314029037;-0.9653129241747158;0.9840000000000001;0.0099075744783166
59:55.8;-0.041430485666669216;-0.24614594698020628;-0.9624232571896391;0.9840000000000001;0.009814740529416157
59:55.8;-0.040901304437450374;-0.2470996937422872;-0.9598429488966873;0.9840000000000001;0.009700844539793413
59:55.8;-0.04027143515580055;-0.24809229943064023;-0.957721051132273;0.9840000000000001;0.009568622577980556
59:55.8;-0.039578245705877195;-0.24906658553251976;-0.9561554093646903;0.987;0.009425415270710875
59:55.8;-0.038877470698519954;-0.24996166959778762;-0.9551934007126153;0.991;0.009282452443122575
59:55.8;-0.03823588654417788;-0.2507170474574156;-0.9548375064084398;0.99;0.009153443368405055
59:55.8;-0.03772180447421221;-0.25127830876669427;-0.9550526583615147;0.988;0.009052630157768514
59:55.8;-0.03739513761001261;-0.2516038141599389;-0.9557732387458108;0.9890000000000001;0.00899264030450276
59:55.8;-0.037298780131999255;-0.25167114708168953;-0.9569092846502789;0.99;0.00898253308158632
