Time;AccX;AccY;AccZ;Acc-old;Acc-trns
58:17.8;-0.005463986026820072;-0.20574096994258212;-0.9030013211363487;0.9279999999999999;0.0010151231889506218
58:17.8;-0.004402678840117841;-0.20784158309780817;-0.9274114300651999;1.0170000000000001;0.0008486368620697085
58:17.8;-0.003468931354407523;-0.20983903916052513;-0.9503119293667904;1.0170000000000001;0.0006917484199647939
58:17.8;-0.002756081318649975;-0.21164637588285123;-0.9702782930799101;1.071;0.0005659775164716923
58:17.8;-0.0023473467176000195;-0.21318826336409183;-0.986259429298621;1.101;0.0004935506208212239
58:17.8;-0.0023023117482739177;-0.21440743930386966;-0.9976838097853713;1.105;0.0004924894190434086
58:17.8;-0.0026439764189560224;-0.21526815815997644;-1.0044926393733615;1.078;0.0005717209822265313
58:17.8;-0.0033524087728069563;-0.2157564959305801;-1.0070942993077312;1.036;0.0007284353045996259
58:17.8;-0.004367227910842319;-0.2158781154171624;-1.0062491699626044;0.996;0.0009486805792584889
58:17.9;-0.005596722557073288;-0.21565517149201927;-1.0029103592419428;0.9640000000000001;0.0012104748563241858
58:17.9;-0.0069297777761544825;-0.21512463731424486;-0.9980553838503334;0.95;0.0014878669632592118
58:17.9;-0.008247621318740494;-0.21433945374893323;-0.9925431646685217;0.9490000000000001;0.001754608524422837
58:17.9;-0.009433787201828775;-0.2133717208820894;-0.9870214605514211;0.975;0.0019867788633808007
58:17.9;-0.010382102889082314;-0.2123149736667584;-0.9818951342705058;1.008;0.0021643677822736507
58:17.9;-0.011004039503583205;-0.2112816619876784;-0.9773488560141471;1.012;0.0022722889379348365
58:17.9;-0.011237175883296514;-0.2103934438985711;-0.9734046270041453;1.013;0.0023013506047155296
58:17.9;-0.011054690354978677;-0.20976608614044856;-0.9699907510453776;1.011;0.0022493107079878693
58:17.9;-0.010472832222281911;-0.20949447390410122;-0.9670044457642017;1.0070000000000001;0.0021216082149707813
58:17.9;-0.009551411678032834;-0.20964230047614085;-0.9643589671147837;1.001;0.001931013028507789
58:18.0;-0.008383505313994538;-0.21023700949558063;-0.9620126920347064;0.998;0.0016955695790291311
58:18.0;-0.007075648163070184;-0.21126879974113968;-0.9599808390378902;0.996;0.0014350405039837246
58:18.0;-0.005725572865589636;-0.21269356246839188;-0.9583313553711056;0.988;0.0011670487274589635
58:18.0;-0.004405706452957405;-0.21443982432708064;-0.9571669048712051;0.976;0.0009042919692085869
58:18.0;-0.00315635224088611;-0.21641824352427586;-0.9565966032779711;0.966;0.0006534436858185582
58:18.0;-0.0019872306181062892;-0.21853151020566766;-0.95670391060693;0.9620000000000001;0.0004154702067699855
58:18.0;-0.0008837238982271265;-0.22068353955581654;-0.9575188472980691;0.9670000000000001;0.0001867385025047683
58:18.0;0.00018521233126903106;-0.22278762702376262;-0.9590017828156031;0.975;3.957130569637719e-05
58:18.0;0.0012589620765041647;-0.22477258273420256;-0.9610425398670204;0.985;0.0002719559692960153
58:18.0;0.0023772388793970164;-0.22658519764634474;-0.9634739813994747;0.9940000000000001;0.0005189725058370162
58:18.1;0.0035717614312508446;-0.22818822489652799;-0.9660954673220493;1.001;0.0007874005572293621
58:18.1;0.00485762316674496;-0.22955489389598258;-0.9686997538122646;1.006;0.0010801885424663543
58:18.1;0.006225776431319519;-0.23066232756335645;-0.971097199117842;1.005;0.001394546155139265
58:18.1;0.007639063642974143;-0.23148636056365013;-0.9731330627568544;1.004;0.0017208291867917018
58:18.1;0.00903360793132797;-0.23199938938748335;-0.9746964738571972;1.004;0.0020427606084157564
58:18.1;0.010325796812041637;-0.23217159667710263;-0.9757221597343874;1.004;0.0023391540889960687
58:18.1;0.011423824386515862;-0.23197483038063604;-0.9761872394245866;1.002;0.002586934962888667
