Time;AccX;AccY;AccZ;Acc-old;Acc-trns
56:09.9;0.05163171720349259;-0.33120849985433165;-0.9251785594339428;0.9840000000000001;0.015821352350405805
56:09.9;0.0540385783272677;-0.32899367529124723;-0.9369921237324825;1.015;0.016658174383398942
56:09.9;0.05644270093475871;-0.3268308512035326;-0.9482229992728249;1.034;0.017492074474967045
56:09.9;0.05883966024919488;-0.3247628210467785;-0.9583071200398205;1.035;0.018312227558367065
56:09.9;0.0612390549900151;-0.32281741110683954;-0.9667995311999334;1.036;0.01911269202085718
56:09.9;0.06366541733936343;-0.32100766293991784;-0.9734068264288335;1.041;0.01989359983283897
56:09.9;0.06615355086667223;-0.31933491306553685;-0.9779970908189679;1.048;0.02066032391300369
56:09.9;0.06873898600464146;-0.3177936515549593;-0.9805908626230241;1.0390000000000001;0.021420824382993506
56:10.0;0.07144577647819401;-0.31637631722457304;-0.9813367672151289;1.026;0.022181892564688464
56:10.0;0.074274443493934;-0.3150761782797358;-0.980476424525244;1.0190000000000001;0.02294521498202274
56:10.0;0.07719318514464936;-0.3138886935557314;-0.9783053188523418;1.018;0.023704404436222622
56:10.0;0.08013498978362021;-0.3128131537450696;-0.9751371590350455;1.015;0.02444403511133693
56:10.0;0.08300195532582692;-0.3118550697740741;-0.9712774072321732;1.0190000000000001;0.025141108302856003
56:10.0;0.08567635090552876;-0.3110279979914669;-0.9670081041501393;1.0190000000000001;0.02576858430606552
56:10.0;0.08803600098264218;-0.3103534832484162;-0.9625825654910191;1.0190000000000001;0.026299949950292913
56:10.0;0.08997067706781352;-0.30985876203511137;-0.9582261048569279;1.0190000000000001;0.026713621502848183
56:10.0;0.09139715269089371;-0.3095723531328615;-0.9541381882139384;1.01;0.02699641607496371
56:10.0;0.09227156252260342;-0.30951797914940316;-0.9504923354811644;1.004;0.027145783144072223
56:10.1;0.09259726557376476;-0.3097080918514689;-0.9474322183885698;1.0;0.027170577154508692
56:10.1;0.09242602264004957;-0.310138970339961;-0.9450647384824384;0.992;0.027090197084891108
56:10.1;0.09185151141012339;-0.3107889716337651;-0.9434523976421599;0.988;0.026932204218720907
56:10.1;0.09099631982828946;-0.31162035938265265;-0.942607916191797;0.993;0.026728878403410216
56:10.1;0.08999499690100231;-0.31258423016156445;-0.9424936467896873;0.9990000000000001;0.026513304635006184
56:10.1;0.08897609582237276;-0.3136274930448228;-0.9430263747225855;0.9990000000000001;0.02631548092674813
56:10.1;0.08804602745100036;-0.31470021245499696;-0.9440857239618842;0.9990000000000001;0.026158824994560147
56:10.1;0.0872770746025332;-0.31576142351456327;-0.94552376619288;0.998;0.02605743731709495
56:10.1;0.08670104719567448;-0.3167823376145208;-0.9471748135211164;0.997;0.026014497619207207
56:10.1;0.0863093339297618;-0.31774690230486474;-0.948866118112592;1.003;0.026022201150905963
56:10.2;0.0860594343907378;-0.31865018187339045;-0.9504306976337774;1.013;0.02606352265801357
56:10.2;0.08588661079024312;-0.31949524608584734;-0.9517220422613022;1.0170000000000001;0.026115599123627764
56:10.2;0.08571750254226403;-0.3202894425655506;-0.9526280417575727;1.013;0.02615384189082401
56:10.2;0.08548201065453188;-0.3210409196809757;-0.9530806164812174;1.011;0.026155604196921575
56:10.2;0.08512118754889265;-0.32175603763236627;-0.953059321837137;1.011;0.02610263271281477
56:10.2;0.08459117820156234;-0.32243790751049384;-0.9525896801131091;1.011;0.025982266935914686
56:10.2;0.08386468304454643;-0.32308585913994364;-0.9517378966931097;1.011;0.025787807682282473
56:10.2;0.08293126583812718;-0.32369550478046005;-0.9506029046527197;1.012;0.025518438720337787
56:10.2;0.08179694494446577;-0.3242592188523981;-0.9493057223500152;1.008;0.025178828185419774
56:10.2;0.08048292590087863;-0.3247668326320093;-0.9479759678365582;1.0;0.024778371152512024
56:10.3;0.07902324694266555;-0.32520623860255243;-0.9467363037394202;1.001;0.02433003700525349
56:10.3;0.07746123317620544;-0.32556397702881396;-0.9456867861510851;0.9990000000000001;0.023848884622186244
56:10.3;0.07584492506540981;-0.3258264348384606;-0.944891400166752;0.993;0.02335042230059294
56:10.3;0.07422213802758458;-0.32598210656831655;-0.944368744354615;0.99;0.022849085731819457
56:10.3;0.07263629414153835;-0.3260246216807156;-0.9440888657173109;0.9990000000000001;0.02235717642861864
56:10.3;0.07112417523690764;-0.32595586387827774;-0.9439778703508169;1.003;0.02188456179176062
56:10.3;0.06971612145483003;-0.3257885303558668;-0.9439298862151287;1.003;0.02143920836257524
56:10.3;0.06843831651764855;-0.32554746546997154;-0.9438235788494167;1.003;0.021028314287077875
56:10.3;0.06731614477334441;-0.3252691882817294;-0.9435399524549394;1.006;0.02065962603342102
56:10.4;0.06637735997384256;-0.324999416289152;-0.9429791523529583;1.006;0.02034251512325562
56:10.4;0.06565392091250231;-0.3247889215197835;-0.9420745431502613;1.004;0.0200884830622984
56:10.4;0.06518174462473217;-0.32468852937604203;-0.940802377005381;1.001;0.0199109202343332
56:10.4;0.06499822637359425;-0.32474428810882566;-0.9391859789385766;0.998;0.019824152390906888
56:10.4;0.0651380378061605;-0.3249936915344537;-0.9372945125731444;0.9990000000000001;0.019842010599474845
