loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState,batteryLevel,label
2020-12-05 18:11:26.323 +0530,1607172084.999897,24.61861655117616,73.68846983655699,584.7025,0,-1,3.332583468975152,4.766384841271462,-9999,9066.277586625001,0.13812255859375,-0.933685302734375,-0.3439788818359375,9065.887937625001,-0.06616663055514231,0.1452307693615207,1.227848496742953,0.02849609032273293,-0.007171585224568844,-0.02013836055994034,-0.007709920406341553,0.01134771108627319,0.003882348537445068,XArbitraryZVertical,0.5762086158448267,0.04026582513259298,0.01480671513101755,0.8161758367416967,0.04866447299718857,-0.9417675137519836,-0.3327246010303497,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864885.2663035,0,3.37,94.58347,1,1,0
2020-12-05 18:11:27.106 +0530,1607172084.999897,24.61861655117616,73.68846983655699,584.7025,0,-1,3.332583468975152,4.766384841271462,-9999,9067.276690500001,0.05712890625,-0.9296875,-0.3128204345703125,9066.8870425,-0.08031990238917304,0.1573514764798774,1.228015029846891,-0.007594099268317223,-0.002381246536970139,0.0002893861383199692,-0.001750491559505463,-0.002710580825805664,0.001159697771072388,XArbitraryZVertical,0.5764816156869568,0.0411268701405872,0.0125313858004199,0.815978094313029,0.05266902223229408,-0.9418234825134277,-0.3319550454616547,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864885.2663035,0,3.37,94.58347,1,1,0
2020-12-05 18:11:28.075 +0530,1607172086.999891,24.61861655117616,73.68846983655699,584.7025,0,-1,3.334187878271658,4.765262660669943,-9999,9068.275778500001,0.0493927001953125,-0.9495697021484375,-0.3368988037109375,9067.8861605,-0.08050281177367449,0.1558236677094237,1.236664556222299,-0.04439643770456314,0.01939568854868412,0.01286953687667847,-0.008354198187589645,-0.003302514553070068,0.01146018505096436,XArbitraryZVertical,0.5800025904152746,0.04011483872673766,0.01239109936398392,0.8135319414049264,0.05089566484093666,-0.9446954131126404,-0.3239755928516388,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864887.8311925,0,3.38,94.58349,1,1,0
2020-12-05 18:11:29.077 +0530,1607172086.999891,24.61861655117616,73.68846983655699,584.7025,0,-1,3.334187878271658,4.765262660669943,-9999,9069.274884875,0.07672119140625,-0.883880615234375,-0.3212432861328125,9068.885235875001,-0.07378712025661456,0.1560495975769419,1.23275651412953,-0.008008258417248726,0.004787850193679333,-0.00569553580135107,-0.003614392131567001,0.006700217723846436,-0.01020607352256775,XArbitraryZVertical,0.5782789056938875,0.04230076266425874,0.01502256640022192,0.8146031350849254,0.05154220014810562,-0.9434065222740173,-0.3276083171367645,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864887.8311925,0,3.38,94.58349,1,1,0
2020-12-05 18:11:30.106 +0530,1607172088.999885,24.61861655117616,73.68846983655699,584.7025,0,-1,3.335791960619173,4.764139904353915,-9999,9070.273988541667,0.10247802734375,-0.91937255859375,-0.3328857421875,9069.884340541666,-0.06517881364140425,0.1534992069409622,1.228944140317163,-0.01615391671657562,0.006491163745522499,0.007342354394495487,-0.0007342994213104248,-0.0008118748664855957,-0.006630241870880127,XArbitraryZVertical,0.5765661605868064,0.04388553849779532,0.01763633974457367,0.8156803782968103,0.05125611275434494,-0.9421353936195374,-0.3312910497188568,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864887.8311925,0,3.38,94.58349,1,1,0
2020-12-05 18:11:31.078 +0530,1607172088.999885,24.61861655117616,73.68846983655699,584.7025,0,-1,3.335791960619173,4.764139904353915,-9999,9071.273065500001,0.0565185546875,-0.9264678955078125,-0.3269500732421875,9070.883416500001,-0.07320231726968845,0.1654767406812163,1.229667569942504,0.004126701503992081,0.01746871322393417,-0.01404859870672226,-0.001290347427129745,0.007227659225463867,-0.005071848630905151,XArbitraryZVertical,0.5769350207444351,0.04642867742665985,0.01784960720414176,0.8152739373195068,0.05510805547237396,-0.9423776268959045,-0.329980731010437,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864890.3957874,0,3.36,94.58394,1,1,0
2020-12-05 18:11:32.089 +0530,1607172090.999878,24.61861655117616,73.68846983655699,584.7025,0,-1,3.337014889581642,4.763283390634999,-9999,9072.27218675,0.05499267578125,-0.9452667236328125,-0.3325958251953125,9071.88253775,-0.07864425522903758,0.1796023133709657,1.227345112511549,-0.02581133879721165,-0.0286210160702467,0.006391072645783424,-0.002888232469558716,-0.01438015699386597,-0.0189434289932251,XArbitraryZVertical,0.5759922689315621,0.05071307643425545,0.01959516664313243,0.815645197165257,0.06015442684292793,-0.941598117351532,-0.331322193145752,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864890.3957874,0,3.36,94.58394,1,1,0
2020-12-05 18:11:33.079 +0530,1607172090.999878,24.61861655117616,73.68846983655699,584.7025,0,-1,3.337014889581642,4.763283390634999,-9999,9073.271290250001,0.0898590087890625,-0.9457244873046875,-0.335418701171875,9072.88164225,-0.07346177954739617,0.1698748024814656,1.226430543715368,0.01506759412586689,-0.01484548393636942,-0.02986307255923748,-0.009115934371948242,0.01476091146469116,0.001853406429290771,XArbitraryZVertical,0.5755861715977394,0.04827399597323344,0.01886620673704303,0.8160969680686218,0.05707426741719246,-0.9412897825241089,-0.3327403664588928,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864892.9601485,0,3.36,94.58463,1,1,0
2020-12-05 18:11:34.098 +0530,1607172092.999873,24.61861655117616,73.68846983655699,584.7025,0,-1,3.33828552567763,4.76239296801934,-9999,9074.270373166668,0.0588531494140625,-0.9393310546875,-0.3269805908203125,9073.880724166667,-0.07985382816069959,0.1833412289926876,1.242338089887,-0.04074710607528687,0.04124812036752701,0.02412734180688858,-0.02795892953872681,-0.0156172513961792,-0.005622327327728271,XArbitraryZVertical,0.5820521844566502,0.05124952762842916,0.02091029851571604,0.8112653434705156,0.05881216004490852,-0.9465408325195312,-0.3171774744987488,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864892.9601485,0,3.36,94.58463,1,1,0
2020-12-05 18:11:35.116 +0530,1607172092.999873,24.61861655117616,73.68846983655699,584.7025,0,-1,3.33828552567763,4.76239296801934,-9999,9075.269480750001,0.146759033203125,-1.065643310546875,-0.451629638671875,9074.87983175,-0.07147232763552983,0.1753253431862952,1.234774648241621,-0.02627731487154961,0.0123906871303916,0.01366286352276802,-0.001332167536020279,0.004834532737731934,-0.01164007186889648,XArbitraryZVertical,0.5788662164481149,0.05073841704672513,0.02163020480985247,0.8135549535566035,0.05751499161124229,-0.9440739154815674,-0.324679046869278,9047.539552666667,unknown,2,2020-12-05 18:11:07.336 +0530,2020-12-05 07:27:30.854 +0530,190,1.872573,0,0,154.8788,0,0,2020-12-05 18:10:26.330 +0530,628864892.9601485,0,3.36,94.58463,1,1,0
