time,gFx,gFy,gFz,acc
57:19.4,-0.027,-0.24,-0.941,0.971
57:19.4,0.013,-0.226,-0.981,1.007
57:19.4,0.043,-0.235,-0.953,0.982
57:19.4,0.058,-0.235,-0.933,0.964
57:19.4,0.058,-0.223,-0.927,0.955
57:19.4,0.053,-0.217,-0.907,0.934
57:19.4,0.042,-0.223,-0.902,0.93
57:19.4,0.03,-0.23,-0.927,0.956
57:19.5,0.009,-0.231,-0.953,0.981
57:19.5,-0.044,-0.226,-0.967,0.994
57:19.5,-0.044,-0.226,-0.967,0.994
57:19.5,-0.044,-0.226,-0.967,0.994
57:19.5,-0.039,-0.23,-0.972,1
57:19.5,-0.029,-0.237,-0.978,1.007
57:19.5,-0.01,-0.241,-0.986,1.015
57:19.5,0.004,-0.244,-0.985,1.015
57:19.5,0.006,-0.241,-0.973,1.002
57:19.5,0.004,-0.24,-0.971,1
57:19.6,-0.001,-0.242,-0.982,1.011
57:19.6,-0.018,-0.248,-1.015,1.045
57:19.6,-0.018,-0.248,-1.015,1.045
57:19.6,-0.018,-0.248,-1.015,1.045
57:19.6,-0.019,-0.251,-1.02,1.051
57:19.6,-0.019,-0.257,-1.015,1.047
57:19.6,-0.024,-0.258,-1.008,1.041
57:19.6,-0.034,-0.261,-1,1.034
57:19.6,-0.044,-0.268,-0.984,1.021
57:19.6,-0.066,-0.268,-0.965,1.004
57:19.7,-0.091,-0.271,-0.954,0.996
57:19.7,-0.244,-0.137,-1.021,1.059
57:19.7,-0.244,-0.137,-1.021,1.059
57:19.7,-0.244,-0.137,-1.021,1.059
57:19.7,-0.244,-0.137,-1.021,1.059
57:19.7,-0.325,-0.086,-1.016,1.07
57:19.7,-0.38,-0.1,-0.926,1.006
57:19.7,-0.406,-0.179,-0.87,0.977
57:19.7,-0.385,-0.283,-0.902,1.021
57:19.7,-0.336,-0.358,-0.91,1.034
57:19.8,-0.285,-0.492,-0.871,1.04
57:19.8,0.331,-0.789,-1.029,1.338
57:19.8,0.331,-0.789,-1.029,1.338
57:19.8,0.331,-0.789,-1.029,1.338
57:19.8,0.103,-0.798,-0.677,1.052
57:19.8,-0.004,-0.841,-0.599,1.033
