time,gFx,gFy,gFz,acc
10:06.7,0.059,-0.326,-0.935,0.992
10:06.7,0.107,-0.34,-0.968,1.032
10:06.7,0.132,-0.327,-0.968,1.03
10:06.7,0.132,-0.329,-0.948,1.012
10:06.7,0.127,-0.328,-0.932,0.996
10:06.7,0.122,-0.323,-0.91,0.973
10:06.7,0.11,-0.321,-0.881,0.944
10:06.7,0.11,-0.321,-0.881,0.944
10:06.7,0.102,-0.324,-0.873,0.937
10:06.7,0.098,-0.327,-0.873,0.937
10:06.7,0.094,-0.33,-0.877,0.942
10:06.8,0.089,-0.329,-0.886,0.949
10:06.8,0.081,-0.332,-0.902,0.965
10:06.8,0.071,-0.336,-0.919,0.981
10:06.8,0.062,-0.338,-0.937,0.998
10:06.8,0.058,-0.339,-0.952,1.012
10:06.8,0.056,-0.34,-0.951,1.012
10:06.8,0.056,-0.34,-0.951,1.012
10:06.8,0.056,-0.34,-0.951,1.012
10:06.8,0.061,-0.342,-0.947,1.009
10:06.8,0.062,-0.339,-0.941,1.002
10:06.9,0.065,-0.34,-0.927,0.99
10:06.9,0.07,-0.342,-0.913,0.977
10:06.9,0.075,-0.344,-0.909,0.975
10:06.9,0.076,-0.346,-0.907,0.974
10:06.9,0.074,-0.343,-0.9,0.966
10:06.9,0.069,-0.327,-0.906,0.966
10:06.9,0.069,-0.327,-0.906,0.966
10:06.9,0.069,-0.327,-0.906,0.966
10:06.9,0.066,-0.312,-0.905,0.96
10:06.9,0.072,-0.305,-0.912,0.964
10:07.0,0.074,-0.299,-0.911,0.962
10:07.0,0.082,-0.292,-0.914,0.963
10:07.0,0.087,-0.289,-0.911,0.96
10:07.0,0.093,-0.286,-0.909,0.957
10:07.0,0.101,-0.286,-0.91,0.959
10:07.0,0.1,-0.298,-0.932,0.984
10:07.0,0.1,-0.298,-0.932,0.984
10:07.0,0.1,-0.298,-0.932,0.984
10:07.0,0.088,-0.3,-0.946,0.996
10:07.0,0.08,-0.299,-0.958,1.007
10:07.1,0.071,-0.297,-0.966,1.013
10:07.1,0.067,-0.295,-0.974,1.02
10:07.1,0.064,-0.293,-0.979,1.024
10:07.1,0.063,-0.287,-0.983,1.026
10:07.1,0.064,-0.284,-0.986,1.028
10:07.1,0.059,-0.273,-0.982,1.021
10:07.1,0.059,-0.273,-0.982,1.021
10:07.1,0.059,-0.273,-0.982,1.021
10:07.1,0.06,-0.267,-0.985,1.022
10:07.1,0.054,-0.262,-0.974,1.01
10:07.2,0.048,-0.255,-0.967,1.001
10:07.2,0.039,-0.241,-0.958,0.989
10:07.2,0.034,-0.234,-0.95,0.979
10:07.2,0.035,-0.236,-0.944,0.974
10:07.2,0.034,-0.239,-0.942,0.972
10:07.2,0.018,-0.263,-0.925,0.962
10:07.2,0.018,-0.263,-0.925,0.962
10:07.2,0.018,-0.263,-0.925,0.962
10:07.2,0.009,-0.261,-0.924,0.96
10:07.2,0.002,-0.266,-0.928,0.965
10:07.3,-0.003,-0.271,-0.926,0.965
10:07.3,-0.001,-0.275,-0.931,0.971
10:07.3,-0.002,-0.283,-0.936,0.978
10:07.3,0,-0.296,-0.936,0.982
10:07.3,-0.006,-0.307,-0.933,0.982
10:07.3,-0.005,-0.361,-0.903,0.972
10:07.3,-0.005,-0.361,-0.903,0.972
10:07.3,-0.005,-0.361,-0.903,0.972
10:07.3,-0.005,-0.376,-0.896,0.972
10:07.3,-0.011,-0.383,-0.893,0.972
10:07.4,-0.014,-0.39,-0.896,0.977
10:07.4,-0.001,-0.406,-0.894,0.982
10:07.4,0.021,-0.426,-0.895,0.991
10:07.4,0.036,-0.443,-0.905,1.008
10:07.4,0.04,-0.452,-0.914,1.02
10:07.4,0.011,-0.426,-0.928,1.021
10:07.4,0.011,-0.426,-0.928,1.021
10:07.4,0.011,-0.426,-0.928,1.021
10:07.4,0,-0.409,-0.929,1.015
10:07.4,0.001,-0.399,-0.924,1.006
10:07.5,0.014,-0.396,-0.915,0.997
10:07.5,0.024,-0.393,-0.89,0.973
10:07.5,0.026,-0.386,-0.861,0.944
10:07.5,0.023,-0.384,-0.833,0.918
10:07.5,0.023,-0.393,-0.8,0.892
10:07.5,0.023,-0.416,-0.742,0.851
10:07.5,0.023,-0.416,-0.742,0.851
10:07.5,0.023,-0.416,-0.742,0.851
10:07.5,-0.012,-0.402,-0.737,0.84
10:07.5,-0.005,-0.391,-0.746,0.842
10:07.6,-0.011,-0.401,-0.731,0.834
10:07.6,0.001,-0.428,-0.734,0.85
10:07.6,0.016,-0.441,-0.747,0.868
10:07.6,0.021,-0.456,-0.75,0.878
10:07.6,0.014,-0.477,-0.757,0.895
10:07.6,-0.006,-0.516,-0.855,0.999
10:07.6,-0.006,-0.516,-0.855,0.999
10:07.6,-0.006,-0.516,-0.855,0.999
10:07.6,-0.006,-0.541,-0.885,1.037
10:07.7,-0.014,-0.561,-0.923,1.08
10:07.7,-0.043,-0.558,-0.954,1.106
10:07.7,-0.079,-0.53,-0.971,1.109
10:07.7,-0.11,-0.504,-0.982,1.109
10:07.7,-0.133,-0.5,-0.987,1.114
10:07.7,-0.134,-0.511,-1.012,1.142
10:07.7,-0.2,-0.573,-1.196,1.341
10:07.7,-0.2,-0.573,-1.196,1.341
10:07.7,-0.2,-0.573,-1.196,1.341
10:07.7,-0.207,-0.578,-1.179,1.329
10:07.8,-0.16,-0.576,-1.098,1.25
10:07.8,-0.132,-0.579,-1.013,1.174
10:07.8,-0.16,-0.623,-0.991,1.181
10:07.8,-0.246,-0.667,-0.997,1.225
10:07.8,-0.301,-0.655,-0.963,1.203
10:07.8,-0.276,-0.602,-0.933,1.144
10:07.8,-0.057,-0.504,-0.828,0.971
10:07.8,-0.057,-0.504,-0.828,0.971
10:07.8,-0.057,-0.504,-0.828,0.971
10:07.8,0.023,-0.504,-0.852,0.99
10:07.9,0.082,-0.539,-1.002,1.141
10:07.9,0.088,-0.577,-1.222,1.354
10:07.9,0.037,-0.556,-1.429,1.534
10:07.9,-0.057,-0.487,-1.663,1.734
10:07.9,-0.126,-0.418,-1.854,1.905
10:07.9,-0.138,-0.355,-1.954,1.991
10:07.9,-0.086,-0.243,-1.715,1.734
10:07.9,-0.086,-0.243,-1.715,1.734
10:07.9,-0.086,-0.243,-1.715,1.734
10:07.9,-0.117,-0.248,-1.548,1.572
10:08.0,-0.149,-0.282,-1.384,1.42
10:08.0,-0.189,-0.329,-1.225,1.282
10:08.0,-0.223,-0.344,-1.102,1.176
10:08.0,-0.239,-0.318,-1.007,1.083
10:08.0,-0.202,-0.268,-0.886,0.947
10:08.0,-0.171,-0.216,-0.814,0.859
10:08.0,-0.107,-0.108,-0.501,0.524
10:08.0,-0.107,-0.108,-0.501,0.524
10:08.0,-0.107,-0.108,-0.501,0.524
10:08.0,-0.1,-0.098,-0.453,0.474
10:08.1,-0.128,-0.061,-0.49,0.51
10:08.1,-0.173,-0.037,-0.611,0.636
10:08.1,-0.193,-0.029,-0.719,0.745
10:08.1,-0.182,-0.013,-0.785,0.806
10:08.1,-0.161,0.018,-0.804,0.82
10:08.1,-0.149,0.052,-0.774,0.79
10:08.1,-0.114,0.08,-0.608,0.624
10:08.1,-0.114,0.08,-0.608,0.624
10:08.1,-0.106,0.052,-0.577,0.589
10:08.1,-0.125,-0.023,-0.524,0.539
10:08.2,-0.149,-0.07,-0.332,0.371
10:08.2,-0.147,-0.104,-0.144,0.231
10:08.2,-0.112,-0.173,-0.067,0.217
10:08.2,-0.044,-0.255,-0.169,0.309
10:08.2,-0.062,-0.377,-0.41,0.56
10:08.2,-0.134,-0.375,-0.728,0.83
10:08.2,-0.496,-0.084,-1.317,1.41
10:08.2,-0.496,-0.084,-1.317,1.41
10:08.2,-0.496,-0.084,-1.317,1.41
10:08.2,-0.549,-0.041,-1.346,1.454
10:08.3,-0.553,-0.026,-1.284,1.398
10:08.3,-0.482,-0.026,-1.188,1.282
10:08.3,-0.349,-0.086,-1.061,1.12
10:08.3,-0.169,-0.126,-0.883,0.908
10:08.3,0.028,-0.091,-0.659,0.666
10:08.3,0.158,0.033,-0.408,0.439
10:08.3,0.381,0.461,0.394,0.716
