time,gFx,gFy,gFz,acc
50:59.0,0.039,-0.258,-0.768,0.811
50:59.0,0.039,-0.258,-0.768,0.811
50:59.0,0.039,-0.258,-0.768,0.811
50:59.0,0.07,-0.27,-0.812,0.859
50:59.0,0.101,-0.286,-0.849,0.902
50:59.0,0.115,-0.3,-0.836,0.896
50:59.1,0.117,-0.32,-0.764,0.837
50:59.1,0.099,-0.336,-0.692,0.776
50:59.1,0.076,-0.362,-0.674,0.769
50:59.1,0.055,-0.399,-0.717,0.822
50:59.1,0.036,-0.396,-0.708,0.812
50:59.1,0.036,-0.396,-0.708,0.812
50:59.1,0.036,-0.396,-0.708,0.812
50:59.1,0.074,-0.375,-0.704,0.801
50:59.1,0.116,-0.377,-0.72,0.821
50:59.1,0.145,-0.386,-0.749,0.855
50:59.2,0.148,-0.4,-0.789,0.897
50:59.2,0.14,-0.393,-0.811,0.912
50:59.2,0.123,-0.365,-0.842,0.926
50:59.2,0.119,-0.34,-0.888,0.958
50:59.2,0.089,-0.368,-0.977,1.048
50:59.2,0.089,-0.368,-0.977,1.048
50:59.2,0.089,-0.368,-0.977,1.048
50:59.2,0.067,-0.379,-0.961,1.035
50:59.2,0.048,-0.389,-0.958,1.035
50:59.2,0.035,-0.401,-0.978,1.058
50:59.3,0.029,-0.412,-1.009,1.09
50:59.3,0.028,-0.424,-1.037,1.121
50:59.3,0.025,-0.448,-1.059,1.15
50:59.3,0.019,-0.477,-1.07,1.172
50:59.3,-0.003,-0.498,-1.093,1.201
50:59.3,-0.003,-0.498,-1.093,1.201
50:59.3,-0.003,-0.498,-1.093,1.201
50:59.3,-0.006,-0.489,-1.11,1.213
50:59.3,-0.036,-0.461,-1.121,1.213
50:59.3,-0.079,-0.412,-1.163,1.236
50:59.4,-0.115,-0.353,-1.223,1.278
50:59.4,-0.129,-0.297,-1.266,1.307
50:59.4,-0.129,-0.236,-1.291,1.319
50:59.4,-0.121,-0.19,-1.289,1.309
50:59.4,-0.131,-0.104,-1.107,1.12
50:59.4,-0.131,-0.104,-1.107,1.12
50:59.4,-0.131,-0.104,-1.107,1.12
50:59.4,-0.121,-0.107,-1.068,1.08
50:59.4,-0.09,-0.135,-1.061,1.073
50:59.4,-0.059,-0.163,-1.087,1.101
