Time;AccX;AccY;AccZ;Acc-old;Acc-trns
28:34.1;-0.18831635535895674;-0.2585177629664433;-0.9262962738876441;0.971;0.04509499535959372
28:34.1;-0.18133604352824992;-0.2247242376127273;-0.9145110968157023;1.011;0.03726687968211581
28:34.1;-0.17437266198241783;-0.19164375303389905;-0.8996758065826428;1.101;0.03006485452066508
28:34.1;-0.1671490113806967;-0.1604449719360013;-0.8797935356597515;1.0659999999999998;0.023594495221516618
28:34.2;-0.15942816501768325;-0.13227041839462741;-0.8534184372426894;0.972;0.017996572317222535
28:34.2;-0.15103873650574792;-0.10818337855055944;-0.8198068057360143;0.78;0.013395545490657454
28:34.2;-0.14190406970142114;-0.08911923238245834;-0.7789547336791849;0.78;0.009850958938777457
28:34.2;-0.13206054310742035;-0.07584469401164118;-0.7315681762871382;0.78;0.007327453779738652
28:34.2;-0.12164621272051936;-0.06893169876537099;-0.6790167025703623;0.772;0.005693745237654905
28:34.2;-0.11084901110407767;-0.06874567468571535;-0.6232858795304286;0.735;0.004749681518789232
28:34.2;-0.09982162263844886;-0.07543673351057271;-0.5669048692365274;0.653;0.004268916766231801
28:34.2;-0.08858684838775294;-0.08892063114042914;-0.5128163107148915;0.5489999999999999;0.004039555857836698
28:34.2;-0.0769623996972273;-0.10884755699516133;-0.464173190707376;0.442;0.0038884573508705445
28:34.2;-0.06452790716743244;-0.13457202558080578;-0.4240753706588722;0.355;0.0036825225902913108
28:34.3;-0.0506466135237657;-0.16514489480974273;-0.39528177094259137;0.313;0.003306148457348496
28:34.3;-0.034543220373249486;-0.1993441853226884;-0.37994331678706356;0.405;0.002616285926971993
28:34.3;-0.015426642052001222;-0.23574752936474325;-0.37939248035366196;0.405;0.0013797718220129676
28:34.3;0.007366504624728871;-0.272834660103068;-0.39400332561767965;0.405;0.000791882771413691
28:34.3;0.03423766669642501;-0.3091065499895639;-0.4231184033760718;0.45899999999999996;0.004477898887864851
28:34.3;0.06522314200976564;-0.34321787152313094;-0.46503783663232495;0.541;0.010410219809524276
28:34.3;0.09992461455056727;-0.3741209209770559;-0.5170757175406883;0.61;0.01933030113809779
28:34.3;0.1374616720001283;-0.4012021017539791;-0.5756994198979307;0.688;0.03174977218293789
28:34.3;0.17643936554044232;-0.42437135107101365;-0.6367756423541432;0.787;0.04767909324265915
28:34.3;0.21494680735904612;-0.4440580888583391;-0.6959445382985088;0.9309999999999999;0.06642711870686205
28:34.4;0.2506293721460783;-0.46108283954884693;-0.7491120660734198;1.135;0.08656806649160377
28:34.4;0.2808862931431205;-0.4764124973473152;-0.7929895921633913;1.235;0.10611607537366938
28:34.4;0.3032083313004909;-0.4908546514027743;-0.8255580679506712;1.235;0.12286881423821747
28:34.4;0.3155887396609883;-0.5047739807133769;-0.8463396205964115;1.235;0.1348227346867239
28:34.4;0.31688550912214214;-0.5179045114478645;-0.8564165305233581;1.258;0.1405520276819835
28:34.4;0.30703848250483673;-0.5292968639534567;-0.8581960432635551;1.065;0.13946930593874754
28:34.4;0.2871085981544721;-0.5374048691745816;-0.8549594104070407;0.903;0.13191472991599584
28:34.4;0.2591487755648446;-0.5402968230186693;-0.8502755447090904;0.863;0.11905325212304343
28:34.4;0.22593528732040444;-0.5359667903037794;-0.8474011813931845;0.9;0.10261503829868032
28:34.4;0.19060062722030846;-0.5227034286749119;-0.8487945463494566;0.9840000000000001;0.08456336469654833
28:34.5;0.15621696110913372;-0.4994480442736238;-0.8558234634633209;1.097;0.06677327710752007
28:34.5;0.12538547104232822;-0.4660619533072813;-0.8686793388095273;0.96;0.050763359865779754
28:34.5;0.09989388761456386;-0.4234457272080559;-0.8864568738262132;0.96;0.03749680653606719
28:34.5;0.08050682705222514;-0.3735022929060766;-0.9073490226137856;0.96;0.02728351737030422
28:34.5;0.06693836141522339;-0.3189720680463714;-0.9289285515568513;0.925;0.019833987845502565
28:34.5;0.05801979689054618;-0.2631690505516987;-0.9485098457250131;1.0090000000000001;0.014482810930073276
28:34.5;0.05203003793631447;-0.20964398884805802;-0.963580384119117;1.181;0.010510527364258507
28:34.5;0.04711502786870488;-0.1618191675766207;-0.9722574508178977;1.2770000000000001;0.0074126022160783
28:34.5;0.0416979584414263;-0.12265502838336734;-0.9736851685065255;1.276;0.0049798780105550266
28:34.5;0.03478471858734754;-0.09439981565888925;-0.9682743090377475;1.2009999999999998;0.003179494290313835
28:34.6;0.02610029108482653;-0.07844932570026145;-0.9577182172555098;1.083;0.001960976161940375
28:34.6;0.01603905146560192;-0.07531935974717087;-0.9447769119958996;0.868;0.0011413387758313748
28:34.6;0.005463079622237772;-0.08471052176409474;-0.9328819548550044;0.868;0.00043171941447697813
28:34.6;-0.004576109088521563;-0.10562494323049162;-0.9256538078217945;0.868;0.00044741593682597687
28:34.6;-0.01310921722648749;-0.13649115482028196;-0.9264215780274534;0.868;0.0016576389016541382
28:34.6;-0.01946118700714521;-0.17527422477837507;-0.9377991980250608;0.825;0.0031988747645904443
28:34.6;-0.023384734006186566;-0.21957585907974286;-0.9613408546214857;0.8140000000000001;0.004936219053552691
28:34.6;-0.02510769411562658;-0.26674253815113347;-0.9972961801788148;0.843;0.006679181789924158
28:34.6;-0.02528869364424706;-0.3139969128771708;-1.0444962712686396;0.9420000000000001;0.008293897568938318
28:34.6;-0.024891222328180137;-0.35859581468774515;-1.1003993334254483;1.0490000000000002;0.009822041369772152
28:34.7;-0.02501166600799068;-0.39800365958590517;-1.161306032870556;1.1340000000000001;0.011560493350693845
28:34.7;-0.02671171693453743;-0.4300589982244555;-1.2227299115271801;1.514;0.014046249525875914
28:34.7;-0.03089436202860537;-0.45310915308713184;-1.2798764798443405;1.514;0.01791637421470545
28:34.7;-0.038230461102117926;-0.4660943301557398;-1.3281477369334393;1.514;0.023666266063656138
28:34.7;-0.04911686509946304;-0.46857522554599507;-1.3635817260744212;1.514;0.03138275998594516
28:34.7;-0.06364622124556057;-0.4607104048899841;-1.3831796868127573;1.548;0.04055825366786693
28:34.7;-0.08157964363417705;-0.4431973268320434;-1.3851231733746192;1.541;0.0500803472176203
28:34.7;-0.1023192316779313;-0.41719266566498786;-1.3688967274849155;1.5419999999999998;0.05843386601751949
28:34.7;-0.12488591558838047;-0.3842207919902033;-1.3353204382513941;1.516;0.06407370263725734
28:34.7;-0.14792646271794818;-0.3460682105487148;-1.2864859645701632;1.482;0.0658586208841718
28:34.8;-0.16978547067706162;-0.3046600339665963;-1.2255817508271167;1.463;0.06339548003397714
28:34.8;-0.1886659664043669;-0.2619243186857487;-1.1565919718902338;0.981;0.057154385648468045
28:34.8;-0.20286550950586862;-0.21966113888950972;-1.0838831313763704;0.981;0.04829964118274814
28:34.8;-0.21103214592752914;-0.17943941260103022;-1.011752420826727;0.981;0.03831251891637457
28:34.8;-0.21236886876978997;-0.14253895671059866;-0.9440400852935387;0.981;0.028576883536076066
28:34.8;-0.20673875879720574;-0.10993554141226551;-0.8838618566061689;0.8270000000000001;0.02008835692887084
28:34.8;-0.19465821770789132;-0.08231025397113625;-0.8334554358543139;0.746;0.013353929152364994
28:34.8;-0.17718803271856157;-0.06006789568111421;-0.7941234094617452;0.737;0.008452103424070488
28:34.8;-0.15574585969930227;-0.043362995887972045;-0.7662726512298718;0.7509999999999999;0.005175104397736206
28:34.8;-0.13187554175627286;-0.032137732613731824;-0.7495487577859036;0.758;0.003176723228307872
28:34.9;-0.10701412131569624;-0.026171070889782534;-0.7430428781169635;0.7859999999999999;0.002081020984918531
28:34.9;-0.08229468570016908;-0.025132988965765962;-0.7455324819709088;0.862;0.0015419933521398728
28:34.9;-0.05841604921218697;-0.028637535063819625;-0.755713585011967;0.862;0.0012642269519043924
28:34.9;-0.035600231169008546;-0.03629056174977271;-0.7723836345037818;0.862;0.0009978828806979133
28:34.9;-0.013644170548295876;-0.0477294796546754;-0.7945440974939133;0.858;0.0005174302856625488
28:34.9;0.007946019739871297;-0.0626537178939321;-0.8214121446321232;0.8370000000000001;0.00040893812984018273
28:34.9;0.029767642863776745;-0.08084448232964128;-0.8523536181712889;0.816;0.002051231324922384
28:34.9;0.05232291741152267;-0.102169784583257;-0.886766787108289;0.847;0.004740496690602614
28:34.9;0.07585494645032655;-0.12656900676439234;-0.9239545039432924;0.902;0.00887078115045593
28:34.9;0.10025662326899824;-0.15401475533169504;-0.9630169962284476;0.9390000000000001;0.014869944767691507
28:35.0;0.12507598148031593;-0.18445925715837816;-1.0027816585162301;0.9520000000000001;0.023135599451460584
28:35.0;0.14961994656444982;-0.2177824037747157;-1.0417733332131507;1.089;0.033945758618617046
28:35.0;0.17312809326783554;-0.2537567346325035;-1.078225591150872;1.089;0.047369059116322505
28:35.0;0.1949580033818896;-0.2920293477523542;-1.1101350525170381;1.089;0.06320382801593619
28:35.0;0.214719039598818;-0.3321108799027945;-1.1353639786465568;1.169;0.08096340612130133
28:35.0;0.23231827876821243;-0.37336811939441333;-1.1518000541766882;1.218;0.09990741180054893
28:35.0;0.24791519335703133;-0.41502283838622156;-1.157577819392881;1.2790000000000001;0.11910372268790825
28:35.0;0.26180354645015264;-0.45615371600414567;-1.1513492486648202;1.3659999999999999;0.1374971905280781
28:35.0;0.274257339158047;-0.49569402947704927;-1.13256723918343;1.445;0.15396994021178198
28:35.0;0.28539302309216413;-0.5324258970972678;-1.101720940057099;1.479;0.16740719791644948
28:35.1;0.2950984051105667;-0.5649839089624789;-1.060445172920816;1.422;0.17680362330865823
28:35.1;0.30305297807190734;-0.5918838713208938;-1.0114385687029521;1.114;0.1814239307650567
28:35.1;0.3088261414663916;-0.6115843942275309;-0.958183416552169;1.114;0.1809752146870986
28:35.1;0.3120106562181279;-0.6225799997807192;-0.9045387927464933;1.114;0.17570810257898992
28:35.1;0.31234487480732964;-0.6235231103259159;-0.8543101783410487;1.048;0.16638053619993354
28:35.1;0.309793727401914;-0.6133754539058169;-0.8108620536100802;1.0290000000000001;0.15407990052481868
