Time;AccX;AccY;AccZ;Acc-old;Acc-trns
59:21.3;0.06007466630388389;-0.7306456960416999;-0.5900035283601125;0.937;0.025897199733239857
59:21.3;0.06466076001994775;-0.7264039844623341;-0.6163109541268714;0.937;0.02894802303321407
59:21.3;0.06853957716430083;-0.7221849100254241;-0.6428873073996101;0.977;0.03182179561403142
59:21.3;0.07134066291063115;-0.7178805607111624;-0.669592941897157;0.981;0.03429258320725352
59:21.3;0.07282980759479747;-0.7133030306382384;-0.6961810071956167;0.981;0.03616641011838434
59:21.3;0.07295053843125893;-0.7081819231387259;-0.7222751054166185;0.985;0.03731435894290878
59:21.3;0.07184611447929795;-0.7021815592064853;-0.7473421291360139;0.98;0.03770267554442902
59:21.3;0.0698559922366813;-0.6949408159871295;-0.7706717610333632;0.99;0.03741286195334726
59:21.3;0.06748508157339402;-0.6861302218636787;-0.791384975932516;1.022;0.036643936961898105
59:21.4;0.065348163777048;-0.6755119003704149;-0.8084953557385042;1.1079999999999999;0.03568978425475777
59:21.4;0.06409637351927405;-0.6629858740388141;-0.8210294945424651;1.1079999999999999;0.03488964034123725
59:21.4;0.06433712495482402;-0.6486133393900507;-0.828182099907554;1.1079999999999999;0.03455997067405877
59:21.4;0.06655955111073973;-0.6326153803419576;-0.8294643385497575;1.12;0.03492591958514822
59:21.4;0.07107338363109385;-0.6153477081718627;-0.824812500980734;1.095;0.03607304583645886
59:21.4;0.07796490615544537;-0.5972538507153783;-0.8146390140290791;1.052;0.03793353568980181
59:21.4;0.08707322659309624;-0.5788054834490709;-0.7998158182215293;1.002;0.04030948633276837
59:21.4;0.09799223158449512;-0.5604437225022291;-0.7815892398707746;0.95;0.04292420188822749
59:21.4;0.1101038329594992;-0.5425338654868845;-0.7614394562599927;0.9059999999999999;0.045484630159657605
59:21.4;0.12264364025324788;-0.5253406198349013;-0.7409089194208666;0.866;0.047736529025069065
59:21.5;0.13479184390629773;-0.5090256827635347;-0.7214283984573835;0.8290000000000001;0.049499013474235846
59:21.5;0.1457729472576292;-0.4936659118391652;-0.7041687774520828;0.8290000000000001;0.05067419274486901
59:21.5;0.15494242629293814;-0.4792872335989689;-0.6899426191230338;0.8290000000000001;0.051236468322398865
59:21.5;0.16184156770860508;-0.4659060961651335;-0.6791697377547751;0.831;0.05121141740401914
59:21.5;0.16621312113727044;-0.4535676635085033;-0.6719067494222842;0.8440000000000001;0.050654308724919564
59:21.5;0.1679819965353739;-0.4423702852027206;-0.667927386824651;0.853;0.04963384689971503
59:21.5;0.16721164619162593;-0.4324698808513841;-0.6668313233886966;0.856;0.048221240789950534
59:21.5;0.164048960166612;-0.4240637200333694;-0.6681547426694824;0.851;0.04648166284313636
59:21.5;0.15866954007134085;-0.41735791781818155;-0.6714577647804085;0.83;0.04446526862283654
59:21.5;0.15123130895487513;-0.41252643567706937;-0.6763726062648525;0.8079999999999999;0.04219679883842144
59:21.6;0.1418399059933512;-0.4096723605147794;-0.6826090187625574;0.773;0.03966496916329721
59:21.6;0.13052779005571927;-0.40880282348714153;-0.6899267277899827;0.773;0.036814579277049946
59:21.6;0.11725085307700842;-0.4098245429997067;-0.6980948301246919;0.773;0.03354504634391635
59:21.6;0.1019067655782939;-0.41256034910115746;-0.7068607575945228;0.799;0.029718328258007458
59:21.6;0.08437515106489157;-0.4167824754254222;-0.7159450179285582;0.823;0.025176982872696436
59:21.6;0.06457470889203583;-0.4222550773088094;-0.7250672942866367;0.853;0.019770408967391257
59:21.6;0.042529264325524646;-0.42877473097048424;-0.734000271293635;0.885;0.013384842767417283
59:21.6;0.018431424876700516;-0.4361960065386007;-0.7426409988006051;0.915;0.00597062118010027
59:21.6;-0.007311585424218735;-0.44443240298200215;-0.7510839244667573;0.946;0.0024406513282645872
59:21.6;-0.034069001311311777;-0.4534308024967264;-0.7596737570302378;0.9740000000000001;0.011735390519623913
59:21.7;-0.061032522952992524;-0.46312647721769135;-0.7690128890621369;0.932;0.021736747102223734
