time,gFx,gFy,gFz
2020-12-10 13:57:11.2430,0.028,-0.317,-0.91,0.964
2020-12-10 13:57:11.2740,0.016,-0.302,-0.903,0.952
2020-12-10 13:57:11.2740,0.016,-0.302,-0.903,0.952
2020-12-10 13:57:11.2740,0.016,-0.302,-0.903,0.952
2020-12-10 13:57:11.2800,-0.016,-0.281,-0.939,0.98
2020-12-10 13:57:11.2890,-0.01,-0.276,-0.959,0.998
2020-12-10 13:57:11.3000,-0.003,-0.281,-0.963,1.003
2020-12-10 13:57:11.3100,-0.005,-0.274,-0.953,0.992
2020-12-10 13:57:11.3200,-0.016,-0.273,-0.937,0.976
2020-12-10 13:57:11.3300,-0.029,-0.262,-0.934,0.97
2020-12-10 13:57:11.3400,-0.033,-0.24,-0.946,0.977
2020-12-10 13:57:11.3730,-0.038,-0.257,-0.946,0.981
2020-12-10 13:57:11.3730,-0.038,-0.257,-0.946,0.981
2020-12-10 13:57:11.3730,-0.038,-0.257,-0.946,0.981
2020-12-10 13:57:11.3800,-0.026,-0.267,-0.946,0.983
2020-12-10 13:57:11.3900,-0.017,-0.267,-0.954,0.991
2020-12-10 13:57:11.4000,-0.005,-0.262,-0.964,0.999
2020-12-10 13:57:11.4100,-0.0,-0.259,-0.971,1.005
2020-12-10 13:57:11.4200,-0.004,-0.263,-0.973,1.008
2020-12-10 13:57:11.4300,-0.006,-0.267,-0.972,1.008
2020-12-10 13:57:11.4410,-0.001,-0.271,-0.967,1.004
2020-12-10 13:57:11.4550,0.008,-0.274,-0.959,0.997
2020-12-10 13:57:11.4770,0.015,-0.277,-0.948,0.988
2020-12-10 13:57:11.4770,0.015,-0.277,-0.948,0.988
2020-12-10 13:57:11.4800,0.014,-0.278,-0.949,0.989
2020-12-10 13:57:11.4930,0.016,-0.277,-0.955,0.994
2020-12-10 13:57:11.5000,0.017,-0.275,-0.959,0.998
2020-12-10 13:57:11.5100,0.015,-0.274,-0.959,0.997
2020-12-10 13:57:11.5200,0.011,-0.276,-0.958,0.997
2020-12-10 13:57:11.5300,0.003,-0.28,-0.955,0.995
2020-12-10 13:57:11.5400,-0.003,-0.282,-0.955,0.996
2020-12-10 13:57:11.5550,-0.004,-0.283,-0.954,0.995
2020-12-10 13:57:11.5750,-0.002,-0.285,-0.961,1.002
2020-12-10 13:57:11.5750,-0.002,-0.285,-0.961,1.002
2020-12-10 13:57:11.5800,-0.005,-0.286,-0.963,1.005
2020-12-10 13:57:11.5930,-0.005,-0.287,-0.963,1.005
2020-12-10 13:57:11.6000,-0.002,-0.287,-0.964,1.006
2020-12-10 13:57:11.6100,0.003,-0.286,-0.965,1.006
2020-12-10 13:57:11.6200,0.003,-0.288,-0.965,1.007
2020-12-10 13:57:11.6300,0.002,-0.289,-0.965,1.007
2020-12-10 13:57:11.6410,0.003,-0.286,-0.967,1.008
2020-12-10 13:57:11.6560,0.013,-0.283,-0.971,1.011
2020-12-10 13:57:11.6770,0.021,-0.283,-0.977,1.017
2020-12-10 13:57:11.6770,0.021,-0.283,-0.977,1.017
2020-12-10 13:57:11.6800,0.021,-0.282,-0.981,1.021
2020-12-10 13:57:11.6930,0.024,-0.277,-0.981,1.02
2020-12-10 13:57:11.7000,0.022,-0.271,-0.977,1.014
2020-12-10 13:57:11.7100,0.013,-0.268,-0.97,1.006
2020-12-10 13:57:11.7210,0.006,-0.263,-0.962,0.997
2020-12-10 13:57:11.7310,0.005,-0.259,-0.956,0.99
2020-12-10 13:57:11.7410,0.002,-0.257,-0.951,0.985
2020-12-10 13:57:11.7550,0.001,-0.257,-0.946,0.98
2020-12-10 13:57:11.7760,0.006,-0.249,-0.941,0.973
2020-12-10 13:57:11.7760,0.006,-0.249,-0.941,0.973
2020-12-10 13:57:11.7800,0.002,-0.24,-0.942,0.972
2020-12-10 13:57:11.7940,-0.01,-0.229,-0.944,0.971
2020-12-10 13:57:11.8010,-0.027,-0.221,-0.95,0.976
2020-12-10 13:57:11.8110,-0.041,-0.216,-0.959,0.984
2020-12-10 13:57:11.8210,-0.051,-0.212,-0.964,0.988
2020-12-10 13:57:11.8310,-0.055,-0.216,-0.964,0.989
2020-12-10 13:57:11.8410,-0.049,-0.224,-0.963,0.99
2020-12-10 13:57:11.8730,0.003,-0.249,-0.955,0.987
2020-12-10 13:57:11.8730,0.003,-0.249,-0.955,0.987
2020-12-10 13:57:11.8740,0.003,-0.249,-0.955,0.987
2020-12-10 13:57:11.8810,0.015,-0.253,-0.959,0.992
2020-12-10 13:57:11.8910,0.019,-0.253,-0.963,0.996
2020-12-10 13:57:11.9010,0.014,-0.249,-0.969,1.001
2020-12-10 13:57:11.9110,0.006,-0.247,-0.972,1.003
2020-12-10 13:57:11.9210,0.001,-0.247,-0.976,1.007
2020-12-10 13:57:11.9310,0.003,-0.248,-0.981,1.012
2020-12-10 13:57:11.9410,0.01,-0.247,-0.986,1.017
2020-12-10 13:57:11.9730,0.031,-0.249,-0.993,1.024
2020-12-10 13:57:11.9730,0.031,-0.249,-0.993,1.024
2020-12-10 13:57:11.9730,0.031,-0.249,-0.993,1.024
2020-12-10 13:57:11.9810,0.032,-0.251,-0.989,1.021
2020-12-10 13:57:11.9910,0.03,-0.249,-0.984,1.015
2020-12-10 13:57:12.0010,0.032,-0.247,-0.983,1.014
2020-12-10 13:57:12.0110,0.032,-0.244,-0.982,1.012
2020-12-10 13:57:12.0210,0.032,-0.244,-0.982,1.012
2020-12-10 13:57:12.0310,0.031,-0.247,-0.981,1.012
2020-12-10 13:57:12.0420,0.03,-0.246,-0.978,1.009
2020-12-10 13:57:12.0560,0.032,-0.243,-0.976,1.006
2020-12-10 13:57:12.0780,0.014,-0.244,-0.971,1.001
2020-12-10 13:57:12.0780,0.014,-0.244,-0.971,1.001
2020-12-10 13:57:12.0810,-0.002,-0.244,-0.963,0.993
2020-12-10 13:57:12.0940,-0.013,-0.239,-0.955,0.985
2020-12-10 13:57:12.1010,-0.023,-0.233,-0.95,0.978
2020-12-10 13:57:12.1110,-0.031,-0.232,-0.946,0.975
2020-12-10 13:57:12.1210,-0.034,-0.232,-0.945,0.974
2020-12-10 13:57:12.1310,-0.037,-0.231,-0.947,0.975
2020-12-10 13:57:12.1430,-0.038,-0.23,-0.951,0.979
2020-12-10 13:57:12.1700,-0.039,-0.22,-0.963,0.989
2020-12-10 13:57:12.1700,-0.039,-0.22,-0.963,0.989
2020-12-10 13:57:12.1720,-0.035,-0.215,-0.973,0.997
2020-12-10 13:57:12.1810,-0.034,-0.213,-0.982,1.005
2020-12-10 13:57:12.1920,-0.035,-0.212,-0.989,1.012
2020-12-10 13:57:12.2010,-0.036,-0.211,-0.99,1.013
2020-12-10 13:57:12.2110,-0.038,-0.21,-0.989,1.012
2020-12-10 13:57:12.2210,-0.038,-0.208,-0.983,1.005
2020-12-10 13:57:12.2320,-0.033,-0.206,-0.977,0.999
2020-12-10 13:57:12.2420,-0.026,-0.209,-0.974,0.997
2020-12-10 13:57:12.2570,-0.019,-0.213,-0.975,0.998
2020-12-10 13:57:12.2810,0.011,-0.209,-0.982,1.004
2020-12-10 13:57:12.2810,0.011,-0.209,-0.982,1.004
2020-12-10 13:57:12.2820,0.011,-0.209,-0.982,1.004
2020-12-10 13:57:12.2920,0.02,-0.209,-0.985,1.007
2020-12-10 13:57:12.3020,0.021,-0.21,-0.991,1.013
2020-12-10 13:57:12.3120,0.016,-0.211,-0.996,1.018
2020-12-10 13:57:12.3220,0.017,-0.207,-0.995,1.016
2020-12-10 13:57:12.3320,0.015,-0.204,-0.989,1.01
2020-12-10 13:57:12.3430,0.008,-0.202,-0.982,1.003
2020-12-10 13:57:12.3770,-0.001,-0.209,-0.955,0.978
2020-12-10 13:57:12.3780,-0.001,-0.209,-0.955,0.978
2020-12-10 13:57:12.3780,-0.001,-0.209,-0.955,0.978
2020-12-10 13:57:12.3820,0.002,-0.214,-0.949,0.973
2020-12-10 13:57:12.3920,0.003,-0.219,-0.946,0.971
2020-12-10 13:57:12.4020,0.004,-0.227,-0.947,0.974
2020-12-10 13:57:12.4120,0.004,-0.232,-0.952,0.98
2020-12-10 13:57:12.4220,0.006,-0.23,-0.958,0.985
2020-12-10 13:57:12.4320,0.001,-0.229,-0.964,0.991
2020-12-10 13:57:12.4420,-0.007,-0.229,-0.971,0.998
2020-12-10 13:57:12.4570,-0.012,-0.228,-0.974,1.0
2020-12-10 13:57:12.4780,-0.015,-0.228,-0.973,0.999
2020-12-10 13:57:12.4780,-0.015,-0.228,-0.973,0.999
2020-12-10 13:57:12.4820,-0.014,-0.231,-0.972,0.999
2020-12-10 13:57:12.4950,-0.01,-0.232,-0.972,0.999
2020-12-10 13:57:12.5020,-0.006,-0.234,-0.967,0.995
2020-12-10 13:57:12.5120,-0.003,-0.238,-0.961,0.99
2020-12-10 13:57:12.5220,-0.001,-0.243,-0.955,0.985
2020-12-10 13:57:12.5320,0.003,-0.242,-0.947,0.977
2020-12-10 13:57:12.5430,0.009,-0.24,-0.941,0.971
2020-12-10 13:57:12.5570,0.009,-0.239,-0.94,0.97
2020-12-10 13:57:12.5790,0.005,-0.234,-0.964,0.992
2020-12-10 13:57:12.5790,0.005,-0.234,-0.964,0.992
2020-12-10 13:57:12.5820,0.003,-0.228,-0.977,1.003
2020-12-10 13:57:12.5960,0.002,-0.224,-0.984,1.009
2020-12-10 13:57:12.6020,-0.002,-0.223,-0.984,1.009
2020-12-10 13:57:12.6130,-0.005,-0.225,-0.976,1.002
2020-12-10 13:57:12.6220,-0.005,-0.228,-0.967,0.994
2020-12-10 13:57:12.6320,-0.006,-0.232,-0.96,0.988
2020-12-10 13:57:12.6430,-0.005,-0.236,-0.961,0.99
2020-12-10 13:57:12.6760,-0.005,-0.236,-0.991,1.019
2020-12-10 13:57:12.6770,-0.005,-0.236,-0.991,1.019
2020-12-10 13:57:12.6770,-0.005,-0.236,-0.991,1.019
2020-12-10 13:57:12.6820,-0.009,-0.236,-1.001,1.028
2020-12-10 13:57:12.6920,-0.012,-0.233,-1.009,1.036
2020-12-10 13:57:12.7030,-0.011,-0.232,-1.011,1.037
2020-12-10 13:57:12.7130,-0.005,-0.233,-1.008,1.035
2020-12-10 13:57:12.7230,0.005,-0.232,-1.002,1.029
2020-12-10 13:57:12.7330,0.015,-0.237,-0.997,1.025
2020-12-10 13:57:12.7430,0.026,-0.241,-0.994,1.023
2020-12-10 13:57:12.7790,0.024,-0.242,-0.979,1.009
2020-12-10 13:57:12.7790,0.024,-0.242,-0.979,1.009
2020-12-10 13:57:12.7790,0.024,-0.242,-0.979,1.009
2020-12-10 13:57:12.7820,0.016,-0.237,-0.981,1.009
2020-12-10 13:57:12.7930,0.013,-0.23,-0.984,1.011
2020-12-10 13:57:12.8030,0.013,-0.224,-0.993,1.018
2020-12-10 13:57:12.8130,0.009,-0.223,-1.003,1.028
2020-12-10 13:57:12.8230,0.011,-0.225,-1.011,1.036
2020-12-10 13:57:12.8330,0.014,-0.225,-1.017,1.042
2020-12-10 13:57:12.8430,0.016,-0.221,-1.022,1.046
2020-12-10 13:57:12.8780,0.027,-0.22,-1.009,1.033
2020-12-10 13:57:12.8780,0.027,-0.22,-1.009,1.033
2020-12-10 13:57:12.8780,0.027,-0.22,-1.009,1.033
2020-12-10 13:57:12.8830,0.027,-0.222,-0.998,1.023
2020-12-10 13:57:12.8930,0.033,-0.225,-0.986,1.012
2020-12-10 13:57:12.9030,0.039,-0.228,-0.977,1.004
2020-12-10 13:57:12.9130,0.043,-0.231,-0.971,0.999
2020-12-10 13:57:12.9230,0.042,-0.235,-0.969,0.998
2020-12-10 13:57:12.9330,0.04,-0.236,-0.966,0.995
2020-12-10 13:57:12.9430,0.035,-0.235,-0.961,0.99
2020-12-10 13:57:12.9570,0.028,-0.233,-0.958,0.986
2020-12-10 13:57:12.9760,0.028,-0.233,-0.959,0.987
2020-12-10 13:57:12.9760,0.028,-0.233,-0.959,0.987
