time,gFx,gFy,gFz,acc
58:54.8,-0.044,-0.286,-0.917,0.962
58:54.9,-0.062,-0.249,-0.937,0.972
58:54.9,-0.062,-0.249,-0.937,0.972
58:54.9,-0.062,-0.249,-0.937,0.972
58:54.9,-0.05,-0.246,-0.951,0.984
58:54.9,-0.031,-0.27,-0.96,0.998
58:54.9,-0.013,-0.289,-0.954,0.997
58:54.9,0.002,-0.298,-0.94,0.986
58:54.9,0.008,-0.297,-0.94,0.986
58:54.9,-0.003,-0.298,-0.952,0.998
58:54.9,-0.028,-0.301,-0.96,1.006
58:54.9,-0.048,-0.301,-0.967,1.014
58:55.0,-0.046,-0.293,-0.956,1.001
58:55.0,-0.046,-0.293,-0.956,1.001
58:55.0,-0.037,-0.294,-0.942,0.988
58:55.0,-0.032,-0.3,-0.937,0.984
58:55.0,-0.036,-0.306,-0.941,0.99
58:55.0,-0.04,-0.302,-0.947,0.995
58:55.0,-0.036,-0.291,-0.957,1.001
58:55.0,-0.035,-0.285,-0.968,1.01
58:55.0,-0.029,-0.288,-0.979,1.021
58:55.0,-0.018,-0.288,-0.981,1.023
58:55.1,-0.046,-0.275,-0.963,1.003
58:55.1,-0.046,-0.275,-0.963,1.003
58:55.1,-0.061,-0.267,-0.952,0.991
58:55.1,-0.072,-0.258,-0.943,0.98
58:55.1,-0.079,-0.253,-0.937,0.974
58:55.1,-0.075,-0.255,-0.938,0.975
58:55.1,-0.072,-0.258,-0.95,0.987
58:55.1,-0.061,-0.26,-0.975,1.011
58:55.1,-0.046,-0.26,-0.996,1.03
58:55.2,-0.055,-0.265,-0.958,0.995
58:55.2,-0.055,-0.265,-0.958,0.995
58:55.2,-0.055,-0.265,-0.958,0.995
58:55.2,-0.071,-0.265,-0.932,0.972
58:55.2,-0.016,-0.253,-0.828,0.866
58:55.2,0.001,-0.285,-0.803,0.852
58:55.2,-0.008,-0.332,-0.964,1.02
58:55.2,0.049,-0.327,-1.009,1.062
58:55.2,0.098,-0.293,-1.025,1.071
58:55.2,0.076,-0.294,-1.032,1.076
58:55.3,0.045,-0.31,-1.012,1.059
58:55.3,-0.016,-0.308,-0.939,0.988
58:55.3,-0.016,-0.308,-0.939,0.988
58:55.3,-0.047,-0.293,-0.895,0.943
58:55.3,-0.044,-0.294,-0.868,0.917
58:55.3,-0.033,-0.296,-0.861,0.911
58:55.3,-0.018,-0.298,-0.858,0.908
58:55.3,0,-0.308,-0.865,0.918
58:55.3,0.015,-0.319,-0.877,0.933
58:55.3,0.025,-0.325,-0.882,0.94
58:55.4,0.016,-0.311,-0.883,0.936
58:55.4,0.016,-0.311,-0.883,0.936
58:55.4,0.016,-0.311,-0.883,0.936
58:55.4,0.009,-0.305,-0.911,0.961
58:55.4,-0.003,-0.296,-0.937,0.983
58:55.4,-0.015,-0.28,-0.949,0.99
58:55.4,-0.008,-0.266,-0.957,0.993
58:55.4,0.006,-0.25,-0.957,0.989
58:55.4,0.01,-0.242,-0.957,0.987
58:55.4,0.005,-0.243,-0.957,0.987
58:55.5,-0.001,-0.249,-0.988,1.019
58:55.5,-0.001,-0.249,-0.988,1.019
58:55.5,-0.001,-0.249,-0.988,1.019
58:55.5,-0.006,-0.252,-1.02,1.051
58:55.5,-0.01,-0.249,-1.038,1.067
58:55.5,-0.013,-0.241,-1.046,1.073
58:55.5,-0.009,-0.233,-1.055,1.08
58:55.5,-0.007,-0.223,-1.046,1.07
58:55.5,-0.013,-0.218,-1.027,1.05
58:55.5,-0.019,-0.223,-1.003,1.028
58:55.6,-0.029,-0.272,-0.977,1.015
58:55.6,-0.029,-0.272,-0.977,1.015
58:55.6,-0.029,-0.272,-0.977,1.015
58:55.6,-0.009,-0.277,-0.975,1.014
58:55.6,0.007,-0.284,-0.977,1.017
58:55.6,0.019,-0.285,-0.976,1.017
58:55.6,0.028,-0.281,-0.968,1.008
58:55.6,0.031,-0.277,-0.961,1.001
58:55.6,0.03,-0.276,-0.953,0.993
58:55.6,0.023,-0.277,-0.948,0.988
58:55.7,0.011,-0.274,-0.954,0.993
58:55.7,-0.02,-0.252,-0.957,0.99
58:55.7,-0.02,-0.252,-0.957,0.99
58:55.7,-0.024,-0.272,-0.963,1.001
58:55.7,-0.022,-0.28,-0.96,1
58:55.7,-0.011,-0.271,-0.961,0.999
58:55.7,0.006,-0.269,-0.974,1.01
58:55.7,0.006,-0.274,-0.981,1.019
58:55.7,-0.001,-0.276,-0.979,1.017
58:55.7,-0.006,-0.271,-0.975,1.012
58:55.8,0.001,-0.285,-0.985,1.025
58:55.8,0.001,-0.285,-0.985,1.025
58:55.8,0.001,-0.285,-0.985,1.025
58:55.8,0.005,-0.305,-1.028,1.072
58:55.8,-0.002,-0.323,-1.07,1.118
58:55.8,-0.013,-0.32,-1.086,1.132
58:55.8,-0.028,-0.268,-1.103,1.135
58:55.8,-0.017,-0.222,-1.085,1.108
58:55.8,-0.003,-0.216,-1.039,1.061
58:55.8,-0.012,-0.23,-1.024,1.05
58:55.9,-0.003,-0.273,-0.963,1.001
58:55.9,-0.003,-0.273,-0.963,1.001
58:55.9,-0.003,-0.273,-0.963,1.001
58:55.9,-0.01,-0.272,-0.947,0.985
58:55.9,-0.016,-0.271,-0.933,0.972
58:55.9,-0.028,-0.275,-0.919,0.96
58:55.9,-0.04,-0.282,-0.913,0.956
58:55.9,-0.053,-0.289,-0.91,0.956
58:55.9,-0.06,-0.294,-0.906,0.954
58:55.9,-0.058,-0.296,-0.905,0.954
58:56.0,-0.053,-0.291,-0.904,0.951
58:56.0,-0.021,-0.31,-0.91,0.962
58:56.0,-0.021,-0.31,-0.91,0.962
58:56.0,-0.073,-0.316,-0.912,0.968
58:56.0,-0.112,-0.292,-0.919,0.971
58:56.0,-0.121,-0.271,-0.931,0.977
58:56.0,-0.134,-0.272,-0.929,0.977
58:56.0,-0.142,-0.279,-0.925,0.977
58:56.0,-0.137,-0.283,-0.924,0.976
58:56.0,-0.131,-0.292,-0.925,0.979
58:56.1,-0.075,-0.317,-0.931,0.986
58:56.1,-0.075,-0.317,-0.931,0.986
58:56.1,-0.075,-0.317,-0.931,0.986
58:56.1,-0.058,-0.319,-0.942,0.996
58:56.1,-0.052,-0.315,-0.95,1.002
58:56.1,-0.055,-0.311,-0.961,1.012
58:56.1,-0.05,-0.307,-0.974,1.022
58:56.1,-0.045,-0.309,-0.988,1.036
58:56.1,-0.042,-0.316,-0.999,1.049
58:56.1,-0.037,-0.32,-0.995,1.046
58:56.2,-0.002,-0.318,-0.946,0.998
58:56.2,-0.002,-0.318,-0.946,0.998
58:56.2,-0.002,-0.318,-0.946,0.998
58:56.2,0.001,-0.314,-0.936,0.987
58:56.2,-0.003,-0.316,-0.925,0.977
58:56.2,-0.011,-0.32,-0.912,0.967
58:56.2,-0.023,-0.318,-0.898,0.953
58:56.2,-0.035,-0.317,-0.888,0.944
58:56.2,-0.039,-0.317,-0.883,0.939
58:56.2,-0.039,-0.315,-0.885,0.94
58:56.3,-0.041,-0.32,-0.895,0.951
58:56.3,-0.042,-0.323,-0.928,0.984
58:56.3,-0.042,-0.323,-0.928,0.984
58:56.3,-0.04,-0.318,-0.945,0.998
58:56.3,-0.067,-0.3,-0.963,1.011
58:56.3,-0.067,-0.3,-0.963,1.011
58:56.3,-0.083,-0.288,-0.972,1.017
58:56.3,-0.097,-0.268,-0.974,1.015
58:56.3,-0.115,-0.254,-0.969,1.008
58:56.3,-0.127,-0.243,-0.971,1.009
58:56.4,-0.125,-0.225,-1.002,1.035
58:56.4,-0.125,-0.225,-1.002,1.035
58:56.4,-0.125,-0.225,-1.002,1.035
58:56.4,-0.12,-0.224,-1.008,1.04
58:56.4,-0.117,-0.219,-1.011,1.041
58:56.4,-0.114,-0.212,-1.008,1.036
58:56.4,-0.109,-0.205,-1.004,1.03
58:56.4,-0.103,-0.205,-1.001,1.027
58:56.4,-0.096,-0.213,-0.996,1.023
58:56.4,-0.092,-0.228,-0.988,1.018
58:56.5,-0.087,-0.243,-0.975,1.009
58:56.5,-0.06,-0.263,-0.946,0.984
58:56.5,-0.06,-0.263,-0.946,0.984
58:56.5,-0.036,-0.269,-0.93,0.969
58:56.5,-0.015,-0.285,-0.908,0.952
58:56.5,0,-0.301,-0.893,0.942
58:56.5,0.009,-0.32,-0.888,0.944
58:56.5,0.014,-0.335,-0.889,0.95
58:56.5,0.019,-0.325,-0.899,0.956
58:56.5,0.006,-0.299,-0.912,0.96
58:56.6,-0.032,-0.313,-0.946,0.997
58:56.6,-0.032,-0.313,-0.946,0.997
58:56.6,-0.032,-0.313,-0.946,0.997
58:56.6,-0.032,-0.321,-0.987,1.038
58:56.6,-0.012,-0.293,-1.005,1.047
58:56.6,-0.006,-0.264,-1.009,1.043
58:56.6,-0.019,-0.244,-1.013,1.042
58:56.6,-0.027,-0.235,-1.013,1.04
58:56.6,-0.029,-0.234,-1.013,1.04
58:56.6,-0.02,-0.235,-1.013,1.04
58:56.7,0.017,-0.263,-1.001,1.035
58:56.7,0.017,-0.263,-1.001,1.035
58:56.7,0.017,-0.263,-1.001,1.035
58:56.7,0.025,-0.277,-0.991,1.029
58:56.7,0.032,-0.287,-0.979,1.021
58:56.7,0.04,-0.298,-0.967,1.013
58:56.7,0.051,-0.306,-0.955,1.004
58:56.7,0.06,-0.312,-0.942,0.994
58:56.7,0.069,-0.323,-0.926,0.983
58:56.7,0.075,-0.331,-0.91,0.971
58:56.8,0.057,-0.339,-0.893,0.957
58:56.8,0.057,-0.339,-0.893,0.957
58:56.8,0.057,-0.339,-0.893,0.957
58:56.8,0.051,-0.334,-0.894,0.956
58:56.8,0.048,-0.325,-0.896,0.954
58:56.8,0.042,-0.314,-0.903,0.957
58:56.8,0.043,-0.303,-0.917,0.967
58:56.8,0.043,-0.298,-0.938,0.985
58:56.8,0.044,-0.293,-0.96,1.005
58:56.8,0.048,-0.288,-0.98,1.023
58:56.9,0.044,-0.285,-0.989,1.03
58:56.9,0.024,-0.28,-0.988,1.027
58:56.9,0.024,-0.28,-0.988,1.027
58:56.9,0.015,-0.278,-0.979,1.018
58:56.9,0.01,-0.275,-0.967,1.005
58:56.9,0.003,-0.276,-0.961,1
58:56.9,-0.005,-0.28,-0.955,0.995
58:56.9,-0.011,-0.281,-0.953,0.994
58:56.9,-0.014,-0.279,-0.953,0.993
58:56.9,-0.015,-0.277,-0.961,1
58:57.0,-0.003,-0.282,-0.968,1.008
58:57.0,-0.003,-0.282,-0.968,1.008
58:57.0,-0.003,-0.282,-0.968,1.008
58:57.0,0.003,-0.287,-0.964,1.006
58:57.0,0.008,-0.291,-0.961,1.004
58:57.0,0.016,-0.292,-0.956,1
58:57.0,0.021,-0.293,-0.95,0.994
58:57.0,0.021,-0.295,-0.945,0.99
58:57.0,0.022,-0.298,-0.941,0.987
58:57.0,0.026,-0.301,-0.94,0.987
58:57.1,0.035,-0.312,-0.937,0.988
58:57.1,0.035,-0.312,-0.937,0.988
58:57.1,0.035,-0.312,-0.937,0.988
58:57.1,0.041,-0.312,-0.94,0.991
58:57.1,0.04,-0.312,-0.942,0.993
58:57.1,0.031,-0.309,-0.941,0.991
58:57.1,0.019,-0.307,-0.943,0.992
58:57.1,0.008,-0.305,-0.946,0.994
58:57.1,0.002,-0.303,-0.953,1
58:57.1,0.001,-0.295,-0.958,1.002
58:57.2,-0.001,-0.267,-0.973,1.009
58:57.2,-0.001,-0.267,-0.973,1.009
58:57.2,-0.001,-0.267,-0.973,1.009
58:57.2,0.001,-0.259,-0.98,1.014
58:57.2,0,-0.254,-0.981,1.013
58:57.2,-0.006,-0.249,-0.98,1.011
58:57.2,-0.013,-0.246,-0.978,1.009
58:57.2,-0.016,-0.245,-0.978,1.008
58:57.2,-0.02,-0.248,-0.977,1.008
58:57.2,-0.026,-0.252,-0.973,1.005
58:57.3,-0.042,-0.265,-0.961,0.998
58:57.3,-0.042,-0.265,-0.961,0.998
58:57.3,-0.042,-0.265,-0.961,0.998
58:57.3,-0.044,-0.267,-0.953,0.991
58:57.3,-0.039,-0.268,-0.947,0.985
58:57.3,-0.029,-0.271,-0.948,0.986
58:57.3,-0.021,-0.276,-0.955,0.994
58:57.3,-0.012,-0.278,-0.958,0.998
58:57.3,-0.005,-0.277,-0.958,0.997
58:57.3,0.001,-0.281,-0.956,0.996
58:57.4,0.014,-0.291,-0.955,0.998
58:57.4,0.014,-0.291,-0.955,0.998
58:57.4,0.014,-0.291,-0.955,0.998
58:57.4,0.012,-0.295,-0.954,0.999
58:57.4,0.01,-0.295,-0.951,0.996
58:57.4,0.009,-0.294,-0.949,0.994
58:57.4,0.006,-0.291,-0.948,0.992
58:57.4,0.001,-0.287,-0.945,0.988
58:57.4,0,-0.284,-0.946,0.988
58:57.4,-0.001,-0.283,-0.949,0.99
58:57.5,0,-0.283,-0.958,0.999
58:57.5,-0.002,-0.279,-0.962,1.002
58:57.5,-0.002,-0.279,-0.962,1.002
58:57.5,-0.005,-0.275,-0.959,0.998
58:57.5,-0.007,-0.269,-0.96,0.997
58:57.5,-0.009,-0.263,-0.963,0.998
58:57.5,-0.014,-0.262,-0.966,1.001
58:57.5,-0.021,-0.262,-0.972,1.007
58:57.5,-0.025,-0.26,-0.976,1.01
58:57.5,-0.033,-0.258,-0.984,1.018
58:57.6,-0.04,-0.262,-0.982,1.017
58:57.6,-0.04,-0.262,-0.982,1.017
58:57.6,-0.04,-0.262,-0.982,1.017
58:57.6,-0.042,-0.269,-0.972,1.009
58:57.6,-0.037,-0.272,-0.96,0.998
58:57.6,-0.028,-0.272,-0.95,0.989
58:57.6,-0.021,-0.277,-0.945,0.985
58:57.6,-0.012,-0.282,-0.943,0.984
58:57.6,-0.002,-0.284,-0.942,0.984
58:57.6,0.003,-0.289,-0.941,0.984
58:57.7,0.003,-0.3,-0.939,0.986
58:57.7,0.003,-0.3,-0.939,0.986
58:57.7,0.003,-0.3,-0.939,0.986
58:57.7,0.001,-0.299,-0.936,0.983
58:57.7,-0.003,-0.298,-0.935,0.981
58:57.7,-0.007,-0.294,-0.937,0.982
58:57.7,-0.009,-0.293,-0.942,0.987
58:57.7,-0.01,-0.292,-0.949,0.993
58:57.7,-0.015,-0.289,-0.952,0.995
58:57.7,-0.019,-0.285,-0.954,0.996
58:57.8,-0.022,-0.277,-0.956,0.996
58:57.8,-0.032,-0.267,-0.964,1.001
58:57.8,-0.032,-0.267,-0.964,1.001
58:57.8,-0.033,-0.263,-0.968,1.004
58:57.8,-0.034,-0.262,-0.972,1.007
58:57.8,-0.032,-0.26,-0.971,1.006
58:57.8,-0.027,-0.259,-0.969,1.003
58:57.8,-0.021,-0.26,-0.968,1.003
58:57.8,-0.018,-0.263,-0.97,1.005
58:57.8,-0.02,-0.268,-0.972,1.008
58:57.9,-0.028,-0.271,-0.964,1.002
58:57.9,-0.028,-0.271,-0.964,1.002
58:57.9,-0.028,-0.271,-0.964,1.002
58:57.9,-0.034,-0.273,-0.962,1.001
58:57.9,-0.041,-0.275,-0.958,0.998
58:57.9,-0.044,-0.275,-0.951,0.991
58:57.9,-0.04,-0.274,-0.948,0.988
58:57.9,-0.037,-0.276,-0.948,0.988
58:57.9,-0.035,-0.277,-0.95,0.99
58:57.9,-0.028,-0.276,-0.953,0.993
58:58.0,-0.014,-0.273,-0.957,0.995
58:58.0,-0.005,-0.277,-0.967,1.006
58:58.0,-0.005,-0.277,-0.967,1.006
58:58.0,-0.008,-0.278,-0.964,1.003
58:58.0,-0.01,-0.278,-0.959,0.999
58:58.0,-0.01,-0.278,-0.959,0.999
58:58.0,-0.013,-0.279,-0.956,0.996
58:58.0,-0.021,-0.282,-0.954,0.995
58:58.0,-0.028,-0.283,-0.95,0.992
58:58.0,-0.027,-0.283,-0.947,0.989
58:58.1,-0.027,-0.284,-0.949,0.991
58:58.1,-0.027,-0.284,-0.949,0.991
58:58.1,-0.027,-0.284,-0.949,0.991
58:58.1,-0.021,-0.281,-0.949,0.99
58:58.1,-0.009,-0.278,-0.952,0.992
58:58.1,-0.001,-0.279,-0.957,0.997
58:58.1,0.002,-0.278,-0.963,1.002
58:58.1,0.002,-0.277,-0.964,1.003
58:58.1,0,-0.271,-0.963,1
58:58.1,-0.002,-0.267,-0.964,1
58:58.2,-0.018,-0.272,-0.971,1.009
58:58.2,-0.018,-0.272,-0.971,1.009
58:58.2,-0.018,-0.272,-0.971,1.009
58:58.2,-0.022,-0.275,-0.966,1.005
58:58.2,-0.028,-0.278,-0.962,1.002
58:58.2,-0.031,-0.276,-0.958,0.997
58:58.2,-0.033,-0.273,-0.955,0.994
58:58.2,-0.035,-0.272,-0.953,0.992
58:58.2,-0.036,-0.271,-0.953,0.991
58:58.2,-0.036,-0.27,-0.953,0.991
58:58.3,-0.021,-0.272,-0.963,1.001
58:58.3,-0.021,-0.272,-0.963,1.001
58:58.3,-0.021,-0.272,-0.963,1.001
58:58.3,-0.018,-0.275,-0.97,1.008
58:58.3,-0.016,-0.275,-0.972,1.01
58:58.3,-0.017,-0.275,-0.969,1.007
58:58.3,-0.019,-0.277,-0.961,1
58:58.3,-0.019,-0.276,-0.953,0.992
58:58.3,-0.021,-0.276,-0.949,0.989
58:58.3,-0.022,-0.278,-0.948,0.988
58:58.4,-0.023,-0.284,-0.955,0.997
58:58.4,-0.023,-0.284,-0.955,0.997
58:58.4,-0.023,-0.284,-0.955,0.997
58:58.4,-0.024,-0.286,-0.956,0.998
58:58.4,-0.024,-0.287,-0.95,0.993
58:58.4,-0.023,-0.286,-0.943,0.986
58:58.4,-0.019,-0.283,-0.941,0.983
58:58.4,-0.016,-0.279,-0.942,0.983
58:58.4,-0.01,-0.276,-0.951,0.99
58:58.4,-0.001,-0.273,-0.96,0.998
58:58.5,0,-0.271,-0.973,1.01
58:58.5,0,-0.271,-0.973,1.01
58:58.5,0,-0.271,-0.973,1.01
58:58.5,-0.003,-0.271,-0.969,1.006
58:58.5,-0.011,-0.272,-0.968,1.006
58:58.5,-0.021,-0.274,-0.963,1.001
58:58.5,-0.03,-0.274,-0.957,0.996
58:58.5,-0.036,-0.271,-0.953,0.991
58:58.5,-0.04,-0.268,-0.952,0.99
58:58.5,-0.045,-0.269,-0.956,0.994
58:58.6,-0.028,-0.272,-0.973,1.011
58:58.6,-0.028,-0.272,-0.973,1.011
58:58.6,-0.028,-0.272,-0.973,1.011
58:58.6,-0.023,-0.272,-0.969,1.007
58:58.6,-0.018,-0.271,-0.963,1.001
58:58.6,-0.016,-0.272,-0.958,0.996
58:58.6,-0.013,-0.273,-0.954,0.992
58:58.6,-0.012,-0.274,-0.952,0.991
58:58.6,-0.011,-0.276,-0.952,0.991
58:58.6,-0.01,-0.279,-0.956,0.996
58:58.7,-0.015,-0.283,-0.957,0.998
58:58.7,-0.019,-0.283,-0.956,0.997
58:58.7,-0.02,-0.282,-0.952,0.993
58:58.7,-0.023,-0.288,-0.955,0.998
58:58.7,-0.026,-0.29,-0.951,0.995
58:58.7,-0.025,-0.287,-0.947,0.99
58:58.7,-0.023,-0.286,-0.945,0.988
58:58.7,-0.017,-0.28,-0.949,0.99
58:58.7,-0.011,-0.278,-0.955,0.995
58:58.7,-0.004,-0.275,-0.961,1
58:58.8,0.002,-0.275,-0.967,1.005
58:58.8,0.001,-0.275,-0.967,1.005
58:58.8,-0.006,-0.273,-0.963,1.001
58:58.8,-0.013,-0.271,-0.959,0.997
58:58.8,-0.02,-0.27,-0.954,0.992
58:58.8,-0.027,-0.271,-0.953,0.991
58:58.8,-0.03,-0.27,-0.954,0.992
58:58.8,-0.028,-0.268,-0.961,0.998
58:58.8,-0.027,-0.269,-0.968,1.005
58:58.8,-0.028,-0.268,-0.971,1.008
58:58.9,-0.031,-0.265,-0.972,1.008
58:58.9,-0.029,-0.26,-0.97,1.005
58:58.9,-0.029,-0.262,-0.969,1.004
58:58.9,-0.034,-0.265,-0.966,1.002
58:58.9,-0.034,-0.268,-0.962,0.999
58:58.9,-0.031,-0.271,-0.96,0.998
58:58.9,-0.03,-0.274,-0.959,0.998
58:58.9,-0.028,-0.276,-0.955,0.994
58:58.9,-0.027,-0.276,-0.951,0.991
58:58.9,-0.023,-0.274,-0.951,0.99
58:59.0,-0.016,-0.28,-0.961,1.001
58:59.0,-0.016,-0.28,-0.961,1.001
58:59.0,-0.016,-0.28,-0.961,1.001
58:59.0,-0.016,-0.28,-0.959,0.999
58:59.0,-0.017,-0.28,-0.958,0.998
58:59.0,-0.02,-0.281,-0.955,0.996
58:59.0,-0.023,-0.282,-0.953,0.994
58:59.0,-0.025,-0.281,-0.951,0.992
58:59.0,-0.026,-0.281,-0.949,0.99
58:59.0,-0.026,-0.278,-0.948,0.988
58:59.1,-0.011,-0.276,-0.961,1
58:59.1,-0.011,-0.276,-0.961,1
58:59.1,-0.011,-0.276,-0.961,1
58:59.1,-0.011,-0.277,-0.964,1.003
58:59.1,-0.011,-0.275,-0.964,1.003
58:59.1,-0.012,-0.27,-0.964,1.001
58:59.1,-0.017,-0.269,-0.962,0.999
58:59.1,-0.024,-0.269,-0.959,0.996
58:59.1,-0.031,-0.267,-0.958,0.995
58:59.1,-0.034,-0.265,-0.957,0.994
58:59.2,-0.039,-0.261,-0.967,1.002
58:59.2,-0.039,-0.261,-0.967,1.002
58:59.2,-0.039,-0.261,-0.967,1.002
58:59.2,-0.034,-0.261,-0.975,1.01
58:59.2,-0.032,-0.266,-0.98,1.016
58:59.2,-0.031,-0.269,-0.976,1.013
58:59.2,-0.03,-0.27,-0.965,1.003
58:59.2,-0.029,-0.27,-0.958,0.996
58:59.2,-0.027,-0.271,-0.954,0.992
58:59.2,-0.028,-0.271,-0.952,0.99
58:59.3,-0.028,-0.271,-0.952,0.99
58:59.3,-0.026,-0.27,-0.958,0.996
58:59.3,-0.026,-0.27,-0.958,0.996
58:59.3,-0.026,-0.272,-0.959,0.997
58:59.3,-0.024,-0.274,-0.962,1.001
58:59.3,-0.019,-0.276,-0.964,1.003
58:59.3,-0.018,-0.278,-0.964,1.003
58:59.3,-0.019,-0.278,-0.96,1
58:59.3,-0.025,-0.279,-0.952,0.992
58:59.3,-0.026,-0.279,-0.947,0.988
58:59.4,-0.024,-0.278,-0.954,0.994
58:59.4,-0.024,-0.278,-0.954,0.994
58:59.4,-0.024,-0.278,-0.954,0.994
58:59.4,-0.018,-0.276,-0.958,0.997
58:59.4,-0.013,-0.277,-0.962,1.001
58:59.4,-0.009,-0.278,-0.964,1.003
58:59.4,-0.008,-0.276,-0.962,1.001
58:59.4,-0.011,-0.274,-0.96,0.998
58:59.4,-0.015,-0.272,-0.956,0.994
58:59.4,-0.019,-0.269,-0.956,0.993
