time,gFx,gFy,gFz
2020-12-10 13:56:42.2620,0.085,-0.311,-0.925,0.98
2020-12-10 13:56:42.2730,0.09,-0.312,-0.934,0.989
2020-12-10 13:56:42.2830,0.08,-0.318,-0.971,1.025
2020-12-10 13:56:42.2950,0.055,-0.316,-1.012,1.062
2020-12-10 13:56:42.3160,0.014,-0.266,-1.039,1.073
2020-12-10 13:56:42.3160,0.014,-0.266,-1.039,1.073
2020-12-10 13:56:42.3220,-0.0,-0.244,-1.03,1.059
2020-12-10 13:56:42.3340,-0.002,-0.234,-1.008,1.035
2020-12-10 13:56:42.3420,0.006,-0.237,-0.979,1.007
2020-12-10 13:56:42.3520,0.003,-0.246,-0.966,0.997
2020-12-10 13:56:42.3630,0.006,-0.253,-0.952,0.985
2020-12-10 13:56:42.3730,0.01,-0.26,-0.936,0.971
2020-12-10 13:56:42.3830,0.012,-0.262,-0.921,0.958
2020-12-10 13:56:42.4150,0.046,-0.288,-0.906,0.952
2020-12-10 13:56:42.4150,0.046,-0.288,-0.906,0.952
2020-12-10 13:56:42.4150,0.046,-0.288,-0.906,0.952
2020-12-10 13:56:42.4230,0.058,-0.291,-0.916,0.963
2020-12-10 13:56:42.4330,0.062,-0.279,-0.938,0.981
2020-12-10 13:56:42.4430,0.056,-0.276,-0.958,0.999
2020-12-10 13:56:42.4530,0.046,-0.278,-0.964,1.004
2020-12-10 13:56:42.4630,0.04,-0.279,-0.966,1.006
2020-12-10 13:56:42.4730,0.045,-0.278,-0.972,1.012
2020-12-10 13:56:42.4830,0.051,-0.275,-0.976,1.015
2020-12-10 13:56:42.4960,0.058,-0.273,-0.974,1.013
2020-12-10 13:56:42.5160,0.067,-0.276,-0.963,1.004
2020-12-10 13:56:42.5170,0.067,-0.276,-0.963,1.004
2020-12-10 13:56:42.5230,0.067,-0.279,-0.96,1.002
2020-12-10 13:56:42.5340,0.066,-0.28,-0.956,0.998
2020-12-10 13:56:42.5430,0.063,-0.28,-0.947,0.99
2020-12-10 13:56:42.5530,0.06,-0.28,-0.943,0.986
2020-12-10 13:56:42.5630,0.056,-0.276,-0.942,0.983
2020-12-10 13:56:42.5730,0.052,-0.274,-0.944,0.984
2020-12-10 13:56:42.5830,0.05,-0.272,-0.95,0.989
2020-12-10 13:56:42.5960,0.049,-0.273,-0.959,0.998
2020-12-10 13:56:42.6170,0.05,-0.271,-0.971,1.009
2020-12-10 13:56:42.6170,0.05,-0.271,-0.971,1.009
2020-12-10 13:56:42.6230,0.042,-0.27,-0.973,1.011
2020-12-10 13:56:42.6360,0.032,-0.269,-0.974,1.011
2020-12-10 13:56:42.6430,0.024,-0.266,-0.975,1.011
2020-12-10 13:56:42.6530,0.021,-0.262,-0.976,1.011
2020-12-10 13:56:42.6630,0.02,-0.259,-0.978,1.012
2020-12-10 13:56:42.6740,0.024,-0.258,-0.981,1.015
2020-12-10 13:56:42.6840,0.03,-0.259,-0.983,1.017
2020-12-10 13:56:42.6960,0.034,-0.259,-0.983,1.017
2020-12-10 13:56:42.7170,0.031,-0.26,-0.981,1.015
2020-12-10 13:56:42.7170,0.031,-0.26,-0.981,1.015
2020-12-10 13:56:42.7230,0.028,-0.259,-0.984,1.018
2020-12-10 13:56:42.7350,0.025,-0.258,-0.986,1.02
2020-12-10 13:56:42.7430,0.025,-0.257,-0.989,1.022
2020-12-10 13:56:42.7540,0.026,-0.259,-0.987,1.021
2020-12-10 13:56:42.7630,0.032,-0.26,-0.981,1.015
2020-12-10 13:56:42.7740,0.037,-0.264,-0.972,1.008
2020-12-10 13:56:42.7840,0.039,-0.27,-0.96,0.998
2020-12-10 13:56:42.7990,0.037,-0.274,-0.944,0.984
2020-12-10 13:56:42.8200,0.033,-0.276,-0.906,0.948
2020-12-10 13:56:42.8200,0.033,-0.276,-0.906,0.948
2020-12-10 13:56:42.8230,0.029,-0.276,-0.897,0.939
2020-12-10 13:56:42.8350,0.023,-0.274,-0.903,0.944
2020-12-10 13:56:42.8440,0.018,-0.272,-0.92,0.96
2020-12-10 13:56:42.8550,0.019,-0.264,-0.938,0.975
2020-12-10 13:56:42.8640,0.021,-0.257,-0.948,0.982
2020-12-10 13:56:42.8740,0.014,-0.253,-0.947,0.98
2020-12-10 13:56:42.8840,0.004,-0.249,-0.945,0.977
2020-12-10 13:56:42.9170,-0.01,-0.248,-0.945,0.977
2020-12-10 13:56:42.9170,-0.01,-0.248,-0.945,0.977
2020-12-10 13:56:42.9170,-0.01,-0.248,-0.945,0.977
2020-12-10 13:56:42.9230,-0.01,-0.249,-0.947,0.979
2020-12-10 13:56:42.9330,-0.004,-0.25,-0.947,0.979
2020-12-10 13:56:42.9440,-0.001,-0.253,-0.948,0.981
2020-12-10 13:56:42.9540,-0.003,-0.262,-0.954,0.989
2020-12-10 13:56:42.9640,-0.002,-0.266,-0.967,1.003
2020-12-10 13:56:42.9740,0.002,-0.26,-0.98,1.014
2020-12-10 13:56:42.9840,0.005,-0.253,-0.996,1.028
2020-12-10 13:56:43.0180,0.003,-0.257,-1.017,1.049
2020-12-10 13:56:43.0180,0.003,-0.257,-1.017,1.049
2020-12-10 13:56:43.0180,0.003,-0.257,-1.017,1.049
2020-12-10 13:56:43.0240,0.008,-0.259,-1.014,1.047
2020-12-10 13:56:43.0340,0.01,-0.265,-1.012,1.046
2020-12-10 13:56:43.0440,0.01,-0.269,-1.009,1.044
2020-12-10 13:56:43.0540,0.015,-0.273,-1.005,1.042
2020-12-10 13:56:43.0640,0.023,-0.271,-0.997,1.033
2020-12-10 13:56:43.0740,0.027,-0.272,-0.989,1.026
2020-12-10 13:56:43.0850,0.03,-0.275,-0.983,1.021
2020-12-10 13:56:43.1190,0.042,-0.275,-0.971,1.01
2020-12-10 13:56:43.1200,0.042,-0.275,-0.971,1.01
2020-12-10 13:56:43.1200,0.042,-0.275,-0.971,1.01
2020-12-10 13:56:43.1240,0.036,-0.276,-0.972,1.011
2020-12-10 13:56:43.1340,0.031,-0.276,-0.975,1.014
