time,gFx,gFy,gFz,acc
00:53.7,0.061,-0.297,-0.86,0.912
00:53.8,0.057,-0.286,-0.855,0.903
00:53.8,0.057,-0.286,-0.855,0.903
00:53.8,0.053,-0.267,-0.846,0.889
00:53.8,0.057,-0.267,-0.856,0.898
00:53.8,0.057,-0.27,-0.87,0.913
00:53.8,0.056,-0.265,-0.891,0.931
00:53.8,0.062,-0.257,-0.917,0.954
00:53.8,0.065,-0.25,-0.944,0.979
00:53.8,0.055,-0.245,-0.953,0.986
00:53.8,0.043,-0.236,-0.944,0.974
00:53.9,0.009,-0.195,-0.865,0.887
00:53.9,0.009,-0.195,-0.865,0.887
00:53.9,-0.013,-0.133,-0.787,0.798
00:53.9,-0.011,-0.159,-0.81,0.826
00:53.9,-0.044,-0.23,-0.846,0.878
00:53.9,-0.066,-0.258,-0.909,0.947
00:53.9,-0.045,-0.208,-0.976,0.999
00:53.9,-0.031,-0.159,-1.027,1.04
00:53.9,-0.039,-0.165,-1.056,1.07
00:54.0,0.049,-0.186,-0.988,1.007
00:54.0,0.049,-0.186,-0.988,1.007
00:54.0,0.049,-0.186,-0.988,1.007
00:54.0,0.062,-0.184,-0.988,1.007
00:54.0,0.06,-0.184,-1.005,1.023
00:54.0,0.044,-0.183,-1.025,1.042
00:54.0,0.022,-0.176,-1.043,1.058
00:54.0,0.003,-0.171,-1.063,1.077
00:54.0,-0.006,-0.171,-1.075,1.089
00:54.0,0.012,-0.184,-1.071,1.087
00:54.0,0.034,-0.187,-1.051,1.068
00:54.1,0.021,-0.177,-1.073,1.088
00:54.1,0.021,-0.177,-1.073,1.088
00:54.1,0.013,-0.174,-1.087,1.101
00:54.1,0.016,-0.176,-1.088,1.102
00:54.1,0.025,-0.18,-1.084,1.099
00:54.1,0.026,-0.192,-1.074,1.091
00:54.1,0.022,-0.202,-1.056,1.075
00:54.1,0.027,-0.208,-1.031,1.052
00:54.1,0.032,-0.225,-0.996,1.022
00:54.2,0.042,-0.237,-0.885,0.917
00:54.2,0.042,-0.237,-0.885,0.917
00:54.2,0.042,-0.237,-0.885,0.917
00:54.2,0.03,-0.242,-0.882,0.915
00:54.2,0.011,-0.249,-0.9,0.934
00:54.2,-0.007,-0.245,-0.928,0.96
00:54.2,-0.009,-0.221,-0.969,0.994
00:54.2,0.01,-0.181,-1.007,1.023
00:54.2,0.032,-0.168,-1.03,1.044
00:54.2,0.029,-0.194,-1.04,1.058
00:54.3,0.003,-0.207,-1.029,1.05
00:54.3,0.003,-0.207,-1.029,1.05
00:54.3,0.003,-0.207,-1.029,1.05
00:54.3,0.015,-0.196,-1.014,1.033
00:54.3,0.013,-0.203,-0.996,1.017
00:54.3,0,-0.204,-0.985,1.006
00:54.3,0.002,-0.208,-0.977,0.999
00:54.3,0.017,-0.214,-0.968,0.992
00:54.3,0.026,-0.213,-0.959,0.983
00:54.3,0.024,-0.211,-0.948,0.971
