time,gFx,gFy,gFz
2020-12-09 23:3:45.9050,-0.28,-0.031,-1.368,1.397
2020-12-09 23:3:45.9050,-0.28,-0.031,-1.368,1.397
2020-12-09 23:3:45.9090,-0.225,-0.056,-1.438,1.457
2020-12-09 23:3:45.9190,-0.109,-0.18,-1.477,1.492
2020-12-09 23:3:45.9290,-0.033,-0.248,-1.426,1.448
2020-12-09 23:3:45.9390,0.005,-0.288,-1.268,1.3
2020-12-09 23:3:45.9490,0.017,-0.369,-1.061,1.123
2020-12-09 23:3:45.9590,0.017,-0.425,-0.853,0.953
2020-12-09 23:3:45.9700,0.04,-0.464,-0.686,0.829
2020-12-09 23:3:45.9980,0.16,-0.542,-0.519,0.767
2020-12-09 23:3:45.9980,0.16,-0.542,-0.519,0.767
2020-12-09 23:3:45.9990,0.212,-0.553,-0.471,0.757
2020-12-09 23:3:46.0090,0.247,-0.55,-0.464,0.761
2020-12-09 23:3:46.0190,0.263,-0.53,-0.507,0.779
2020-12-09 23:3:46.0300,0.249,-0.492,-0.587,0.805
2020-12-09 23:3:46.0400,0.225,-0.45,-0.703,0.864
2020-12-09 23:3:46.0500,0.208,-0.421,-0.813,0.939
2020-12-09 23:3:46.0600,0.193,-0.358,-0.876,0.966
2020-12-09 23:3:46.0700,0.193,-0.29,-0.895,0.96
2020-12-09 23:3:46.1040,0.238,-0.108,-0.85,0.889
2020-12-09 23:3:46.1050,0.238,-0.108,-0.85,0.889
2020-12-09 23:3:46.1050,0.238,-0.108,-0.85,0.889
2020-12-09 23:3:46.1090,0.282,-0.073,-0.873,0.92
2020-12-09 23:3:46.1190,0.36,-0.058,-0.909,0.979
2020-12-09 23:3:46.1290,0.457,-0.125,-0.905,1.022
2020-12-09 23:3:46.1410,0.406,-0.21,-0.912,1.02
2020-12-09 23:3:46.1500,0.402,-0.194,-0.969,1.067
2020-12-09 23:3:46.1600,0.349,-0.174,-1.215,1.276
2020-12-09 23:3:46.1700,0.305,-0.246,-1.578,1.626
2020-12-09 23:3:46.2010,0.221,-0.029,-1.291,1.31
2020-12-09 23:3:46.2010,0.221,-0.029,-1.291,1.31
2020-12-09 23:3:46.2020,0.221,-0.029,-1.291,1.31
2020-12-09 23:3:46.2090,0.182,0.0,-1.111,1.126
2020-12-09 23:3:46.2200,0.159,-0.05,-0.974,0.988
2020-12-09 23:3:46.2310,0.154,-0.181,-1.019,1.046
2020-12-09 23:3:46.2400,0.156,-0.292,-1.18,1.226
2020-12-09 23:3:46.2510,0.16,-0.33,-1.262,1.314
2020-12-09 23:3:46.2600,0.134,-0.316,-1.162,1.212
2020-12-09 23:3:46.2710,0.068,-0.259,-1.018,1.053
2020-12-09 23:3:46.3060,0.068,-0.18,-0.788,0.811
2020-12-09 23:3:46.3070,0.068,-0.18,-0.788,0.811
2020-12-09 23:3:46.3070,0.068,-0.18,-0.788,0.811
2020-12-09 23:3:46.3100,0.048,-0.13,-0.714,0.727
2020-12-09 23:3:46.3200,0.052,-0.071,-0.665,0.671
2020-12-09 23:3:46.3320,0.074,-0.032,-0.662,0.667
2020-12-09 23:3:46.3410,0.076,-0.011,-0.7,0.704
2020-12-09 23:3:46.3510,0.036,-0.012,-0.733,0.734
2020-12-09 23:3:46.3610,-0.028,-0.021,-0.721,0.722
2020-12-09 23:3:46.3710,-0.077,-0.023,-0.69,0.695
