time,gFx,gFy,gFz,acc
17:43.8,-0.013,-0.361,-0.973,1.038
17:43.8,-0.078,-0.278,-1.014,1.054
17:43.8,-0.083,-0.24,-0.961,0.994
17:43.8,-0.076,-0.182,-0.913,0.934
17:43.8,-0.051,-0.158,-0.856,0.872
17:43.8,-0.007,-0.184,-0.778,0.799
17:43.8,0.017,-0.201,-0.699,0.728
17:43.9,-0.003,-0.199,-0.62,0.651
17:43.9,-0.046,-0.19,-0.536,0.571
17:43.9,-0.091,-0.184,-0.468,0.511
17:43.9,-0.122,-0.189,-0.429,0.484
17:43.9,-0.141,-0.21,-0.421,0.491
17:43.9,-0.148,-0.227,-0.482,0.553
17:43.9,-0.15,-0.245,-0.629,0.691
17:43.9,-0.16,-0.256,-0.761,0.819
17:44.0,-0.251,-0.202,-0.877,0.934
17:44.0,-0.251,-0.202,-0.877,0.934
17:44.0,-0.298,-0.196,-0.945,1.01
17:44.0,-0.338,-0.2,-1.038,1.11
17:44.0,-0.356,-0.198,-1.106,1.179
17:44.0,-0.316,-0.197,-1.138,1.197
17:44.0,-0.254,-0.228,-1.111,1.162
17:44.0,-0.189,-0.265,-1.09,1.138
17:44.0,-0.079,-0.352,-1.116,1.173
17:44.0,0.02,-0.499,-1.225,1.323
17:44.1,-0.008,-0.59,-1.41,1.528
17:44.1,-0.074,-0.479,-1.426,1.506
17:44.1,-0.074,-0.479,-1.426,1.506
17:44.1,-0.083,-0.418,-1.372,1.437
17:44.1,-0.052,-0.361,-1.324,1.373
17:44.1,-0.028,-0.272,-1.318,1.346
17:44.1,0,-0.202,-1.317,1.332
17:44.1,0.06,-0.209,-1.275,1.293
17:44.1,0.139,-0.253,-1.238,1.271
17:44.1,0.207,-0.281,-1.242,1.29
17:44.2,0.326,-0.3,-1.119,1.204
17:44.2,0.326,-0.3,-1.119,1.204
17:44.2,0.399,-0.332,-1.021,1.145
17:44.2,0.485,-0.4,-0.945,1.135
17:44.2,0.539,-0.469,-0.862,1.12
17:44.2,0.552,-0.518,-0.754,1.068
17:44.2,0.53,-0.542,-0.676,1.016
17:44.2,0.47,-0.551,-0.609,0.946
17:44.2,0.391,-0.554,-0.542,0.868
17:44.2,0.295,-0.566,-0.475,0.796
17:44.3,0.033,-0.517,-0.491,0.714
17:44.3,0.033,-0.517,-0.491,0.714
17:44.3,0.033,-0.517,-0.491,0.714
17:44.3,-0.013,-0.499,-0.554,0.746
17:44.3,-0.053,-0.451,-0.651,0.794
17:44.3,-0.089,-0.386,-0.792,0.886
17:44.3,-0.119,-0.326,-0.93,0.993
17:44.3,-0.145,-0.261,-1.083,1.123
17:44.3,-0.194,-0.184,-1.247,1.275
17:44.3,-0.269,-0.126,-1.374,1.406
17:44.4,-0.596,0.191,-1.248,1.396
17:44.4,-0.596,0.191,-1.248,1.396
17:44.4,-0.596,0.191,-1.248,1.396
17:44.4,-0.615,0.379,-1.207,1.407
17:44.4,-0.62,0.293,-1.375,1.537
17:44.4,-0.566,0.095,-1.431,1.542
17:44.4,-0.46,0.039,-1.309,1.388
17:44.4,-0.317,-0.007,-1.225,1.265
17:44.4,-0.147,-0.099,-1.214,1.227
17:44.4,0.011,-0.163,-1.247,1.258
17:44.5,0.012,-0.128,-1.321,1.327
17:44.5,0.012,-0.128,-1.321,1.327
17:44.5,0.012,-0.128,-1.321,1.327
17:44.5,-0.084,-0.093,-1.296,1.302
17:44.5,-0.18,-0.084,-1.26,1.276
17:44.5,-0.233,-0.051,-1.216,1.239
17:44.5,-0.259,0.018,-1.13,1.159
17:44.5,-0.255,0.106,-1.024,1.061
17:44.5,-0.166,0.047,-0.922,0.938
17:44.5,-0.097,-0.064,-0.812,0.82
17:44.6,-0.099,-0.094,-0.602,0.617
17:44.6,-0.099,-0.094,-0.602,0.617
17:44.6,-0.122,-0.131,-0.52,0.55
17:44.6,-0.19,-0.126,-0.476,0.528
17:44.6,-0.251,-0.073,-0.458,0.527
17:44.6,-0.288,-0.021,-0.451,0.536
17:44.6,-0.309,0.036,-0.512,0.599
17:44.6,-0.288,0.104,-0.567,0.644
17:44.6,-0.252,0.164,-0.654,0.72
17:44.6,-0.239,0.205,-0.737,0.801
17:44.7,-0.38,0.427,-1.067,1.21
17:44.7,-0.38,0.427,-1.067,1.21
17:44.7,-0.38,0.427,-1.067,1.21
17:44.7,-0.487,0.434,-1.145,1.318
17:44.7,-0.497,0.298,-1.219,1.35
17:44.7,-0.419,0.018,-1.329,1.394
17:44.7,-0.417,-0.131,-1.525,1.586
17:44.7,-0.49,-0.074,-1.765,1.833
17:44.7,-0.582,-0.01,-1.987,2.071
17:44.7,-0.631,0.026,-2.144,2.235
17:44.8,-0.58,0.074,-2.231,2.306
17:44.8,-0.58,0.074,-2.231,2.306
17:44.8,-0.411,-0.082,-2.067,2.109
17:44.8,-0.223,-0.232,-1.755,1.784
17:44.8,-0.037,-0.389,-1.367,1.422
17:44.8,0.136,-0.548,-1.029,1.174
17:44.8,0.286,-0.704,-0.75,1.068
17:44.8,0.436,-0.782,-0.531,1.041
17:44.8,0.544,-0.806,-0.404,1.053
17:44.8,0.633,-0.799,-0.37,1.084
17:44.9,0.784,-0.747,-0.409,1.158
17:44.9,0.784,-0.747,-0.409,1.158
17:44.9,0.784,-0.747,-0.409,1.158
17:44.9,0.763,-0.733,-0.414,1.136
17:44.9,0.717,-0.721,-0.422,1.101
17:44.9,0.648,-0.709,-0.451,1.061
17:44.9,0.552,-0.685,-0.479,1.002
17:44.9,0.461,-0.665,-0.509,0.956
17:44.9,0.366,-0.62,-0.477,0.864
17:44.9,0.262,-0.551,-0.403,0.731
17:45.0,0.108,-0.473,-0.445,0.658
17:45.0,0.108,-0.473,-0.445,0.658
17:45.0,0.108,-0.473,-0.445,0.658
17:45.0,0.068,-0.436,-0.618,0.759
17:45.0,0.061,-0.452,-0.88,0.991
17:45.0,0.042,-0.423,-1.26,1.33
17:45.0,-0.085,-0.311,-1.567,1.6
17:45.0,-0.231,-0.163,-1.809,1.831
17:45.0,-0.366,-0.012,-1.946,1.98
17:45.0,-0.386,0.034,-1.854,1.894
17:45.0,-0.327,-0.037,-1.589,1.623
17:45.1,-0.132,-0.443,-1.166,1.254
17:45.1,-0.132,-0.443,-1.166,1.254
17:45.1,-0.198,-0.37,-1.092,1.17
17:45.1,-0.296,-0.203,-1.151,1.206
17:45.1,-0.325,-0.113,-1.221,1.269
17:45.1,-0.29,0.038,-1.319,1.351
17:45.1,-0.195,0.126,-1.462,1.48
17:45.1,-0.086,0.066,-1.564,1.568
17:45.1,-0.051,0.045,-1.632,1.633
17:45.2,-0.196,-0.076,-1.329,1.346
17:45.2,-0.196,-0.076,-1.329,1.346
17:45.2,-0.196,-0.076,-1.329,1.346
17:45.2,-0.224,-0.042,-1.07,1.094
17:45.2,-0.203,-0.049,-0.771,0.799
17:45.2,-0.186,-0.063,-0.49,0.528
17:45.2,-0.201,-0.035,-0.328,0.386
17:45.2,-0.219,-0.001,-0.257,0.338
17:45.2,-0.223,0.018,-0.206,0.304
17:45.2,-0.233,-0.003,-0.185,0.298
17:45.3,-0.302,0.084,-0.263,0.409
17:45.3,-0.302,0.084,-0.263,0.409
17:45.3,-0.302,0.084,-0.263,0.409
17:45.3,-0.345,0.133,-0.246,0.444
17:45.3,-0.425,0.19,-0.242,0.525
17:45.3,-0.518,0.227,-0.259,0.622
17:45.3,-0.597,0.241,-0.296,0.709
17:45.3,-0.605,0.224,-0.342,0.73
17:45.3,-0.559,0.218,-0.34,0.69
17:45.3,-0.537,0.233,-0.325,0.67
17:45.4,-0.595,0.191,-0.385,0.734
17:45.4,-1.035,0.192,-0.579,1.201
17:45.4,-1.035,0.192,-0.579,1.201
17:45.4,-1.247,0.197,-0.588,1.393
17:45.4,-1.235,0.102,-0.6,1.377
17:45.4,-1.058,-0.115,-0.677,1.261
17:45.4,-0.929,-0.326,-1.001,1.404
17:45.4,-0.955,-0.265,-1.595,1.878
17:45.4,-1.019,-0.174,-2.32,2.54
17:45.4,-1.005,-0.234,-2.949,3.124
17:45.5,-0.817,-0.469,-3.357,3.487
17:45.5,-0.693,-0.594,-3.121,3.252
17:45.5,-0.693,-0.594,-3.121,3.252
17:45.5,-0.543,-0.664,-2.685,2.819
17:45.5,-0.333,-0.728,-2.145,2.29
17:45.5,-0.085,-0.845,-1.562,1.778
17:45.5,0.115,-0.846,-1.022,1.332
17:45.5,0.34,-0.859,-0.59,1.096
17:45.5,0.59,-0.941,-0.322,1.156
17:45.5,0.76,-0.972,-0.221,1.253
17:45.6,0.85,-0.929,-0.32,1.299
17:45.6,0.85,-0.929,-0.32,1.299
17:45.6,0.85,-0.929,-0.32,1.299
17:45.6,0.819,-0.942,-0.317,1.288
17:45.6,0.787,-0.939,-0.223,1.245
17:45.6,0.752,-0.933,-0.1,1.202
17:45.6,0.712,-0.909,0.001,1.155
17:45.6,0.658,-0.863,0.058,1.087
17:45.6,0.574,-0.792,0.088,0.982
17:45.6,0.474,-0.68,0.043,0.83
17:45.7,0.217,-0.265,-0.789,0.86
17:45.7,0.217,-0.265,-0.789,0.86
17:45.7,0.217,-0.265,-0.789,0.86
17:45.7,0.232,-0.242,-1.226,1.271
17:45.7,0.286,-0.247,-1.616,1.66
17:45.7,0.307,-0.134,-1.96,1.988
17:45.7,0.342,-0.073,-2.301,2.327
17:45.7,0.382,-0.093,-2.573,2.603
17:45.7,0.342,-0.082,-2.776,2.798
17:45.7,0.233,-0.185,-2.785,2.801
17:45.8,-0.561,-0.05,-2.569,2.63
17:45.8,-0.561,-0.05,-2.569,2.63
17:45.8,-0.99,0.089,-2.38,2.579
17:45.8,-1.232,0.201,-2.239,2.563
17:45.8,-1.229,0.217,-2.06,2.409
17:45.8,-1.04,0.151,-1.779,2.066
17:45.8,-0.735,-0.043,-1.509,1.679
17:45.8,-0.51,-0.227,-1.315,1.429
17:45.8,-0.416,-0.362,-1.148,1.274
17:45.8,-0.4,-0.42,-0.945,1.109
17:45.9,-0.415,-0.42,-0.713,0.926
17:45.9,-0.46,-0.384,-0.358,0.698
17:45.9,-0.46,-0.384,-0.358,0.698
17:45.9,-0.503,-0.335,-0.257,0.657
17:45.9,-0.555,-0.298,-0.138,0.645
17:45.9,-0.598,-0.297,-0.065,0.671
17:45.9,-0.629,-0.294,-0.015,0.694
17:45.9,-0.653,-0.252,0.067,0.703
17:45.9,-0.663,-0.21,0.185,0.72
17:45.9,-0.666,-0.149,0.3,0.745
17:46.0,-0.61,0.126,0.323,0.702
17:46.0,-0.61,0.126,0.323,0.702
17:46.0,-0.61,0.126,0.323,0.702
17:46.0,-0.52,0.215,0.394,0.687
17:46.0,-0.427,0.336,0.472,0.72
17:46.0,-0.352,0.476,0.472,0.757
17:46.0,-0.298,0.594,0.351,0.752
17:46.0,-0.273,0.687,0.141,0.753
17:46.0,-0.265,0.74,-0.136,0.798
17:46.0,-0.283,0.731,-0.504,0.932
17:46.1,-0.639,0.42,-1.774,1.932
17:46.1,-0.639,0.42,-1.774,1.932
17:46.1,-0.639,0.42,-1.774,1.932
17:46.1,-0.631,0.193,-1.727,1.849
17:46.1,-0.471,-0.065,-1.498,1.572
17:46.1,-0.308,-0.374,-1.271,1.36
17:46.1,-0.317,-0.534,-1.236,1.383
17:46.1,-0.389,-0.471,-1.611,1.723
17:46.1,-0.357,-0.35,-2.206,2.262
17:46.1,-0.211,-0.453,-2.739,2.784
17:46.2,-0.086,-0.73,-3.325,3.405
17:46.2,-0.086,-0.73,-3.325,3.405
17:46.2,-0.033,-0.798,-3.122,3.223
17:46.2,0.014,-0.815,-2.71,2.83
17:46.2,0.047,-0.8,-2.284,2.421
17:46.2,0.106,-0.793,-1.879,2.042
17:46.2,0.197,-0.77,-1.489,1.688
17:46.2,0.31,-0.709,-1.131,1.37
17:46.2,0.468,-0.702,-0.731,1.116
17:46.2,0.611,-0.792,-0.33,1.053
17:46.3,0.726,-0.847,0.055,1.117
17:46.3,0.726,-0.847,0.055,1.117
17:46.3,0.752,-0.826,0.179,1.131
17:46.3,0.746,-0.782,0.214,1.102
17:46.3,0.738,-0.747,0.187,1.067
17:46.3,0.721,-0.718,0.143,1.028
17:46.3,0.691,-0.685,0.076,0.976
17:46.3,0.664,-0.665,0.022,0.94
17:46.3,0.653,-0.646,-0.002,0.919
17:46.3,0.637,-0.606,-0.012,0.879
17:46.4,0.583,-0.504,-0.004,0.771
17:46.4,0.583,-0.504,-0.004,0.771
17:46.4,0.563,-0.441,-0.023,0.716
17:46.4,0.571,-0.386,-0.089,0.695
17:46.4,0.575,-0.373,-0.272,0.737
17:46.4,0.542,-0.388,-0.552,0.865
17:46.4,0.538,-0.444,-0.886,1.128
17:46.4,0.564,-0.488,-1.27,1.473
17:46.4,0.628,-0.596,-1.631,1.847
17:46.4,0.688,-0.863,-2.1,2.372
17:46.5,-0.365,-0.664,-3.74,3.816
17:46.5,-0.365,-0.664,-3.74,3.816
17:46.5,-0.365,-0.664,-3.74,3.816
17:46.5,-0.969,-0.338,-3.95,4.081
17:46.5,-1.462,-0.094,-3.777,4.051
17:46.5,-1.712,-0.003,-3.409,3.815
17:46.5,-1.686,0.027,-2.937,3.387
17:46.5,-1.409,-0.018,-2.409,2.791
17:46.5,-1.006,-0.138,-1.986,2.231
17:46.5,-0.675,-0.27,-1.712,1.86
17:46.6,-0.394,-0.381,-1.031,1.168
17:46.6,-0.394,-0.381,-1.031,1.168
17:46.6,-0.394,-0.381,-1.031,1.168
17:46.6,-0.375,-0.355,-0.676,0.851
17:46.6,-0.374,-0.296,-0.31,0.569
17:46.6,-0.393,-0.216,-0.009,0.449
17:46.6,-0.435,-0.124,0.171,0.484
17:46.6,-0.502,-0.017,0.251,0.562
17:46.6,-0.567,0.091,0.266,0.633
17:46.6,-0.613,0.214,0.286,0.709
17:46.7,-0.519,0.572,0.5,0.92
17:46.7,-0.519,0.572,0.5,0.92
17:46.7,-0.519,0.572,0.5,0.92
17:46.7,-0.465,0.669,0.575,0.997
17:46.7,-0.403,0.757,0.638,1.069
17:46.7,-0.318,0.825,0.675,1.112
17:46.7,-0.228,0.863,0.625,1.09
17:46.7,-0.135,0.869,0.482,1.003
17:46.7,-0.042,0.833,0.27,0.877
17:46.7,0.035,0.756,0.005,0.757
17:46.8,-0.124,0.574,-0.775,0.972
17:46.8,-0.124,0.574,-0.775,0.972
17:46.8,-0.124,0.574,-0.775,0.972
17:46.8,-0.248,0.457,-1.008,1.134
17:46.8,-0.32,0.291,-1.142,1.221
17:46.8,-0.321,0.067,-1.175,1.22
17:46.8,-0.282,-0.202,-1.121,1.173
17:46.8,-0.206,-0.462,-0.986,1.108
17:46.8,-0.097,-0.766,-0.898,1.184
17:46.8,-0.061,-1.03,-0.966,1.413
17:46.9,-0.521,-1.11,-1.808,2.185
17:46.9,-0.521,-1.11,-1.808,2.185
17:46.9,-0.835,-1.032,-2.375,2.721
17:46.9,-1.113,-0.945,-2.93,3.274
17:46.9,-1.297,-0.883,-3.288,3.643
17:46.9,-1.333,-0.79,-3.41,3.746
17:46.9,-1.202,-0.699,-3.321,3.6
17:46.9,-0.983,-0.602,-3.055,3.265
17:46.9,-0.717,-0.543,-2.66,2.808
17:46.9,-0.412,-0.501,-2.162,2.257
