time,gFx,gFy,gFz
2020-12-09 23:29:10.0830,0.06,-0.188,-0.916,0.937
2020-12-09 23:29:10.0830,0.06,-0.188,-0.916,0.937
2020-12-09 23:29:10.0870,0.059,-0.175,-0.999,1.016
2020-12-09 23:29:10.1040,0.101,-0.156,-1.096,1.112
2020-12-09 23:29:10.1070,0.128,-0.177,-1.101,1.122
2020-12-09 23:29:10.1200,0.099,-0.187,-1.044,1.065
2020-12-09 23:29:10.1270,0.082,-0.16,-0.979,0.995
2020-12-09 23:29:10.1380,0.085,-0.155,-0.972,0.988
2020-12-09 23:29:10.1480,0.082,-0.171,-0.998,1.016
2020-12-09 23:29:10.1810,-0.018,-0.171,-0.945,0.961
2020-12-09 23:29:10.1810,-0.018,-0.171,-0.945,0.961
2020-12-09 23:29:10.1810,-0.018,-0.171,-0.945,0.961
2020-12-09 23:29:10.1870,-0.016,-0.181,-0.954,0.971
2020-12-09 23:29:10.1970,-0.009,-0.189,-0.953,0.972
2020-12-09 23:29:10.2070,0.006,-0.183,-0.96,0.977
2020-12-09 23:29:10.2170,0.039,-0.167,-0.989,1.004
2020-12-09 23:29:10.2280,0.082,-0.163,-1.023,1.039
2020-12-09 23:29:10.2380,0.104,-0.174,-1.048,1.067
2020-12-09 23:29:10.2480,0.095,-0.181,-1.064,1.083
2020-12-09 23:29:10.2820,-0.011,-0.17,-1.071,1.084
2020-12-09 23:29:10.2820,-0.011,-0.17,-1.071,1.084
2020-12-09 23:29:10.2820,-0.011,-0.17,-1.071,1.084
2020-12-09 23:29:10.2870,0.008,-0.176,-1.096,1.11
2020-12-09 23:29:10.2970,0.051,-0.211,-1.141,1.161
2020-12-09 23:29:10.3070,0.096,-0.261,-1.193,1.225
2020-12-09 23:29:10.3180,0.117,-0.298,-1.215,1.256
2020-12-09 23:29:10.3280,0.101,-0.301,-1.2,1.241
2020-12-09 23:29:10.3380,0.065,-0.289,-1.136,1.174
2020-12-09 23:29:10.3490,0.029,-0.279,-1.057,1.094
2020-12-09 23:29:10.3810,-0.037,-0.297,-0.835,0.887
2020-12-09 23:29:10.3810,-0.037,-0.297,-0.835,0.887
2020-12-09 23:29:10.3820,-0.037,-0.297,-0.835,0.887
2020-12-09 23:29:10.3870,-0.02,-0.264,-0.788,0.831
2020-12-09 23:29:10.3970,0.032,-0.225,-0.758,0.791
2020-12-09 23:29:10.4080,0.106,-0.202,-0.727,0.762
2020-12-09 23:29:10.4190,0.163,-0.184,-0.707,0.749
2020-12-09 23:29:10.4280,0.204,-0.174,-0.708,0.757
2020-12-09 23:29:10.4380,0.226,-0.168,-0.739,0.791
2020-12-09 23:29:10.4490,0.216,-0.156,-0.796,0.839
2020-12-09 23:29:10.4860,0.062,-0.093,-0.895,0.902
2020-12-09 23:29:10.4860,0.062,-0.093,-0.895,0.902
2020-12-09 23:29:10.4860,0.062,-0.093,-0.895,0.902
2020-12-09 23:29:10.4870,0.007,-0.053,-0.91,0.912
2020-12-09 23:29:10.4980,-0.032,-0.026,-0.931,0.932
2020-12-09 23:29:10.5080,-0.036,-0.062,-0.984,0.987
2020-12-09 23:29:10.5180,-0.02,-0.17,-0.96,0.975
2020-12-09 23:29:10.5290,0.009,-0.27,-0.998,1.034
2020-12-09 23:29:10.5390,0.064,-0.346,-1.081,1.137
2020-12-09 23:29:10.5490,0.112,-0.443,-1.193,1.278
2020-12-09 23:29:10.5870,-0.303,-0.093,-1.389,1.425
2020-12-09 23:29:10.5870,-0.303,-0.093,-1.389,1.425
2020-12-09 23:29:10.5880,-0.322,-0.144,-1.461,1.503
2020-12-09 23:29:10.5890,-0.322,-0.144,-1.461,1.503
2020-12-09 23:29:10.5980,-0.269,-0.243,-1.525,1.567
2020-12-09 23:29:10.6080,-0.257,-0.212,-1.577,1.612
2020-12-09 23:29:10.6180,-0.236,-0.13,-1.602,1.624
2020-12-09 23:29:10.6290,-0.201,-0.111,-1.601,1.617
2020-12-09 23:29:10.6390,-0.202,-0.088,-1.549,1.565
2020-12-09 23:29:10.6490,-0.225,-0.041,-1.438,1.456
2020-12-09 23:29:10.6850,-0.256,-0.055,-1.136,1.166
2020-12-09 23:29:10.6850,-0.256,-0.055,-1.136,1.166
2020-12-09 23:29:10.6850,-0.256,-0.055,-1.136,1.166
2020-12-09 23:29:10.6880,-0.272,-0.045,-1.064,1.099
2020-12-09 23:29:10.6980,-0.268,-0.049,-0.992,1.029
2020-12-09 23:29:10.7080,-0.22,-0.074,-0.903,0.932
2020-12-09 23:29:10.7190,-0.145,-0.095,-0.799,0.818
2020-12-09 23:29:10.7290,-0.053,-0.107,-0.68,0.69
2020-12-09 23:29:10.7390,0.023,-0.128,-0.558,0.573
2020-12-09 23:29:10.7500,0.055,-0.15,-0.451,0.478
2020-12-09 23:29:10.7890,-0.012,-0.278,-0.312,0.418
2020-12-09 23:29:10.7890,-0.012,-0.278,-0.312,0.418
2020-12-09 23:29:10.7890,-0.012,-0.278,-0.312,0.418
2020-12-09 23:29:10.7890,-0.012,-0.278,-0.312,0.418
2020-12-09 23:29:10.7990,-0.0,-0.339,-0.4,0.524
2020-12-09 23:29:10.8090,-0.001,-0.417,-0.523,0.669
2020-12-09 23:29:10.8190,-0.014,-0.492,-0.627,0.797
2020-12-09 23:29:10.8300,-0.009,-0.555,-0.712,0.903
2020-12-09 23:29:10.8390,0.004,-0.596,-0.797,0.995
2020-12-09 23:29:10.8500,0.066,-0.594,-0.899,1.08
2020-12-09 23:29:10.8860,0.176,-0.682,-0.983,1.209
2020-12-09 23:29:10.8860,0.176,-0.682,-0.983,1.209
2020-12-09 23:29:10.8860,0.176,-0.682,-0.983,1.209
2020-12-09 23:29:10.8890,0.181,-0.733,-1.007,1.259
2020-12-09 23:29:10.8990,0.142,-0.77,-1.008,1.276
2020-12-09 23:29:10.9090,0.056,-0.789,-0.961,1.245
2020-12-09 23:29:10.9190,-0.044,-0.781,-0.908,1.198
2020-12-09 23:29:10.9300,-0.131,-0.79,-0.867,1.18
2020-12-09 23:29:10.9400,-0.196,-0.793,-0.859,1.185
2020-12-09 23:29:10.9500,-0.217,-0.73,-0.85,1.141
2020-12-09 23:29:10.9820,-0.022,-0.351,-0.78,0.856
2020-12-09 23:29:10.9820,-0.022,-0.351,-0.78,0.856
2020-12-09 23:29:10.9820,-0.022,-0.351,-0.78,0.856
2020-12-09 23:29:10.9890,0.058,-0.217,-0.79,0.821
2020-12-09 23:29:10.9990,0.13,-0.147,-0.787,0.811
2020-12-09 23:29:11.0090,0.175,-0.123,-0.78,0.809
