time,gFx,gFy,gFz,acc
55:05.2,-0.081,-0.337,-1.009,1.067
55:05.2,-0.071,-0.274,-1.108,1.144
55:05.2,-0.058,-0.222,-1.167,1.189
55:05.2,-0.031,-0.142,-1.087,1.097
55:05.2,-0.031,-0.142,-1.087,1.097
55:05.2,-0.031,-0.142,-1.087,1.097
55:05.2,-0.01,-0.145,-1.029,1.039
55:05.2,0.016,-0.159,-0.961,0.974
55:05.2,0.031,-0.174,-0.889,0.906
55:05.3,0.043,-0.192,-0.834,0.857
55:05.3,0.054,-0.214,-0.79,0.82
55:05.3,0.052,-0.221,-0.757,0.79
55:05.3,0.042,-0.222,-0.758,0.791
55:05.3,0.006,-0.195,-0.841,0.863
55:05.3,0.006,-0.195,-0.841,0.863
55:05.3,0.006,-0.195,-0.841,0.863
55:05.3,-0.007,-0.181,-0.858,0.877
55:05.3,-0.018,-0.17,-0.872,0.889
55:05.3,-0.035,-0.167,-0.879,0.895
55:05.4,-0.057,-0.173,-0.891,0.909
55:05.4,-0.075,-0.196,-0.916,0.94
55:05.4,-0.09,-0.218,-0.903,0.933
55:05.4,-0.114,-0.222,-0.859,0.895
55:05.4,-0.114,-0.26,-0.918,0.961
55:05.4,-0.114,-0.26,-0.918,0.961
55:05.4,-0.114,-0.26,-0.918,0.961
55:05.4,-0.073,-0.268,-0.924,0.965
55:05.4,-0.036,-0.286,-0.923,0.967
55:05.4,-0.016,-0.303,-0.875,0.926
55:05.5,-0.002,-0.31,-0.815,0.872
55:05.5,0.014,-0.316,-0.778,0.84
55:05.5,0.031,-0.333,-0.761,0.831
55:05.5,0.048,-0.354,-0.761,0.841
55:05.5,0.032,-0.398,-0.755,0.854
55:05.5,0.032,-0.398,-0.755,0.854
55:05.5,0.032,-0.398,-0.755,0.854
55:05.5,0.02,-0.418,-0.726,0.838
55:05.5,0.008,-0.436,-0.697,0.822
55:05.5,0.001,-0.45,-0.688,0.822
55:05.6,0.001,-0.464,-0.682,0.825
55:05.6,0.011,-0.475,-0.668,0.82
55:05.6,0.022,-0.484,-0.678,0.833
55:05.6,0.033,-0.489,-0.699,0.854
55:05.6,0.078,-0.491,-0.791,0.934
55:05.6,0.078,-0.491,-0.791,0.934
55:05.6,0.078,-0.491,-0.791,0.934
55:05.6,0.089,-0.48,-0.8,0.937
55:05.6,0.067,-0.466,-0.808,0.935
55:05.6,0.042,-0.465,-0.825,0.948
55:05.7,0.067,-0.456,-0.819,0.94
55:05.7,0.049,-0.439,-0.801,0.915
55:05.7,0.033,-0.433,-0.805,0.915
55:05.7,0.039,-0.433,-0.796,0.907
55:05.7,0.065,-0.411,-0.784,0.888
55:05.7,0.065,-0.411,-0.784,0.888
55:05.7,0.065,-0.411,-0.784,0.888
55:05.7,0.05,-0.433,-0.823,0.931
55:05.7,0.051,-0.446,-0.891,0.998
55:05.7,0.076,-0.443,-0.978,1.076
55:05.8,0.084,-0.444,-1.041,1.135
55:05.8,0.075,-0.44,-1.069,1.158
55:05.8,0.058,-0.408,-1.087,1.162
55:05.8,0.045,-0.332,-1.125,1.174
55:05.8,0.027,-0.037,-1.049,1.05
55:05.8,0.027,-0.037,-1.049,1.05
55:05.8,0.027,-0.037,-1.049,1.05
55:05.8,-0.033,0.055,-1.078,1.08
55:05.8,-0.018,0.069,-1.212,1.214
55:05.8,0.016,-0.006,-1.209,1.209
55:05.9,0.078,-0.057,-1.176,1.18
55:05.9,0.155,-0.071,-1.134,1.147
55:05.9,0.203,-0.088,-1.059,1.082
55:05.9,0.234,-0.117,-0.991,1.025
55:05.9,0.078,-0.242,-1.134,1.162
55:05.9,0.078,-0.242,-1.134,1.162
55:05.9,0.078,-0.242,-1.134,1.162
55:05.9,0.078,-0.242,-1.134,1.162
55:05.9,0.008,-0.244,-1.283,1.306
55:05.9,-0.083,-0.228,-1.441,1.461
55:06.0,-0.164,-0.173,-1.599,1.617
55:06.0,-0.2,-0.106,-1.695,1.71
55:06.0,-0.214,-0.065,-1.743,1.757
55:06.0,-0.218,-0.066,-1.767,1.782
55:06.0,-0.212,-0.233,-1.626,1.656
55:06.0,-0.212,-0.233,-1.626,1.656
55:06.0,-0.212,-0.233,-1.626,1.656
55:06.0,-0.247,-0.298,-1.556,1.603
55:06.0,-0.231,-0.359,-1.4,1.464
55:06.0,-0.203,-0.441,-1.414,1.495
55:06.1,-0.2,-0.452,-1.312,1.402
55:06.1,-0.2,-0.439,-1.194,1.288
55:06.1,-0.186,-0.444,-1.154,1.25
55:06.1,-0.221,-0.418,-1.152,1.245
55:06.1,-0.106,-0.374,-1.363,1.417
55:06.1,-0.106,-0.374,-1.363,1.417
55:06.1,-0.106,-0.374,-1.363,1.417
55:06.1,-0.106,-0.374,-1.363,1.417
55:06.1,-0.118,-0.34,-1.367,1.414
55:06.1,-0.162,-0.307,-1.316,1.361
55:06.2,-0.198,-0.275,-1.179,1.227
55:06.2,-0.226,-0.256,-1.04,1.095
55:06.2,-0.23,-0.22,-0.886,0.941
55:06.2,-0.214,-0.18,-0.776,0.825
55:06.2,-0.1,-0.097,-0.757,0.77
55:06.2,-0.1,-0.097,-0.757,0.77
55:06.2,-0.1,-0.097,-0.757,0.77
55:06.2,-0.081,-0.046,-0.805,0.81
55:06.2,-0.073,0.005,-0.89,0.893
55:06.2,-0.093,0.063,-0.951,0.958
55:06.3,-0.146,0.109,-1.024,1.04
55:06.3,-0.21,0.147,-1.092,1.122
55:06.3,-0.251,0.145,-1.11,1.147
55:06.3,-0.29,0.098,-0.966,1.013
55:06.3,-0.219,-0.345,-0.542,0.679
55:06.3,-0.219,-0.345,-0.542,0.679
55:06.3,-0.219,-0.345,-0.542,0.679
55:06.3,-0.162,-0.49,-0.666,0.843
55:06.3,-0.12,-0.504,-0.968,1.098
55:06.3,-0.127,-0.393,-1.354,1.416
55:06.4,-0.11,-0.281,-1.709,1.735
55:06.4,-0.019,-0.238,-1.908,1.923
55:06.4,0.087,-0.229,-1.953,1.968
55:06.4,0.235,-0.322,-1.848,1.891
55:06.4,0.55,-0.726,-1.423,1.69
55:06.4,0.55,-0.726,-1.423,1.69
55:06.4,0.55,-0.726,-1.423,1.69
55:06.4,0.346,-0.671,-1.303,1.506
55:06.4,0.195,-0.685,-1.045,1.265
55:06.4,0.213,-0.776,-0.757,1.105
55:06.5,0.246,-0.845,-0.36,0.951
55:06.5,0.281,-0.85,0.026,0.896
55:06.5,0.352,-0.796,0.313,0.925
55:06.5,0.479,-0.725,0.486,0.996
55:06.5,1.016,-0.338,0.18,1.086
55:06.5,1.016,-0.338,0.18,1.086
55:06.5,1.016,-0.338,0.18,1.086
55:06.5,1.085,-0.201,-0.107,1.109
55:06.5,1.038,-0.097,-0.366,1.105
55:06.5,0.913,-0.014,-0.549,1.065
55:06.6,0.693,0.065,-0.722,1.003
55:06.6,0.38,0.109,-0.891,0.975
55:06.6,0.157,0.061,-1.028,1.042
55:06.6,0.06,-0.107,-1.071,1.078
55:06.6,-0.426,-0.375,-0.895,1.06
55:06.6,-0.426,-0.375,-0.895,1.06
55:06.6,-0.426,-0.375,-0.895,1.06
55:06.6,-0.506,-0.506,-0.926,1.17
55:06.6,-0.552,-0.57,-0.931,1.223
55:06.7,-0.529,-0.514,-0.998,1.241
55:06.7,-0.517,-0.326,-1.102,1.26
55:06.7,-0.476,-0.08,-1.271,1.36
55:06.7,-0.318,-0.01,-1.413,1.448
55:06.7,-0.206,-0.031,-1.495,1.509
55:06.7,-0.548,-0.067,-1.198,1.319
55:06.7,-0.548,-0.067,-1.198,1.319
55:06.7,-0.548,-0.067,-1.198,1.319
55:06.7,-0.582,-0.117,-0.862,1.047
55:06.7,-0.551,-0.124,-0.493,0.75
55:06.8,-0.472,-0.085,-0.199,0.519
55:06.8,-0.363,-0.028,-0.068,0.37
55:06.8,-0.277,0.047,-0.068,0.289
55:06.8,-0.224,0.154,-0.203,0.339
55:06.8,-0.141,0.272,-0.386,0.493
55:06.8,-0.226,0.07,-1.654,1.671
55:06.8,-0.226,0.07,-1.654,1.671
55:06.8,-0.226,0.07,-1.654,1.671
55:06.8,-0.226,0.07,-1.654,1.671
55:06.8,-0.369,-0.192,-1.865,1.911
55:06.9,-0.615,-0.294,-1.79,1.915
55:06.9,-0.758,-0.308,-1.437,1.654
55:06.9,-0.662,-0.403,-1.011,1.274
55:06.9,-0.316,-0.534,-0.753,0.976
55:06.9,0.076,-0.643,-0.671,0.932
55:06.9,0.217,-0.033,-2.009,2.021
55:06.9,0.217,-0.033,-2.009,2.021
55:06.9,0.217,-0.033,-2.009,2.021
55:06.9,0.192,0.118,-2.449,2.459
55:06.9,0.226,0.197,-2.663,2.68
55:07.0,0.434,0.075,-2.582,2.619
55:07.0,0.682,-0.136,-2.27,2.374
55:07.0,0.818,-0.193,-1.883,2.062
55:07.0,0.93,-0.196,-1.465,1.746
55:07.0,1.04,-0.181,-1.088,1.516
55:07.0,1.367,-0.28,-0.382,1.447
55:07.0,1.367,-0.28,-0.382,1.447
55:07.0,1.367,-0.28,-0.382,1.447
55:07.0,1.386,-0.462,-0.292,1.49
55:07.0,1.213,-0.617,-0.225,1.379
55:07.1,0.832,-0.629,-0.135,1.052
55:07.1,0.444,-0.573,-0.014,0.725
55:07.1,0.195,-0.488,0.154,0.548
55:07.1,0.123,-0.442,0.363,0.585
55:07.1,0.169,-0.4,0.52,0.677
55:07.1,0.516,-0.171,-0.285,0.614
55:07.1,0.516,-0.171,-0.285,0.614
55:07.1,0.516,-0.171,-0.285,0.614
55:07.1,0.592,-0.12,-0.713,0.934
55:07.1,0.616,-0.065,-1.099,1.262
55:07.2,0.639,-0.03,-1.349,1.493
55:07.2,0.772,-0.239,-1.376,1.596
55:07.2,0.868,-0.506,-1.357,1.688
55:07.2,0.817,-0.471,-1.33,1.63
55:07.2,0.705,-0.372,-1.226,1.462
55:07.2,-0.109,0.209,-1.467,1.486
55:07.2,-0.109,0.209,-1.467,1.486
55:07.2,-0.109,0.209,-1.467,1.486
55:07.2,-0.403,0.41,-1.774,1.865
55:07.2,-0.53,0.558,-1.949,2.095
55:07.3,-0.44,0.585,-2.011,2.14
55:07.3,-0.198,0.514,-1.979,2.054
55:07.3,0.004,0.47,-1.847,1.906
55:07.3,0.082,0.419,-1.656,1.71
55:07.3,0.072,0.322,-1.421,1.459
55:07.3,-0.234,0.068,-0.468,0.528
55:07.3,-0.234,0.068,-0.468,0.528
55:07.3,-0.234,0.068,-0.468,0.528
55:07.3,-0.341,0.077,-0.211,0.408
55:07.3,-0.397,0.106,-0.053,0.414
55:07.4,-0.408,0.171,-0.035,0.444
55:07.4,-0.339,0.217,-0.131,0.423
55:07.4,-0.232,0.222,-0.276,0.423
55:07.4,-0.124,0.192,-0.427,0.484
55:07.4,-0.036,0.139,-0.53,0.549
55:07.4,-0.183,0.005,-0.903,0.921
55:07.4,-0.183,0.005,-0.903,0.921
55:07.4,-0.183,0.005,-0.903,0.921
55:07.4,-0.316,-0.033,-1.017,1.065
55:07.4,-0.447,-0.145,-0.819,0.944
55:07.5,-0.487,-0.116,-0.415,0.65
55:07.5,-0.138,-0.257,-0.099,0.308
55:07.5,0.311,-0.595,-0.004,0.671
55:07.5,0.434,-0.701,-0.469,0.949
55:07.5,0.283,-0.419,-1.251,1.349
55:07.5,-0.402,0.234,-3.461,3.492
55:07.5,-0.402,0.234,-3.461,3.492
55:07.5,-0.402,0.234,-3.461,3.492
55:07.5,-0.613,0.263,-3.483,3.546
55:07.5,-0.675,0.131,-3.135,3.21
55:07.6,-0.608,-0.132,-2.593,2.667
55:07.6,-0.499,-0.289,-2.027,2.107
55:07.6,-0.314,-0.355,-1.503,1.576
55:07.6,0.011,-0.395,-1.076,1.146
55:07.6,0.387,-0.432,-0.658,0.877
55:07.6,1.264,-0.7,-0.051,1.446
55:07.6,1.264,-0.7,-0.051,1.446
55:07.6,1.264,-0.7,-0.051,1.446
55:07.6,1.406,-0.849,-0.06,1.644
55:07.6,1.414,-0.96,-0.065,1.71
55:07.7,1.282,-0.947,-0.009,1.594
55:07.7,1.062,-0.839,0.064,1.355
55:07.7,0.882,-0.74,0.099,1.156
55:07.7,0.757,-0.64,0.046,0.992
55:07.7,0.704,-0.523,-0.127,0.886
55:07.7,0.696,0.044,-1.332,1.504
55:07.7,0.696,0.044,-1.332,1.504
55:07.7,0.696,0.044,-1.332,1.504
55:07.7,0.675,0.239,-1.684,1.83
55:07.7,0.736,0.092,-1.843,1.987
55:07.8,0.674,-0.166,-1.869,1.994
55:07.8,0.435,-0.145,-1.586,1.651
55:07.8,0.206,-0.177,-1.249,1.278
55:07.8,0.08,-0.369,-0.925,0.999
55:07.8,-0.196,-0.2,-0.557,0.623
55:07.8,-0.473,0.6,-1.487,1.672
55:07.8,-0.473,0.6,-1.487,1.672
55:07.8,-0.473,0.6,-1.487,1.672
55:07.8,-0.181,0.521,-1.946,2.023
55:07.8,0.029,0.383,-2.094,2.129
55:07.9,0.07,0.294,-1.956,1.979
55:07.9,0.039,0.192,-1.65,1.662
55:07.9,-0.002,0.115,-1.261,1.266
55:07.9,-0.097,0.07,-0.85,0.858
55:07.9,-0.239,0.008,-0.504,0.558
55:07.9,-0.606,-0.037,-0.307,0.68
55:07.9,-0.606,-0.037,-0.307,0.68
55:07.9,-0.606,-0.037,-0.307,0.68
55:07.9,-0.756,0.063,-0.427,0.871
55:07.9,-0.719,0.123,-0.5,0.884
55:08.0,-0.519,0.122,-0.519,0.744
55:08.0,-0.35,0.153,-0.602,0.713
55:08.0,-0.31,0.212,-0.801,0.885
55:08.0,-0.379,0.303,-1.065,1.17
55:08.0,-0.504,0.367,-1.287,1.43
55:08.0,-1.075,0.262,-1.207,1.637
55:08.0,-1.075,0.262,-1.207,1.637
55:08.0,-1.075,0.262,-1.207,1.637
55:08.0,-1.075,0.262,-1.207,1.637
55:08.0,-0.861,0.014,-0.875,1.228
55:08.1,-0.469,-0.245,-0.444,0.691
55:08.1,0.01,-0.308,-0.044,0.311
55:08.1,0.505,-0.535,0.055,0.738
55:08.1,0.775,-0.672,-0.283,1.064
55:08.1,0.695,-0.365,-0.917,1.207
55:08.1,-0.07,0.125,-2.765,2.769
55:08.1,-0.07,0.125,-2.765,2.769
55:08.1,-0.07,0.125,-2.765,2.769
55:08.1,-0.169,0.007,-2.781,2.786
55:08.1,-0.145,-0.172,-2.538,2.548
55:08.2,-0.087,-0.286,-2.134,2.155
55:08.2,-0.026,-0.318,-1.664,1.694
55:08.2,0.059,-0.296,-1.235,1.271
55:08.2,0.203,-0.292,-0.861,0.932
55:08.2,0.386,-0.338,-0.573,0.769
55:08.2,1.029,-0.547,-0.07,1.167
55:08.2,1.029,-0.547,-0.07,1.167
55:08.2,1.029,-0.547,-0.07,1.167
55:08.2,1.184,-0.651,0.022,1.351
55:08.2,1.232,-0.704,0.121,1.424
55:08.3,1.173,-0.67,0.197,1.365
55:08.3,1.085,-0.605,0.213,1.26
55:08.3,0.993,-0.543,0.14,1.14
55:08.3,0.909,-0.433,-0.055,1.008
55:08.3,0.884,-0.271,-0.377,0.999
55:08.3,1.123,0.08,-1.58,1.94
55:08.3,1.123,0.08,-1.58,1.94
55:08.3,1.123,0.08,-1.58,1.94
55:08.3,1.055,0.255,-1.917,2.203
55:08.3,0.972,0.278,-2.109,2.339
55:08.4,0.879,-0.064,-2.119,2.295
55:08.4,0.545,-0.092,-2.083,2.155
55:08.4,0.177,-0.025,-1.894,1.902
55:08.4,-0.115,-0.119,-1.608,1.616
55:08.4,-0.508,0.171,-1.112,1.234
55:08.4,-0.76,0.598,-1.797,2.041
55:08.4,-0.76,0.598,-1.797,2.041
55:08.4,-0.76,0.598,-1.797,2.041
55:08.4,-0.472,0.475,-2.292,2.388
55:08.4,-0.318,0.3,-2.448,2.487
55:08.5,-0.385,0.2,-2.292,2.333
55:08.5,-0.45,0.084,-1.859,1.915
55:08.5,-0.396,-0.022,-1.269,1.33
55:08.5,-0.296,-0.109,-0.68,0.75
55:08.5,-0.296,-0.197,-0.315,0.475
55:08.5,-0.717,-0.191,-0.218,0.773
55:08.5,-0.717,-0.191,-0.218,0.773
55:08.5,-0.717,-0.191,-0.218,0.773
55:08.5,-0.74,-0.068,-0.286,0.796
55:08.5,-0.544,0.016,-0.334,0.639
55:08.6,-0.261,0.078,-0.367,0.457
55:08.6,-0.079,0.192,-0.447,0.493
55:08.6,-0.062,0.389,-0.584,0.704
55:08.6,-0.176,0.585,-0.743,0.962
