loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,avAudioRecorderPeakPower,avAudioRecorderAveragePower,label
1607223141.913372,1,0,0,1607223140.999975,24.60691951638608,73.67820225253831,594.3975,1.49,163.1250017782714,3.512332353829331,4.635521380495677,-9999,1607223140.950256,-4.348678588867188,-42.5233154296875,-10.46135711669922,173.3061065673828,172.5707244873047,13.0475549697876,34012.299165375,0.1994476318359375,-0.518585205078125,-0.745513916015625,34011.7844875,0.4483298361301422,1.453599333763123,0.1531360298395157,34011.3289865,-164.1132049560547,-50.50271606445312,-120.0825805664062,34011.3361775,-0.2546322399319345,0.01600351936889292,0.4195418949374167,-0.008145814761519432,0.1397096663713455,-0.08017358183860779,0.1150084286928177,-0.05300033092498779,-0.06340378522872925,2,0.2075375559518228,-0.01867644353620199,-0.1225323026177988,0.9703428917048464,0.01461500115692616,-0.4073421061038971,-0.9131587147712708,-4.348678588867188,-42.5233154296875,-10.46135711669922,2,33998.738282625,4,2,1607223128.345215,1607223123.808484,29,0.9076957,0.6860657,1.900381,21.72,0,0,1607223138.604242,34008.640543,0,0.06866455,94.86966,0,1682321854,5,1,0.35,-26.51532,-32.44161,1
1607223142.913855,2,0,0,1607223141.999978,24.60690630507933,73.67820787538626,594.4586,1.49,162.0703143858783,3.512332257472066,4.635521453505529,-9999,1607223141.952038,-8.940338134765625,-42.80939483642578,-3.231033325195312,162.9022064208984,162.1668243408203,13.04495048522949,34013.30097441667,0.0455474853515625,-0.511932373046875,-0.7845306396484375,34012.786295375,0.1512821912765503,0.1331849545240402,0.2986125349998474,34012.330341375,-168.2760162353516,-50.59034729003906,-112.6071319580078,34012.337986375,-0.11421627460771,0.1362743013185838,0.6322894722540733,0.6433483362197876,-0.1250319480895996,0.1599901914596558,0.0729973316192627,0.01482123136520386,0.159320592880249,2,0.3133710527616554,0.04690039721653205,-0.03298927954825304,0.9478980017879441,0.1095893532037735,-0.5909931659698486,-0.7991978526115417,-8.940338134765625,-42.80939483642578,-3.231033325195312,2,33998.738282625,4,2,1607223128.345215,1607223123.808484,29,0.9076957,0.6860657,1.900381,21.72,0,0,1607223138.604242,34009.706371,0,0.06079102,94.86975,0,1682321854,5,1,0.35,-13.4213,-20.01475,1
1607223143.915383,3,0,0,1607223141.999978,24.60690630507933,73.67820787538626,594.4586,1.49,162.0703143858783,3.512332257472066,4.635521453505529,-9999,1607223142.953811,-12.86248779296875,-39.60296630859375,-13.49810791015625,157.8388366699219,157.1034545898438,13.0457067489624,34014.302783625,0.033721923828125,-0.38006591796875,-0.7807769775390625,34013.78810441667,1.128745436668396,-0.2627756893634796,0.2745857536792755,34013.33165141667,-172.4211730957031,-47.69403076171875,-122.4753265380859,34013.33979441667,0.009041618203150322,0.0476666894078405,0.4023324999229441,-0.07266367226839066,-0.2113607972860336,0.1439794152975082,-0.03024831414222717,-0.05420464277267456,0.01589155197143555,2,0.1996478435716324,0.02425332989599016,0.009190063494174394,0.9795244202293951,0.04384390637278557,-0.3915656507015228,-0.919105052947998,-12.86248779296875,-39.60296630859375,-13.49810791015625,2,33998.738282625,4,2,1607223128.345215,1607223123.808484,34,0.8664565,0.6807252,1.913481,25.69057,0,0,1607223141.168823,34010.772093,0,0.05548096,94.86981,0,1682321854,5,1,0.35,-17.51708,-28.86778,1
1607223144.920282,4,0,0,1607223143.999978,24.60687950826997,73.67822146485078,593.9107,1.49,157.1484398789854,3.512332053467396,4.635521608079758,-9999,1607223143.955546,-5.574844360351562,-40.20806121826172,-15.80342102050781,171.1022033691406,170.3668212890625,13.04444026947021,34015.304592375,-0.0502777099609375,-0.4900360107421875,-0.594879150390625,34014.78991462501,0.3684986531734467,0.254792332649231,0.002168612089008093,34014.333004625,-165.3347015380859,-48.1732177734375,-124.81201171875,34014.34160362501,-0.2143192833613297,0.01032626845900469,0.2982295704990205,0.4083428978919983,-0.9153341054916382,-0.3583351969718933,0.03830172121524811,0.009465605020523071,-0.1298403143882751,2,0.1482547461082439,-0.01081274368481157,-0.1050037328797885,0.9832994870429939,0.009870273061096668,-0.2938283979892731,-0.9558072090148926,-5.574844360351562,-40.20806121826172,-15.80342102050781,2,33998.738282625,4,2,1607223128.345215,1607223123.808484,34,0.8664565,0.6807252,1.913481,25.69057,0,0,1607223141.168823,34011.837884,0,0.02642822,94.87015,0,1682321854,5,1,0.35,-11.61708,-12.54383,1
1607223145.922668,5,0,0,1607223144.99998,24.6068660266636,73.67822699743675,594.0436,1.49,158.9062522046978,3.512331955196388,4.635521682539641,-9999,1607223144.95744,-6.026046752929688,-43.33083343505859,-6.840652465820312,171.5087738037109,170.7733917236328,13.04445171356201,34016.306402875,-0.02801513671875,-0.450927734375,-0.6120147705078125,34015.791723375,0.4091379642486572,-0.4044207036495209,0.3036770522594452,34015.334289375,-165.5209655761719,-51.01629638671875,-115.9426422119141,34015.34341337501,-0.2127513728208648,-0.02759716395018053,0.5056369263796391,0.200649619102478,-0.07219758629798889,-0.149996280670166,-0.0005784779787063599,-0.06911736726760864,0.1486724615097046,2,0.2472777827178779,-0.03983947362928245,-0.1062220874922419,0.9622803442423545,-0.02414076030254364,-0.484364777803421,-0.8745330572128296,-6.026046752929688,-43.33083343505859,-6.840652465820312,2,33998.738282625,4,2,1607223128.345215,1607223123.808484,34,0.8664565,0.6807252,1.913481,25.69057,0,0,1607223141.168823,34012.903651,0,-0.02642822,94.87074,0,1682321854,1,1,0.35,-13.39268,-18.1761,1
1607223146.92094,6,0,0,1607223145.999982,24.60685275810869,73.67823007633103,594.1877,1.46,163.8281266718448,3.512331866555318,4.635521749702926,-9999,1607223145.959187,-3.4677734375,-44.57631683349609,0.23492431640625,177.0240631103516,176.2886810302734,13.0443172454834,34017.30821216667,-0.0709991455078125,-0.4131927490234375,-0.6933746337890625,34016.793532875,-0.1106748506426811,0.008680840022861958,0.3087703585624695,34016.335528875,-162.8615570068359,-52.49205017089844,-108.9243316650391,34016.345222875,-0.2796491956670784,-0.1073583023260471,0.6552118728014549,0.4357045888900757,-0.4124917685985565,-0.09188473224639893,0.008089244365692139,0.04438579082489014,0.2263420820236206,2,0.3110978876887327,-0.09508535358437746,-0.1488629765223128,0.9338184224616273,-0.08496299386024475,-0.6093272566795349,-0.7883537411689758,-3.4677734375,-44.57631683349609,0.23492431640625,2,33998.738282625,4,2,1607223128.345215,1607223123.808484,39,0.8320735,0.6807252,1.913481,29.81033,0,0,1607223143.733509,34013.969404,0,-0.06079102,94.87112,0,1682321854,5,1,0.35,-12.67966,-34.05544,1
1607223148.013158,7,0,0,1607223146.999983,24.60683896069454,73.67823256997463,593.8026,1.46,167.6953137792151,3.512331778496683,4.635521816424896,-9999,1607223148.002856,-41.47735595703125,-10.54569625854492,13.59302520751953,118.7828826904297,118.0475006103516,13.05267333984375,34018.310021625,-1.306533813476562,0.5130157470703125,-0.4817962646484375,34017.79534316667,-2.785400390625,-1.247955918312073,1.122360944747925,34017.33687616667,-162.8122406005859,-51.84027099609375,-118.179443359375,34017.34703316667,-0.3040026405492796,-0.04478600196374605,0.4571986079137255,0.1110270768404007,0.08587503433227539,-0.01671712845563889,0.04619994759559631,0.118758499622345,0.1728821992874146,2,0.2206422902612842,-0.05586162392307981,-0.1524561899571284,0.96174507767338,-0.04017271846532822,-0.4414361715316772,-0.8963929414749146,-3.1866455078125,-43.57609558105469,-9.391983032226562,2,33998.738282625,4,2,1607223128.345215,1607223123.808484,39,0.8320735,0.6807252,1.913481,29.81033,0,0,1607223143.733509,34015.035141,0,-0.07928467,94.87134,0,1682321854,1,1,0.35,-0.6877679,-6.65365,1
1607223148.924227,8,0,0,1607223147.999988,24.60682113549574,73.67823853693098,594.4089,1.76,165.2343768442167,3.512331664625213,4.63552190270523,-9999,1607223148.002856,-41.47735595703125,-10.54569625854492,13.59302520751953,118.7828826904297,118.0475006103516,13.05267333984375,34019.311831875,-1.23333740234375,0.7976531982421875,0.3475189208984375,34018.797152625,-0.1031415686011314,-1.324415326118469,-2.169952869415283,34018.338240625,-201.5290069580078,-22.33589172363281,-101.0810699462891,34018.348841625,-0.1701320752427211,-1.085343493087687,-0.2809314214830808,0.3079760670661926,-1.576427340507507,1.050962328910828,0.06924253702163696,0.1394973397254944,0.498060405254364,2,-0.1629017763826336,-0.4993041483557437,-2.775557561562891e-17,0.8509749936352049,-0.8497906923294067,0.2772506773471832,-0.448316752910614,-42.15953063964844,-13.57228851318359,8.949722290039062,2,33998.738282625,4,2,1607223128.345215,1607223123.808484,44,0.8105047,0.6790076,1.922161,33.74317,0,0,1607223146.298092,34016.100961,0,-0.08459473,94.87141,0,1682321854,1,1,0.35,-120,-120,1
1607223149.926353,9,0,0,1607223148.999988,24.60680808020131,73.67824403204706,594.2808,1.76,162.7734396429462,3.512331570328496,4.635521974153784,-9999,1607223149.004764,-7.149398803710938,-23.67462921142578,53.95708847045898,110.4928970336914,109.7575149536133,13.09056091308594,34020.3136415,-0.5619049072265625,1.185562133789062,-0.192901611328125,34019.798962875,0.5840283036231995,1.474895358085632,0.6727405786514282,34019.339567875,-166.9109039306641,-31.82994079589844,-57.2515869140625,34019.350652875,-0.1314574118244209,-1.979251920877365,-0.1851339763762958,1.109952569007874,-1.092896580696106,-0.3661286234855652,-0.1653148531913757,0.2528419196605682,-0.0502561628818512,2,-0.1053002163666849,-0.8271120817370865,0.04118726050799418,0.5505461648358033,-0.9020527005195618,0.1840782165527344,0.3904050588607788,-6.933212280273438,-23.79105567932129,52.36889266967773,2,34019.569682875,4,2,1607223149.176615,1607223123.808484,44,0.8105047,0.6790076,1.922161,33.74317,0,0,1607223146.298092,34017.166726,0,-0.1188965,94.8718,0,1682321854,1,1,0.35,-120,-120,1
1607223150.928151,10,0,0,1607223149.999992,24.60679999665575,73.67824636508975,594.0906,1.38,163.4765641136422,3.51233150424956,4.635522024221745,-9999,1607223150.006557,-16.078369140625,-18.14738845825195,60.08150482177734,109.3025512695312,108.5671691894531,13.13160800933838,34021.315452,-0.058013916015625,1.387939453125,-0.40252685546875,34020.8007725,2.535409688949585,-0.2386589199304581,0.8612462878227234,34020.3408725,-176.6662445068359,-26.66267395019531,-53.0076904296875,34020.3524625,-0.1556173458017085,-1.692582511125039,-0.3750412295182,0.07444285601377487,-1.474368333816528,-0.365053653717041,-0.1090990304946899,0.4226905703544617,0.3466908931732178,2,-0.1803672765058345,-0.7238703271048186,0.08856300336348191,0.6600272436883575,-0.9236005544662476,0.3663108944892883,0.1130412071943283,-17.06498718261719,-18.42007446289062,56.66967391967773,2,34019.569682875,4,2,1607223149.176615,1607223123.808484,44,0.8105047,0.6790076,1.922161,33.74317,0,0,1607223146.298092,34018.232456,0,-0.1480103,94.87215,0,1682321854,1,1,0.35,-120,-120,1
