time,gFx,gFy,gFz,acc
52:32.6,0.01,-0.293,-1.114,1.152
52:32.6,0.058,-0.285,-1.239,1.273
52:32.6,0.09,-0.313,-1.254,1.296
52:32.7,0.057,-0.351,-1.166,1.219
52:32.7,0.057,-0.351,-1.166,1.219
52:32.7,0.057,-0.351,-1.166,1.219
52:32.7,0.029,-0.357,-1.152,1.206
52:32.7,0.004,-0.352,-1.135,1.188
52:32.7,-0.022,-0.326,-1.104,1.151
52:32.7,-0.04,-0.287,-1.1,1.138
52:32.7,-0.047,-0.246,-1.115,1.143
52:32.7,-0.05,-0.204,-1.105,1.125
52:32.7,-0.042,-0.169,-1.085,1.099
52:32.8,-0.004,-0.071,-1.033,1.035
52:32.8,-0.004,-0.071,-1.033,1.035
52:32.8,-0.004,-0.071,-1.033,1.035
52:32.8,-0.004,-0.071,-1.033,1.035
52:32.8,-0.011,-0.068,-0.998,1
52:32.8,-0.027,-0.077,-0.965,0.968
52:32.8,-0.042,-0.089,-0.932,0.937
52:32.8,-0.061,-0.101,-0.894,0.902
52:32.8,-0.072,-0.116,-0.872,0.883
52:32.8,-0.072,-0.147,-0.843,0.859
52:32.9,-0.069,-0.251,-0.737,0.782
52:32.9,-0.069,-0.251,-0.737,0.782
52:32.9,-0.069,-0.251,-0.737,0.782
52:32.9,-0.069,-0.251,-0.737,0.782
52:32.9,-0.053,-0.266,-0.731,0.78
52:32.9,-0.032,-0.285,-0.735,0.789
52:32.9,-0.016,-0.302,-0.735,0.795
52:32.9,-0.002,-0.313,-0.739,0.803
52:32.9,0.015,-0.329,-0.744,0.814
52:32.9,0.031,-0.348,-0.749,0.826
52:33.0,0.078,-0.388,-0.768,0.864
52:33.0,0.078,-0.388,-0.768,0.864
52:33.0,0.078,-0.388,-0.768,0.864
52:33.0,0.099,-0.392,-0.792,0.889
52:33.0,0.115,-0.394,-0.82,0.917
52:33.0,0.126,-0.401,-0.85,0.948
52:33.0,0.132,-0.411,-0.869,0.97
52:33.0,0.125,-0.42,-0.875,0.979
52:33.0,0.111,-0.421,-0.879,0.981
52:33.0,0.099,-0.417,-0.888,0.986
52:33.1,0.064,-0.428,-0.891,0.991
52:33.1,0.064,-0.428,-0.891,0.991
52:33.1,0.064,-0.428,-0.891,0.991
52:33.1,0.046,-0.429,-0.881,0.981
52:33.1,0.037,-0.43,-0.868,0.969
52:33.1,0.042,-0.438,-0.854,0.961
52:33.1,0.058,-0.444,-0.832,0.945
52:33.1,0.077,-0.453,-0.813,0.934
52:33.1,0.088,-0.464,-0.794,0.924
52:33.1,0.099,-0.475,-0.782,0.92
52:33.2,0.154,-0.499,-0.868,1.013
52:33.2,0.154,-0.499,-0.868,1.013
52:33.2,0.154,-0.499,-0.868,1.013
52:33.2,0.161,-0.51,-0.878,1.028
52:33.2,0.155,-0.519,-0.878,1.032
52:33.2,0.152,-0.53,-0.878,1.037
52:33.2,0.15,-0.541,-0.884,1.047
52:33.2,0.139,-0.546,-0.899,1.061
52:33.2,0.127,-0.547,-0.928,1.085
52:33.2,0.111,-0.553,-0.976,1.127
52:33.3,0.123,-0.556,-1.003,1.153
52:33.3,0.123,-0.556,-1.003,1.153
52:33.3,0.123,-0.556,-1.003,1.153
52:33.3,0.09,-0.547,-0.978,1.124
52:33.3,0.05,-0.523,-0.947,1.083
52:33.3,0.014,-0.485,-0.96,1.076
52:33.3,0.002,-0.449,-0.974,1.073
52:33.3,0.001,-0.407,-0.96,1.043
52:33.3,0.038,-0.372,-0.936,1.008
52:33.3,0.097,-0.343,-0.89,0.959
52:33.4,0.288,-0.335,-0.836,0.946
52:33.4,0.288,-0.335,-0.836,0.946
52:33.4,0.288,-0.335,-0.836,0.946
52:33.4,0.314,-0.328,-0.834,0.95
52:33.4,0.32,-0.354,-0.835,0.962
52:33.4,0.355,-0.392,-0.847,0.999
52:33.4,0.374,-0.43,-0.847,1.021
