time,gFx,gFy,gFz,acc
53:28.5,-0.101,-0.267,-0.815,0.864
53:28.5,-0.08,-0.264,-0.904,0.945
53:28.5,-0.059,-0.273,-0.962,1.002
53:28.5,-0.044,-0.295,-0.919,0.966
53:28.6,-0.033,-0.304,-0.859,0.912
53:28.6,-0.021,-0.327,-0.818,0.881
53:28.6,-0.007,-0.361,-0.789,0.868
53:28.6,0.029,-0.425,-0.765,0.876
53:28.6,0.029,-0.425,-0.765,0.876
53:28.6,0.029,-0.425,-0.765,0.876
53:28.6,0.046,-0.432,-0.762,0.877
53:28.6,0.064,-0.429,-0.758,0.873
53:28.6,0.088,-0.433,-0.752,0.872
53:28.6,0.102,-0.427,-0.743,0.863
53:28.7,0.116,-0.428,-0.744,0.866
53:28.7,0.118,-0.43,-0.747,0.87
53:28.7,0.112,-0.432,-0.757,0.879
53:28.7,0.052,-0.45,-0.779,0.901
53:28.7,0.052,-0.45,-0.779,0.901
53:28.7,0.052,-0.45,-0.779,0.901
53:28.7,0.052,-0.45,-0.779,0.901
53:28.7,0.049,-0.455,-0.791,0.914
53:28.7,0.048,-0.458,-0.796,0.92
53:28.7,0.05,-0.465,-0.799,0.926
53:28.8,0.052,-0.475,-0.803,0.934
53:28.8,0.062,-0.481,-0.809,0.943
53:28.8,0.074,-0.491,-0.811,0.951
53:28.8,0.125,-0.538,-0.808,0.979
53:28.8,0.125,-0.538,-0.808,0.979
53:28.8,0.125,-0.538,-0.808,0.979
53:28.8,0.125,-0.538,-0.808,0.979
53:28.8,0.14,-0.549,-0.832,1.007
53:28.8,0.154,-0.562,-0.863,1.041
53:28.8,0.168,-0.572,-0.915,1.092
53:28.9,0.175,-0.57,-0.982,1.149
53:28.9,0.182,-0.567,-1.039,1.198
53:28.9,0.174,-0.56,-1.062,1.213
53:28.9,0.163,-0.551,-1.068,1.213
53:28.9,0.061,-0.533,-1.167,1.284
53:28.9,0.061,-0.533,-1.167,1.284
53:28.9,0.061,-0.533,-1.167,1.284
53:28.9,0.018,-0.512,-1.192,1.297
53:28.9,-0.017,-0.492,-1.203,1.3
53:28.9,-0.039,-0.46,-1.197,1.283
53:29.0,-0.042,-0.421,-1.196,1.269
53:29.0,-0.026,-0.385,-1.196,1.257
53:29.0,-0.001,-0.345,-1.161,1.211
53:29.0,0.093,-0.254,-0.877,0.918
53:29.0,0.093,-0.254,-0.877,0.918
53:29.0,0.093,-0.254,-0.877,0.918
53:29.0,0.118,-0.246,-0.811,0.856
53:29.0,0.13,-0.236,-0.774,0.82
53:29.0,0.146,-0.228,-0.777,0.823
53:29.0,0.16,-0.227,-0.787,0.835
53:29.1,0.165,-0.215,-0.792,0.837
53:29.1,0.17,-0.205,-0.799,0.842
53:29.1,0.17,-0.202,-0.8,0.842
53:29.1,0.157,-0.195,-0.813,0.851
53:29.1,0.157,-0.195,-0.813,0.851
53:29.1,0.157,-0.195,-0.813,0.851
