time,gFx,gFy,gFz
2020-12-10 13:15:57.4390,-0.061,-0.135,-0.84,0.853
2020-12-10 13:15:57.4540,-0.065,-0.16,-0.836,0.854
2020-12-10 13:15:57.4550,-0.065,-0.16,-0.836,0.854
2020-12-10 13:15:57.4620,-0.049,-0.17,-0.84,0.858
2020-12-10 13:15:57.4720,-0.037,-0.167,-0.86,0.877
2020-12-10 13:15:57.4820,-0.037,-0.14,-0.876,0.888
2020-12-10 13:15:57.4930,-0.042,-0.119,-0.884,0.893
2020-12-10 13:15:57.5030,-0.027,-0.114,-0.881,0.889
2020-12-10 13:15:57.5130,-0.006,-0.121,-0.864,0.872
2020-12-10 13:15:57.5230,0.008,-0.134,-0.834,0.845
2020-12-10 13:15:57.5330,0.007,-0.151,-0.801,0.815
2020-12-10 13:15:57.5640,-0.02,-0.214,-0.696,0.728
2020-12-10 13:15:57.5640,-0.02,-0.214,-0.696,0.728
2020-12-10 13:15:57.5640,-0.02,-0.214,-0.696,0.728
2020-12-10 13:15:57.5730,-0.017,-0.241,-0.675,0.717
2020-12-10 13:15:57.5830,-0.011,-0.268,-0.672,0.724
2020-12-10 13:15:57.5930,-0.006,-0.286,-0.685,0.742
2020-12-10 13:15:57.6030,-0.008,-0.285,-0.707,0.762
2020-12-10 13:15:57.6130,-0.014,-0.275,-0.725,0.776
2020-12-10 13:15:57.6230,-0.015,-0.268,-0.741,0.788
2020-12-10 13:15:57.6330,-0.009,-0.265,-0.764,0.809
2020-12-10 13:15:57.6640,-0.016,-0.277,-0.817,0.863
2020-12-10 13:15:57.6640,-0.016,-0.277,-0.817,0.863
2020-12-10 13:15:57.6650,-0.016,-0.277,-0.817,0.863
2020-12-10 13:15:57.6730,-0.014,-0.288,-0.823,0.872
2020-12-10 13:15:57.6830,-0.013,-0.297,-0.829,0.881
2020-12-10 13:15:57.6930,-0.019,-0.308,-0.843,0.898
2020-12-10 13:15:57.7030,-0.021,-0.316,-0.871,0.927
2020-12-10 13:15:57.7130,-0.016,-0.317,-0.916,0.969
2020-12-10 13:15:57.7240,-0.008,-0.311,-0.975,1.023
2020-12-10 13:15:57.7330,-0.002,-0.302,-1.041,1.084
2020-12-10 13:15:57.7640,0.005,-0.293,-1.193,1.228
2020-12-10 13:15:57.7650,0.005,-0.293,-1.193,1.228
2020-12-10 13:15:57.7650,0.005,-0.293,-1.193,1.228
2020-12-10 13:15:57.7730,-0.005,-0.289,-1.224,1.258
2020-12-10 13:15:57.7830,-0.014,-0.28,-1.241,1.272
2020-12-10 13:15:57.7940,-0.02,-0.274,-1.25,1.28
2020-12-10 13:15:57.8030,-0.015,-0.285,-1.26,1.292
2020-12-10 13:15:57.8140,-0.002,-0.314,-1.269,1.307
2020-12-10 13:15:57.8240,-0.016,-0.332,-1.267,1.31
2020-12-10 13:15:57.8340,-0.067,-0.318,-1.264,1.305
2020-12-10 13:15:57.8650,-0.138,-0.233,-1.372,1.398
2020-12-10 13:15:57.8650,-0.138,-0.233,-1.372,1.398
2020-12-10 13:15:57.8650,-0.138,-0.233,-1.372,1.398
2020-12-10 13:15:57.8730,-0.112,-0.161,-1.407,1.421
2020-12-10 13:15:57.8830,-0.067,-0.085,-1.417,1.421
2020-12-10 13:15:57.8940,-0.009,-0.033,-1.391,1.391
2020-12-10 13:15:57.9030,0.048,-0.004,-1.326,1.327
2020-12-10 13:15:57.9140,0.093,0.006,-1.228,1.232
2020-12-10 13:15:57.9240,0.118,0.004,-1.115,1.121
2020-12-10 13:15:57.9340,0.126,-0.013,-1.0,1.008
2020-12-10 13:15:57.9640,0.094,-0.092,-0.795,0.806
2020-12-10 13:15:57.9650,0.094,-0.092,-0.795,0.806
2020-12-10 13:15:57.9650,0.094,-0.092,-0.795,0.806
2020-12-10 13:15:57.9730,0.067,-0.104,-0.775,0.785
2020-12-10 13:15:57.9840,0.04,-0.113,-0.769,0.778
2020-12-10 13:15:57.9940,0.018,-0.121,-0.776,0.786
2020-12-10 13:15:58.0040,0.005,-0.129,-0.785,0.796
2020-12-10 13:15:58.0140,-0.007,-0.13,-0.796,0.807
2020-12-10 13:15:58.0240,-0.009,-0.127,-0.808,0.818
2020-12-10 13:15:58.0340,0.001,-0.121,-0.818,0.827
2020-12-10 13:15:58.0640,0.052,-0.104,-0.856,0.864
2020-12-10 13:15:58.0640,0.052,-0.104,-0.856,0.864
2020-12-10 13:15:58.0650,0.052,-0.104,-0.856,0.864
2020-12-10 13:15:58.0740,0.058,-0.111,-0.868,0.877
2020-12-10 13:15:58.0840,0.058,-0.117,-0.871,0.881
2020-12-10 13:15:58.0940,0.065,-0.121,-0.868,0.879
2020-12-10 13:15:58.1040,0.085,-0.117,-0.867,0.879
2020-12-10 13:15:58.1140,0.102,-0.115,-0.874,0.887
2020-12-10 13:15:58.1250,0.099,-0.12,-0.884,0.898
2020-12-10 13:15:58.1340,0.085,-0.125,-0.88,0.893
2020-12-10 13:15:58.1650,0.057,-0.216,-0.793,0.824
2020-12-10 13:15:58.1650,0.057,-0.216,-0.793,0.824
2020-12-10 13:15:58.1660,0.057,-0.216,-0.793,0.824
2020-12-10 13:15:58.1740,0.055,-0.273,-0.762,0.811
2020-12-10 13:15:58.1840,0.045,-0.32,-0.735,0.803
2020-12-10 13:15:58.1940,0.025,-0.351,-0.729,0.809
2020-12-10 13:15:58.2040,0.009,-0.351,-0.731,0.811
2020-12-10 13:15:58.2140,-0.009,-0.341,-0.734,0.809
2020-12-10 13:15:58.2250,-0.012,-0.35,-0.741,0.82
2020-12-10 13:15:58.2340,-0.001,-0.373,-0.761,0.847
2020-12-10 13:15:58.2610,0.017,-0.387,-0.83,0.916
2020-12-10 13:15:58.2620,0.017,-0.387,-0.83,0.916
2020-12-10 13:15:58.2640,0.023,-0.368,-0.866,0.941
2020-12-10 13:15:58.2740,0.045,-0.36,-0.91,0.98
2020-12-10 13:15:58.2840,0.067,-0.364,-0.954,1.023
2020-12-10 13:15:58.2950,0.074,-0.368,-0.994,1.063
2020-12-10 13:15:58.3040,0.067,-0.364,-1.036,1.1
2020-12-10 13:15:58.3140,0.052,-0.357,-1.078,1.137
2020-12-10 13:15:58.3250,0.031,-0.346,-1.127,1.179
2020-12-10 13:15:58.3340,0.008,-0.334,-1.176,1.223
2020-12-10 13:15:58.3660,-0.008,-0.36,-1.261,1.311
2020-12-10 13:15:58.3660,-0.008,-0.36,-1.261,1.311
2020-12-10 13:15:58.3670,-0.008,-0.36,-1.261,1.311
2020-12-10 13:15:58.3740,-0.008,-0.362,-1.242,1.294
2020-12-10 13:15:58.3840,-0.022,-0.34,-1.208,1.255
2020-12-10 13:15:58.3950,-0.034,-0.319,-1.194,1.236
2020-12-10 13:15:58.4040,-0.036,-0.308,-1.216,1.255
2020-12-10 13:15:58.4150,-0.03,-0.275,-1.273,1.303
2020-12-10 13:15:58.4250,-0.03,-0.217,-1.346,1.364
2020-12-10 13:15:58.4350,-0.034,-0.143,-1.404,1.412
2020-12-10 13:15:58.4660,0.016,-0.025,-1.446,1.446
2020-12-10 13:15:58.4670,0.016,-0.025,-1.446,1.446
2020-12-10 13:15:58.4670,0.016,-0.025,-1.446,1.446
2020-12-10 13:15:58.4740,0.047,-0.016,-1.395,1.396
2020-12-10 13:15:58.4850,0.064,-0.009,-1.311,1.313
2020-12-10 13:15:58.4950,0.061,-0.005,-1.201,1.203
2020-12-10 13:15:58.5040,0.041,-0.021,-1.087,1.088
2020-12-10 13:15:58.5150,0.012,-0.046,-0.987,0.988
2020-12-10 13:15:58.5250,-0.028,-0.069,-0.892,0.895
2020-12-10 13:15:58.5350,-0.057,-0.105,-0.805,0.814
2020-12-10 13:15:58.5670,-0.087,-0.215,-0.633,0.674
2020-12-10 13:15:58.5670,-0.087,-0.215,-0.633,0.674
2020-12-10 13:15:58.5670,-0.087,-0.215,-0.633,0.674
2020-12-10 13:15:58.5740,-0.091,-0.225,-0.62,0.666
2020-12-10 13:15:58.5850,-0.087,-0.227,-0.626,0.672
2020-12-10 13:15:58.5950,-0.081,-0.213,-0.641,0.68
2020-12-10 13:15:58.6050,-0.064,-0.189,-0.659,0.689
2020-12-10 13:15:58.6150,-0.033,-0.171,-0.677,0.699
2020-12-10 13:15:58.6250,0.006,-0.153,-0.695,0.712
2020-12-10 13:15:58.6350,0.051,-0.131,-0.711,0.725
2020-12-10 13:15:58.6650,0.143,-0.107,-0.769,0.789
2020-12-10 13:15:58.6660,0.143,-0.107,-0.769,0.789
2020-12-10 13:15:58.6660,0.143,-0.107,-0.769,0.789
2020-12-10 13:15:58.6750,0.151,-0.119,-0.784,0.807
2020-12-10 13:15:58.6850,0.136,-0.134,-0.799,0.821
2020-12-10 13:15:58.6950,0.113,-0.159,-0.804,0.827
2020-12-10 13:15:58.7050,0.093,-0.188,-0.793,0.82
2020-12-10 13:15:58.7150,0.077,-0.214,-0.772,0.805
2020-12-10 13:15:58.7250,0.062,-0.24,-0.75,0.79
2020-12-10 13:15:58.7350,0.056,-0.262,-0.729,0.777
2020-12-10 13:15:58.7630,0.063,-0.296,-0.705,0.767
2020-12-10 13:15:58.7630,0.063,-0.296,-0.705,0.767
2020-12-10 13:15:58.7650,0.068,-0.303,-0.715,0.78
2020-12-10 13:15:58.7750,0.067,-0.311,-0.739,0.805
2020-12-10 13:15:58.7850,0.065,-0.318,-0.773,0.838
2020-12-10 13:15:58.7950,0.058,-0.324,-0.814,0.878
2020-12-10 13:15:58.8050,0.053,-0.332,-0.865,0.928
2020-12-10 13:15:58.8150,0.06,-0.335,-0.931,0.991
2020-12-10 13:15:58.8260,0.079,-0.344,-0.997,1.058
2020-12-10 13:15:58.8360,0.107,-0.358,-1.042,1.107
