time,gFx,gFy,gFz,acc
24:41.5,-0.027,-0.185,-0.831,0.852
24:41.6,-0.011,-0.21,-0.816,0.843
24:41.6,-0.011,-0.21,-0.816,0.843
24:41.6,-0.014,-0.231,-0.798,0.831
24:41.6,-0.018,-0.249,-0.775,0.814
24:41.6,-0.013,-0.263,-0.752,0.797
24:41.6,-0.007,-0.281,-0.725,0.778
24:41.6,0.003,-0.305,-0.692,0.756
24:41.6,0.011,-0.331,-0.663,0.741
24:41.6,0.014,-0.351,-0.637,0.727
24:41.6,0.01,-0.368,-0.625,0.725
24:41.7,-0.018,-0.383,-0.713,0.81
24:41.7,-0.018,-0.383,-0.713,0.81
24:41.7,-0.018,-0.383,-0.713,0.81
24:41.7,-0.036,-0.378,-0.785,0.872
24:41.7,-0.051,-0.365,-0.866,0.941
24:41.7,-0.057,-0.35,-0.948,1.012
24:41.7,-0.055,-0.336,-1.023,1.078
24:41.7,-0.046,-0.318,-1.084,1.131
24:41.7,-0.038,-0.307,-1.134,1.175
24:41.7,-0.034,-0.301,-1.17,1.209
24:41.8,-0.027,-0.295,-1.196,1.232
24:41.8,-0.027,-0.295,-1.196,1.232
24:41.8,-0.027,-0.295,-1.196,1.232
24:41.8,-0.022,-0.294,-1.19,1.226
24:41.8,0,-0.315,-1.188,1.229
24:41.8,0.026,-0.345,-1.177,1.227
24:41.8,0.037,-0.355,-1.149,1.203
24:41.8,0.028,-0.353,-1.123,1.178
24:41.8,0.004,-0.355,-1.111,1.166
24:41.8,-0.028,-0.346,-1.117,1.17
24:41.9,-0.125,-0.202,-1.21,1.233
24:41.9,-0.125,-0.202,-1.21,1.233
24:41.9,-0.125,-0.202,-1.21,1.233
24:41.9,-0.115,-0.142,-1.28,1.293
24:41.9,-0.071,-0.105,-1.345,1.351
24:41.9,-0.018,-0.082,-1.387,1.39
24:41.9,0.027,-0.071,-1.385,1.387
24:41.9,0.058,-0.075,-1.329,1.332
24:41.9,0.062,-0.106,-1.234,1.24
24:41.9,0.042,-0.154,-1.128,1.139
24:42.0,-0.087,-0.253,-0.835,0.877
24:42.0,-0.087,-0.253,-0.835,0.877
24:42.0,-0.087,-0.253,-0.835,0.877
24:42.0,-0.122,-0.274,-0.771,0.827
24:42.0,-0.137,-0.289,-0.736,0.802
24:42.0,-0.133,-0.296,-0.727,0.796
24:42.0,-0.115,-0.294,-0.734,0.799
24:42.0,-0.089,-0.28,-0.751,0.806
24:42.0,-0.057,-0.256,-0.772,0.815
24:42.0,-0.031,-0.236,-0.788,0.823
24:42.1,0.025,-0.226,-0.786,0.818
24:42.1,0.025,-0.226,-0.786,0.818
24:42.1,0.025,-0.226,-0.786,0.818
24:42.1,0.024,-0.232,-0.773,0.807
24:42.1,0.016,-0.239,-0.758,0.795
24:42.1,0.011,-0.243,-0.738,0.777
24:42.1,0.016,-0.248,-0.713,0.755
24:42.1,0.022,-0.259,-0.69,0.737
24:42.1,0.025,-0.277,-0.672,0.727
24:42.1,0.018,-0.295,-0.654,0.718
24:42.2,-0.004,-0.325,-0.649,0.726
24:42.2,-0.004,-0.325,-0.649,0.726
24:42.2,-0.008,-0.34,-0.67,0.751
24:42.2,-0.009,-0.348,-0.7,0.782
24:42.2,-0.021,-0.355,-0.741,0.822
24:42.2,-0.047,-0.358,-0.788,0.867
24:42.2,-0.074,-0.353,-0.841,0.915
24:42.2,-0.092,-0.342,-0.897,0.964
24:42.2,-0.099,-0.33,-0.95,1.011
24:42.2,-0.095,-0.325,-0.996,1.052
24:42.3,-0.083,-0.328,-1.024,1.078
24:42.3,-0.074,-0.335,-1.038,1.093
24:42.3,-0.073,-0.342,-1.045,1.102
24:42.3,-0.075,-0.352,-1.048,1.108
24:42.3,-0.077,-0.362,-1.058,1.121
24:42.3,-0.071,-0.371,-1.071,1.136
24:42.3,-0.06,-0.378,-1.087,1.152
24:42.3,-0.053,-0.382,-1.106,1.171
24:42.3,-0.049,-0.386,-1.137,1.202
24:42.3,-0.046,-0.401,-1.176,1.243
24:42.4,-0.046,-0.421,-1.198,1.271
24:42.4,-0.066,-0.421,-1.204,1.277
24:42.4,-0.104,-0.394,-1.226,1.292
24:42.4,-0.129,-0.363,-1.279,1.336
24:42.4,-0.123,-0.334,-1.334,1.381
24:42.4,-0.092,-0.294,-1.371,1.405
24:42.4,-0.045,-0.247,-1.383,1.406
24:42.4,0.006,-0.213,-1.368,1.384
24:42.4,0.05,-0.193,-1.326,1.341
24:42.4,0.073,-0.182,-1.265,1.28
24:42.5,0.077,-0.172,-1.19,1.205
24:42.5,0.074,-0.165,-1.115,1.13
24:42.5,0.075,-0.165,-1.047,1.063
24:42.5,0.079,-0.169,-0.984,1.002
24:42.5,0.084,-0.172,-0.93,0.949
24:42.5,0.089,-0.174,-0.888,0.909
24:42.5,0.089,-0.177,-0.86,0.883
24:42.5,0.086,-0.181,-0.836,0.86
24:42.5,0.083,-0.182,-0.815,0.839
24:42.5,0.082,-0.183,-0.802,0.827
24:42.6,0.057,-0.17,-0.837,0.856
24:42.6,0.057,-0.17,-0.837,0.856
24:42.6,0.057,-0.17,-0.837,0.856
24:42.6,0.046,-0.163,-0.86,0.877
24:42.6,0.041,-0.158,-0.876,0.891
24:42.6,0.038,-0.157,-0.883,0.898
24:42.6,0.032,-0.168,-0.878,0.895
24:42.6,0.03,-0.185,-0.863,0.883
24:42.6,0.033,-0.205,-0.832,0.858
24:42.6,0.041,-0.229,-0.791,0.825
24:42.7,0.059,-0.308,-0.674,0.743
24:42.7,0.059,-0.308,-0.674,0.743
24:42.7,0.059,-0.308,-0.674,0.743
24:42.7,0.059,-0.328,-0.648,0.729
24:42.7,0.055,-0.347,-0.632,0.723
24:42.7,0.045,-0.364,-0.637,0.735
24:42.7,0.03,-0.376,-0.661,0.761
24:42.7,0.01,-0.383,-0.687,0.787
24:42.7,-0.011,-0.385,-0.714,0.811
24:42.7,-0.032,-0.39,-0.735,0.833
24:42.8,-0.086,-0.393,-0.84,0.931
24:42.8,-0.086,-0.393,-0.84,0.931
24:42.8,-0.086,-0.393,-0.84,0.931
24:42.8,-0.093,-0.38,-0.891,0.973
24:42.8,-0.088,-0.358,-0.941,1.011
24:42.8,-0.074,-0.331,-0.996,1.052
24:42.8,-0.059,-0.302,-1.056,1.1
24:42.8,-0.043,-0.281,-1.114,1.15
24:42.8,-0.028,-0.269,-1.168,1.199
24:42.8,-0.014,-0.265,-1.211,1.24
24:42.9,-0.006,-0.281,-1.213,1.245
24:42.9,-0.006,-0.281,-1.213,1.245
24:42.9,-0.006,-0.281,-1.213,1.245
24:42.9,-0.02,-0.282,-1.218,1.25
24:42.9,0.002,-0.279,-1.252,1.283
24:42.9,0.029,-0.315,-1.23,1.27
24:42.9,0.074,-0.347,-1.131,1.185
24:42.9,0.056,-0.348,-1.081,1.137
24:42.9,0.008,-0.355,-1.064,1.122
24:42.9,-0.037,-0.379,-1.061,1.127
24:43.0,-0.12,-0.345,-1.058,1.119
24:43.0,-0.12,-0.345,-1.058,1.119
24:43.0,-0.12,-0.345,-1.058,1.119
24:43.0,-0.098,-0.308,-1.06,1.108
24:43.0,-0.045,-0.255,-1.068,1.099
24:43.0,0.021,-0.202,-1.077,1.096
24:43.0,0.085,-0.165,-1.086,1.102
24:43.0,0.123,-0.148,-1.094,1.111
24:43.0,0.12,-0.148,-1.106,1.122
24:43.0,0.11,-0.177,-1.069,1.089
24:43.1,0.05,-0.238,-0.925,0.956
24:43.1,0.05,-0.238,-0.925,0.956
24:43.1,-0.029,-0.249,-0.871,0.906
24:43.1,-0.102,-0.263,-0.841,0.887
24:43.1,-0.151,-0.284,-0.839,0.899
24:43.1,-0.152,-0.292,-0.856,0.917
24:43.1,-0.088,-0.275,-0.895,0.94
24:43.1,-0.031,-0.23,-0.942,0.97
24:43.1,0,-0.184,-0.978,0.995
24:43.1,0.025,-0.167,-0.985,0.999
24:43.2,-0.006,-0.212,-0.872,0.897
24:43.2,-0.006,-0.212,-0.872,0.897
24:43.2,-0.006,-0.212,-0.872,0.897
24:43.2,-0.031,-0.228,-0.813,0.845
24:43.2,-0.051,-0.251,-0.75,0.793
24:43.2,-0.047,-0.253,-0.674,0.721
24:43.2,-0.021,-0.251,-0.617,0.666
24:43.2,-0.015,-0.249,-0.586,0.637
24:43.2,-0.05,-0.263,-0.655,0.708
24:43.2,-0.063,-0.293,-0.731,0.79
24:43.3,-0.006,-0.313,-0.738,0.802
24:43.3,-0.006,-0.313,-0.738,0.802
24:43.3,-0.006,-0.31,-0.776,0.836
24:43.3,-0.023,-0.308,-0.829,0.885
24:43.3,-0.043,-0.317,-0.887,0.943
24:43.3,-0.053,-0.327,-0.942,0.999
24:43.3,-0.052,-0.327,-0.994,1.048
24:43.3,-0.059,-0.319,-1.031,1.081
24:43.3,-0.065,-0.31,-1.042,1.089
24:43.3,-0.061,-0.31,-1.046,1.093
24:43.4,-0.043,-0.338,-1.026,1.081
24:43.4,-0.043,-0.338,-1.026,1.081
24:43.4,-0.043,-0.338,-1.026,1.081
24:43.4,-0.087,-0.324,-1.025,1.079
24:43.4,-0.1,-0.36,-1.029,1.095
24:43.4,-0.056,-0.416,-1.08,1.159
24:43.4,-0.09,-0.373,-1.094,1.159
24:43.4,-0.1,-0.353,-1.115,1.174
24:43.4,-0.093,-0.349,-1.151,1.206
24:43.4,-0.079,-0.349,-1.162,1.216
24:43.5,0.007,-0.416,-1.121,1.196
24:43.5,0.007,-0.416,-1.121,1.196
24:43.5,0.007,-0.416,-1.121,1.196
24:43.5,0.028,-0.438,-1.076,1.162
24:43.5,0.018,-0.456,-1.077,1.17
24:43.5,0.027,-0.374,-1.123,1.184
24:43.5,0.037,-0.313,-1.204,1.245
24:43.5,0.024,-0.293,-1.263,1.297
24:43.5,0.019,-0.241,-1.278,1.301
24:43.5,0.021,-0.194,-1.246,1.261
24:43.6,0.002,-0.151,-0.971,0.983
24:43.6,0.002,-0.151,-0.971,0.983
24:43.6,0.002,-0.151,-0.971,0.983
24:43.6,0.01,-0.147,-0.909,0.921
24:43.6,0.015,-0.146,-0.874,0.886
24:43.6,0.02,-0.149,-0.856,0.869
24:43.6,0.027,-0.153,-0.856,0.87
24:43.6,0.037,-0.161,-0.867,0.883
24:43.6,0.048,-0.176,-0.87,0.889
24:43.6,0.05,-0.191,-0.865,0.887
24:43.7,0.048,-0.211,-0.824,0.852
24:43.7,0.048,-0.211,-0.824,0.852
24:43.7,0.041,-0.223,-0.804,0.835
24:43.7,0.03,-0.234,-0.796,0.83
24:43.7,0.019,-0.245,-0.798,0.835
24:43.7,0.004,-0.249,-0.809,0.846
24:43.7,-0.014,-0.25,-0.824,0.861
24:43.7,-0.029,-0.25,-0.832,0.869
24:43.7,-0.04,-0.252,-0.833,0.871
24:43.7,-0.043,-0.254,-0.838,0.877
24:43.8,-0.049,-0.276,-0.788,0.836
