time,gFx,gFy,gFz,acc
23:15.7,0.017,-0.28,-0.965,1.005
23:15.7,0.017,-0.28,-0.965,1.005
23:15.7,0.017,-0.28,-0.965,1.005
23:15.7,0.026,-0.283,-0.959,1
23:15.7,0.042,-0.288,-0.95,0.994
23:15.7,0.051,-0.303,-0.937,0.986
23:15.7,0.057,-0.31,-0.915,0.968
23:15.8,0.06,-0.308,-0.9,0.953
23:15.8,0.06,-0.305,-0.897,0.949
23:15.8,0.059,-0.304,-0.904,0.956
23:15.8,0.064,-0.303,-0.938,0.988
23:15.8,0.064,-0.303,-0.938,0.988
23:15.8,0.064,-0.303,-0.938,0.988
23:15.8,0.07,-0.296,-0.945,0.993
23:15.8,0.073,-0.291,-0.952,0.998
23:15.8,0.074,-0.285,-0.956,1
23:15.8,0.08,-0.282,-0.957,1.001
23:15.9,0.085,-0.282,-0.954,0.998
23:15.9,0.09,-0.287,-0.945,0.992
23:15.9,0.095,-0.292,-0.932,0.981
23:15.9,0.112,-0.304,-0.918,0.973
23:15.9,0.112,-0.304,-0.918,0.973
23:15.9,0.112,-0.304,-0.918,0.973
23:15.9,0.117,-0.305,-0.922,0.978
23:15.9,0.12,-0.304,-0.93,0.986
23:15.9,0.123,-0.301,-0.941,0.996
23:15.9,0.119,-0.305,-0.95,1.005
23:16.0,0.114,-0.312,-0.966,1.022
23:16.0,0.109,-0.313,-0.983,1.037
23:16.0,0.108,-0.314,-1.001,1.055
23:16.0,0.099,-0.329,-1.028,1.084
23:16.0,0.099,-0.329,-1.028,1.084
23:16.0,0.099,-0.329,-1.028,1.084
23:16.0,0.097,-0.33,-1.024,1.08
23:16.0,0.101,-0.333,-1.02,1.078
23:16.0,0.105,-0.337,-1.016,1.076
23:16.0,0.108,-0.339,-1.003,1.064
23:16.1,0.112,-0.339,-0.984,1.047
23:16.1,0.122,-0.337,-0.96,1.025
23:16.1,0.132,-0.335,-0.937,1.004
23:16.1,0.149,-0.34,-0.885,0.96
23:16.1,0.149,-0.34,-0.885,0.96
23:16.1,0.149,-0.34,-0.885,0.96
23:16.1,0.157,-0.336,-0.877,0.952
23:16.1,0.161,-0.335,-0.876,0.952
23:16.1,0.168,-0.332,-0.883,0.958
23:16.1,0.17,-0.332,-0.892,0.967
23:16.2,0.168,-0.335,-0.899,0.974
23:16.2,0.165,-0.335,-0.903,0.977
23:16.2,0.163,-0.332,-0.91,0.982
23:16.2,0.158,-0.321,-0.954,1.019
23:16.2,0.158,-0.321,-0.954,1.019
23:16.2,0.158,-0.321,-0.954,1.019
23:16.2,0.156,-0.314,-0.976,1.037
23:16.2,0.151,-0.309,-1.001,1.058
23:16.2,0.144,-0.303,-1.02,1.074
23:16.2,0.133,-0.294,-1.029,1.078
23:16.3,0.114,-0.286,-1.032,1.077
23:16.3,0.093,-0.286,-1.026,1.069
23:16.3,0.074,-0.291,-1.012,1.056
23:16.3,0.016,-0.314,-0.943,0.994
23:16.3,0.016,-0.314,-0.943,0.994
23:16.3,0.016,-0.314,-0.943,0.994
23:16.3,-0.006,-0.311,-0.921,0.972
23:16.3,-0.018,-0.306,-0.905,0.956
23:16.3,-0.02,-0.305,-0.896,0.947
23:16.3,-0.022,-0.309,-0.892,0.944
23:16.4,-0.021,-0.316,-0.892,0.947
23:16.4,-0.016,-0.317,-0.899,0.953
23:16.4,-0.015,-0.311,-0.92,0.971
23:16.4,0.006,-0.262,-1.011,1.044
23:16.4,0.006,-0.262,-1.011,1.044
23:16.4,0.006,-0.262,-1.011,1.044
23:16.4,0.025,-0.241,-1.044,1.072
23:16.4,0.043,-0.222,-1.076,1.1
23:16.4,0.053,-0.215,-1.094,1.116
23:16.4,0.052,-0.216,-1.091,1.113
23:16.5,0.042,-0.226,-1.063,1.088
23:16.5,0.032,-0.24,-1.016,1.044
23:16.5,0.023,-0.256,-0.955,0.989
23:16.5,-0.002,-0.305,-0.793,0.85
23:16.5,-0.002,-0.305,-0.793,0.85
23:16.5,-0.002,-0.305,-0.793,0.85
23:16.5,-0.009,-0.315,-0.762,0.825
23:16.5,-0.019,-0.322,-0.741,0.808
23:16.5,-0.025,-0.33,-0.733,0.804
23:16.5,-0.027,-0.337,-0.734,0.808
23:16.6,-0.025,-0.344,-0.737,0.814
23:16.6,-0.016,-0.351,-0.742,0.821
23:16.6,-0.005,-0.354,-0.751,0.83
23:16.6,0.026,-0.34,-0.805,0.874
23:16.6,0.026,-0.34,-0.805,0.874
23:16.6,0.026,-0.34,-0.805,0.874
23:16.6,0.033,-0.337,-0.831,0.897
23:16.6,0.035,-0.335,-0.855,0.919
23:16.6,0.056,-0.35,-0.893,0.961
23:16.6,0.055,-0.365,-0.925,0.996
23:16.7,0.051,-0.365,-0.945,1.014
23:16.7,0.054,-0.367,-0.956,1.025
23:16.7,0.056,-0.373,-0.965,1.036
23:16.7,0.018,-0.411,-0.956,1.041
23:16.7,0.018,-0.411,-0.956,1.041
23:16.7,0.018,-0.411,-0.956,1.041
23:16.7,0.009,-0.428,-0.957,1.048
23:16.7,0.002,-0.438,-0.958,1.053
23:16.7,-0.005,-0.437,-0.958,1.053
23:16.7,-0.019,-0.44,-0.956,1.053
23:16.8,-0.032,-0.445,-0.953,1.052
23:16.8,-0.041,-0.451,-0.955,1.057
23:16.8,-0.051,-0.458,-0.962,1.067
23:16.8,-0.048,-0.49,-1.008,1.122
23:16.8,-0.048,-0.49,-1.008,1.122
23:16.8,-0.048,-0.49,-1.008,1.122
23:16.8,-0.007,-0.516,-1.018,1.141
23:16.8,0.044,-0.527,-1.038,1.165
23:16.8,0.108,-0.514,-1.074,1.196
23:16.8,0.17,-0.464,-1.122,1.226
23:16.9,0.209,-0.389,-1.194,1.273
23:16.9,0.229,-0.31,-1.288,1.344
23:16.9,0.235,-0.231,-1.383,1.422
23:16.9,0.143,-0.066,-1.486,1.494
23:16.9,0.143,-0.066,-1.486,1.494
23:16.9,0.143,-0.066,-1.486,1.494
23:16.9,0.116,-0.05,-1.441,1.447
23:16.9,0.096,-0.056,-1.355,1.36
23:16.9,0.077,-0.076,-1.236,1.241
23:16.9,0.057,-0.084,-1.109,1.114
23:17.0,0.038,-0.101,-0.986,0.992
23:17.0,0.041,-0.121,-0.874,0.883
23:17.0,0.054,-0.149,-0.79,0.806
23:17.0,0.072,-0.22,-0.699,0.736
23:17.0,0.072,-0.22,-0.699,0.736
23:17.0,0.072,-0.22,-0.699,0.736
23:17.0,0.052,-0.237,-0.717,0.757
23:17.0,0.021,-0.25,-0.754,0.795
23:17.0,0.001,-0.254,-0.799,0.838
23:17.0,-0.015,-0.248,-0.857,0.892
23:17.1,-0.028,-0.238,-0.916,0.947
23:17.1,-0.028,-0.223,-0.977,1.003
23:17.1,-0.03,-0.207,-1.025,1.046
23:17.1,-0.022,-0.195,-1.051,1.069
23:17.1,-0.022,-0.195,-1.051,1.069
23:17.1,-0.022,-0.195,-1.051,1.069
23:17.1,-0.018,-0.208,-1.034,1.055
23:17.1,-0.011,-0.221,-0.995,1.019
23:17.1,-0.008,-0.231,-0.938,0.966
23:17.1,-0.005,-0.237,-0.872,0.904
23:17.2,-0.001,-0.246,-0.811,0.847
23:17.2,0.006,-0.26,-0.76,0.803
23:17.2,0.017,-0.28,-0.723,0.776
23:17.2,0.042,-0.31,-0.702,0.769
23:17.2,0.042,-0.31,-0.702,0.769
23:17.2,0.042,-0.31,-0.702,0.769
23:17.2,0.089,-0.328,-0.706,0.784
23:17.2,0.101,-0.366,-0.713,0.808
23:17.2,0.117,-0.364,-0.733,0.827
23:17.2,0.115,-0.354,-0.76,0.846
23:17.3,0.122,-0.344,-0.793,0.873
23:17.3,0.131,-0.341,-0.822,0.9
23:17.3,0.133,-0.345,-0.844,0.921
23:17.3,0.096,-0.356,-0.873,0.948
23:17.3,0.096,-0.356,-0.873,0.948
23:17.3,0.096,-0.356,-0.873,0.948
23:17.3,0.076,-0.369,-0.894,0.97
23:17.3,0.06,-0.372,-0.915,0.99
23:17.3,0.038,-0.388,-0.936,1.014
23:17.3,0.016,-0.418,-0.962,1.049
23:17.4,0.012,-0.439,-0.97,1.065
23:17.4,0.025,-0.44,-0.984,1.078
23:17.4,0.039,-0.424,-1.025,1.11
23:17.4,0.02,-0.476,-1.214,1.304
23:17.4,0.02,-0.476,-1.214,1.304
23:17.4,0.02,-0.476,-1.214,1.304
23:17.4,0.019,-0.435,-1.273,1.345
23:17.4,0.018,-0.376,-1.327,1.379
23:17.4,0.037,-0.331,-1.383,1.423
23:17.4,0.063,-0.291,-1.426,1.457
23:17.5,0.078,-0.262,-1.458,1.483
23:17.5,0.068,-0.239,-1.471,1.492
23:17.5,0.036,-0.225,-1.452,1.47
23:17.5,-0.055,-0.211,-1.193,1.213
23:17.5,-0.055,-0.211,-1.193,1.213
23:17.5,-0.055,-0.211,-1.193,1.213
23:17.5,-0.066,-0.212,-1.073,1.096
23:17.5,-0.074,-0.221,-0.951,0.979
23:17.5,-0.085,-0.237,-0.843,0.88
23:17.5,-0.101,-0.253,-0.751,0.799
23:17.6,-0.116,-0.266,-0.683,0.742
23:17.6,-0.127,-0.276,-0.648,0.716
23:17.6,-0.138,-0.277,-0.647,0.717
23:17.6,-0.16,-0.204,-0.854,0.892
23:17.6,-0.16,-0.204,-0.854,0.892
23:17.6,-0.16,-0.204,-0.854,0.892
23:17.6,-0.139,-0.161,-0.937,0.961
23:17.6,-0.095,-0.218,-1.029,1.056
23:17.6,-0.056,-0.201,-1.087,1.107
23:17.6,-0.07,-0.164,-1.048,1.063
23:17.7,-0.068,-0.189,-1.021,1.041
23:17.7,-0.051,-0.202,-0.962,0.984
23:17.7,-0.028,-0.191,-0.897,0.918
23:17.7,-0.009,-0.217,-0.727,0.759
23:17.7,-0.009,-0.217,-0.727,0.759
23:17.7,-0.009,-0.217,-0.727,0.759
23:17.7,-0.005,-0.234,-0.68,0.719
23:17.7,0.023,-0.283,-0.676,0.733
23:17.7,0.067,-0.266,-0.628,0.685
23:17.7,0.074,-0.252,-0.611,0.665
23:17.8,0.081,-0.239,-0.624,0.673
23:17.8,0.096,-0.238,-0.631,0.681
23:17.8,0.102,-0.245,-0.647,0.699
23:17.8,0.099,-0.305,-0.686,0.757
23:17.8,0.099,-0.305,-0.686,0.757
23:17.8,0.099,-0.305,-0.686,0.757
23:17.8,0.085,-0.329,-0.725,0.801
23:17.8,0.084,-0.329,-0.775,0.846
23:17.8,0.084,-0.329,-0.812,0.88
23:17.8,0.081,-0.34,-0.852,0.921
23:17.9,0.063,-0.342,-0.897,0.962
23:17.9,0.045,-0.339,-0.939,0.999
23:17.9,0.049,-0.347,-0.987,1.047
23:17.9,0.052,-0.325,-1.093,1.141
23:17.9,0.052,-0.325,-1.093,1.141
23:17.9,0.052,-0.325,-1.093,1.141
23:17.9,0.063,-0.327,-1.135,1.183
23:17.9,0.076,-0.33,-1.187,1.234
23:17.9,0.095,-0.33,-1.246,1.292
23:17.9,0.115,-0.334,-1.3,1.347
23:18.0,0.138,-0.352,-1.341,1.393
23:18.0,0.168,-0.375,-1.36,1.421
23:18.0,0.192,-0.37,-1.37,1.432
23:18.0,0.207,-0.231,-1.404,1.438
23:18.0,0.207,-0.231,-1.404,1.438
23:18.0,0.207,-0.231,-1.404,1.438
23:18.0,0.198,-0.191,-1.413,1.44
23:18.0,0.17,-0.146,-1.425,1.443
23:18.0,0.132,-0.107,-1.427,1.437
23:18.0,0.089,-0.076,-1.413,1.418
23:18.1,0.054,-0.058,-1.37,1.372
23:18.1,0.036,-0.042,-1.301,1.302
23:18.1,0.04,-0.024,-1.211,1.212
23:18.1,0.12,-0.052,-0.906,0.915
23:18.1,0.12,-0.052,-0.906,0.915
23:18.1,0.12,-0.052,-0.906,0.915
23:18.1,0.129,-0.07,-0.812,0.825
23:18.1,0.143,-0.095,-0.743,0.763
23:18.1,0.154,-0.117,-0.688,0.715
23:18.1,0.139,-0.14,-0.635,0.665
23:18.2,0.146,-0.165,-0.592,0.632
23:18.2,0.16,-0.186,-0.579,0.629
23:18.2,0.156,-0.197,-0.589,0.64
23:18.2,0.072,-0.181,-0.68,0.707
23:18.2,0.072,-0.181,-0.68,0.707
23:18.2,0.072,-0.181,-0.68,0.707
23:18.2,0.054,-0.182,-0.716,0.741
23:18.2,0.048,-0.19,-0.749,0.774
23:18.2,0.049,-0.196,-0.77,0.796
23:18.2,0.053,-0.196,-0.78,0.806
23:18.3,0.055,-0.2,-0.787,0.814
23:18.3,0.055,-0.21,-0.794,0.823
23:18.3,0.052,-0.229,-0.798,0.832
23:18.3,0.047,-0.284,-0.796,0.846
23:18.3,0.047,-0.284,-0.796,0.846
23:18.3,0.047,-0.284,-0.796,0.846
23:18.3,0.05,-0.301,-0.786,0.843
23:18.3,0.057,-0.318,-0.78,0.844
23:18.3,0.063,-0.336,-0.784,0.855
23:18.3,0.071,-0.35,-0.792,0.869
23:18.4,0.079,-0.341,-0.798,0.871
23:18.4,0.071,-0.345,-0.814,0.887
23:18.4,0.054,-0.349,-0.824,0.896
23:18.4,0.045,-0.363,-0.845,0.921
23:18.4,0.045,-0.363,-0.845,0.921
23:18.4,0.045,-0.363,-0.845,0.921
23:18.4,0.037,-0.365,-0.856,0.931
23:18.4,0.042,-0.38,-0.871,0.951
23:18.4,0.03,-0.384,-0.871,0.952
23:18.4,0.021,-0.383,-0.873,0.954
23:18.5,0.016,-0.383,-0.882,0.962
23:18.5,0.009,-0.385,-0.917,0.995
23:18.5,-0.004,-0.38,-0.957,1.03
23:18.5,-0.003,-0.361,-1.147,1.202
23:18.5,-0.003,-0.361,-1.147,1.202
23:18.5,-0.003,-0.361,-1.147,1.202
23:18.5,0.021,-0.421,-1.19,1.262
23:18.5,0.051,-0.456,-1.22,1.303
23:18.5,0.057,-0.41,-1.254,1.321
23:18.5,0.059,-0.352,-1.301,1.349
23:18.6,0.071,-0.324,-1.351,1.391
23:18.6,0.092,-0.295,-1.397,1.431
23:18.6,0.117,-0.257,-1.425,1.453
23:18.6,0.13,-0.108,-1.385,1.395
23:18.6,0.13,-0.108,-1.385,1.395
23:18.6,0.13,-0.108,-1.385,1.395
23:18.6,0.122,-0.077,-1.32,1.328
23:18.6,0.104,-0.079,-1.232,1.239
23:18.6,0.074,-0.099,-1.137,1.144
23:18.6,0.046,-0.116,-1.042,1.049
23:18.7,0.021,-0.125,-0.962,0.97
23:18.7,0.001,-0.135,-0.904,0.914
23:18.7,-0.014,-0.152,-0.866,0.879
23:18.7,-0.047,-0.174,-0.888,0.906
23:18.7,-0.047,-0.174,-0.888,0.906
23:18.7,-0.047,-0.174,-0.888,0.906
23:18.7,-0.025,-0.164,-0.92,0.935
23:18.7,0.002,-0.151,-0.944,0.956
23:18.7,0.026,-0.141,-0.963,0.974
23:18.7,0.041,-0.132,-0.973,0.983
23:18.8,0.047,-0.13,-0.962,0.972
23:18.8,0.049,-0.134,-0.932,0.943
23:18.8,0.052,-0.142,-0.883,0.896
23:18.8,0.067,-0.194,-0.725,0.753
23:18.8,0.067,-0.194,-0.725,0.753
23:18.8,0.067,-0.194,-0.725,0.753
23:18.8,0.064,-0.206,-0.682,0.715
23:18.8,0.062,-0.212,-0.651,0.687
23:18.8,0.059,-0.224,-0.633,0.674
23:18.8,0.062,-0.241,-0.629,0.676
23:18.9,0.063,-0.26,-0.636,0.69
23:18.9,0.056,-0.274,-0.65,0.708
23:18.9,0.051,-0.282,-0.678,0.736
23:18.9,0.049,-0.318,-0.777,0.841
23:18.9,0.049,-0.318,-0.777,0.841
23:18.9,0.049,-0.318,-0.777,0.841
23:18.9,0.049,-0.334,-0.806,0.874
23:18.9,0.044,-0.342,-0.832,0.901
23:18.9,0.037,-0.346,-0.852,0.92
23:18.9,0.028,-0.346,-0.874,0.94
23:19.0,0.008,-0.362,-0.899,0.969
23:19.0,0.008,-0.374,-0.924,0.997
23:19.0,0.007,-0.387,-0.947,1.023
23:19.0,0.005,-0.399,-1.01,1.086
23:19.0,0.005,-0.399,-1.01,1.086
23:19.0,0.005,-0.399,-1.01,1.086
23:19.0,0.011,-0.396,-1.042,1.115
23:19.0,0.022,-0.392,-1.074,1.144
23:19.0,0.035,-0.4,-1.1,1.171
23:19.0,0.051,-0.424,-1.119,1.198
23:19.1,0.065,-0.443,-1.141,1.226
23:19.1,0.08,-0.419,-1.177,1.252
23:19.1,0.09,-0.352,-1.239,1.291
23:19.1,0.083,-0.206,-1.437,1.454
23:19.1,0.083,-0.206,-1.437,1.454
23:19.1,0.083,-0.206,-1.437,1.454
23:19.1,0.068,-0.158,-1.487,1.497
23:19.1,0.052,-0.112,-1.507,1.512
23:19.1,0.036,-0.071,-1.502,1.504
23:19.1,0.025,-0.04,-1.482,1.483
23:19.2,0.007,-0.023,-1.432,1.432
23:19.2,-0.008,-0.015,-1.358,1.358
23:19.2,-0.018,-0.017,-1.252,1.252
23:19.2,0.012,-0.05,-0.9,0.901
23:19.2,0.012,-0.05,-0.9,0.901
23:19.2,0.012,-0.05,-0.9,0.901
23:19.2,0.029,-0.058,-0.804,0.807
23:19.2,0.05,-0.069,-0.728,0.733
23:19.2,0.069,-0.085,-0.679,0.688
23:19.2,0.087,-0.101,-0.658,0.671
23:19.3,0.102,-0.115,-0.658,0.676
23:19.3,0.112,-0.127,-0.677,0.698
23:19.3,0.111,-0.137,-0.706,0.728
23:19.3,0.079,-0.17,-0.801,0.823
23:19.3,0.079,-0.17,-0.801,0.823
23:19.3,0.079,-0.17,-0.801,0.823
23:19.3,0.067,-0.181,-0.817,0.839
23:19.3,0.054,-0.192,-0.824,0.848
23:19.3,0.037,-0.206,-0.825,0.851
23:19.3,0.023,-0.218,-0.815,0.844
23:19.4,0.009,-0.232,-0.799,0.832
23:19.4,0.001,-0.246,-0.787,0.825
23:19.4,-0.004,-0.258,-0.784,0.825
23:19.4,-0.028,-0.295,-0.805,0.858
23:19.4,-0.028,-0.295,-0.805,0.858
23:19.4,-0.028,-0.295,-0.805,0.858
23:19.4,-0.033,-0.302,-0.815,0.87
23:19.4,-0.032,-0.303,-0.826,0.88
23:19.4,-0.027,-0.304,-0.839,0.893
23:19.4,-0.022,-0.304,-0.855,0.908
23:19.5,-0.013,-0.304,-0.876,0.927
23:19.5,0,-0.305,-0.899,0.949
23:19.5,0.008,-0.304,-0.919,0.968
23:19.5,0.021,-0.306,-0.956,1.004
23:19.5,0.021,-0.306,-0.956,1.004
23:19.5,0.021,-0.306,-0.956,1.004
23:19.5,0.022,-0.313,-0.95,1
23:19.5,0.015,-0.318,-0.943,0.995
23:19.5,0.011,-0.326,-0.944,0.999
23:19.5,0.014,-0.336,-0.959,1.016
23:19.6,0.01,-0.338,-0.99,1.046
23:19.6,-0.022,-0.326,-1.039,1.089
23:19.6,-0.062,-0.307,-1.103,1.147
23:19.6,-0.062,-0.392,-1.204,1.268
23:19.6,-0.062,-0.392,-1.204,1.268
23:19.6,-0.062,-0.392,-1.204,1.268
23:19.6,-0.06,-0.393,-1.211,1.275
23:19.6,-0.06,-0.351,-1.218,1.269
23:19.6,-0.053,-0.329,-1.242,1.286
23:19.7,-0.042,-0.324,-1.276,1.317
23:19.7,-0.032,-0.31,-1.296,1.333
23:19.7,-0.013,-0.289,-1.309,1.341
23:19.7,-0.006,-0.248,-1.311,1.334
23:19.7,0.071,-0.178,-1.202,1.217
23:19.7,0.071,-0.178,-1.202,1.217
23:19.7,0.071,-0.178,-1.202,1.217
23:19.7,0.054,-0.17,-1.116,1.13
23:19.7,0.023,-0.169,-1.037,1.051
23:19.7,-0.003,-0.172,-0.967,0.982
23:19.8,-0.035,-0.183,-0.908,0.927
23:19.8,-0.061,-0.204,-0.864,0.89
23:19.8,-0.075,-0.215,-0.837,0.867
23:19.8,-0.085,-0.206,-0.832,0.861
23:19.8,-0.058,-0.167,-0.921,0.938
23:19.8,-0.058,-0.167,-0.921,0.938
23:19.8,-0.058,-0.167,-0.921,0.938
