time,gFx,gFy,gFz
2020-12-10 13:17:35.7780,-0.02,-0.101,-0.795,0.802
2020-12-10 13:17:35.7870,-0.021,-0.102,-0.791,0.798
2020-12-10 13:17:35.7970,-0.016,-0.095,-0.781,0.787
2020-12-10 13:17:35.8070,-0.008,-0.095,-0.769,0.775
2020-12-10 13:17:35.8170,0.001,-0.101,-0.766,0.773
2020-12-10 13:17:35.8430,-0.01,-0.112,-0.769,0.777
2020-12-10 13:17:35.8430,-0.01,-0.112,-0.769,0.777
2020-12-10 13:17:35.8470,-0.024,-0.136,-0.771,0.783
2020-12-10 13:17:35.8570,-0.038,-0.16,-0.762,0.78
2020-12-10 13:17:35.8670,-0.048,-0.181,-0.743,0.766
2020-12-10 13:17:35.8770,-0.05,-0.202,-0.723,0.752
2020-12-10 13:17:35.8870,-0.043,-0.221,-0.714,0.749
2020-12-10 13:17:35.8970,-0.023,-0.232,-0.711,0.748
2020-12-10 13:17:35.9070,-0.001,-0.239,-0.713,0.752
2020-12-10 13:17:35.9170,0.012,-0.251,-0.721,0.764
2020-12-10 13:17:35.9440,0.003,-0.268,-0.772,0.817
2020-12-10 13:17:35.9440,0.003,-0.268,-0.772,0.817
2020-12-10 13:17:35.9470,-0.018,-0.274,-0.804,0.85
2020-12-10 13:17:35.9570,-0.038,-0.279,-0.848,0.894
2020-12-10 13:17:35.9670,-0.053,-0.284,-0.906,0.951
2020-12-10 13:17:35.9780,-0.057,-0.284,-0.964,1.007
2020-12-10 13:17:35.9870,-0.053,-0.274,-1.018,1.056
2020-12-10 13:17:35.9970,-0.043,-0.259,-1.062,1.094
2020-12-10 13:17:36.0070,-0.026,-0.251,-1.097,1.126
2020-12-10 13:17:36.0170,-0.007,-0.254,-1.134,1.162
2020-12-10 13:17:36.0430,0.001,-0.264,-1.208,1.237
2020-12-10 13:17:36.0440,0.001,-0.264,-1.208,1.237
2020-12-10 13:17:36.0470,-0.011,-0.252,-1.238,1.263
2020-12-10 13:17:36.0580,-0.031,-0.231,-1.266,1.287
2020-12-10 13:17:36.0670,-0.05,-0.214,-1.287,1.306
2020-12-10 13:17:36.0780,-0.047,-0.215,-1.296,1.315
2020-12-10 13:17:36.0870,-0.02,-0.239,-1.281,1.303
2020-12-10 13:17:36.0970,0.003,-0.26,-1.238,1.265
2020-12-10 13:17:36.1070,0.005,-0.249,-1.177,1.203
2020-12-10 13:17:36.1180,-0.012,-0.224,-1.128,1.15
2020-12-10 13:17:36.1490,-0.081,-0.153,-1.156,1.169
2020-12-10 13:17:36.1500,-0.081,-0.153,-1.156,1.169
2020-12-10 13:17:36.1500,-0.081,-0.153,-1.156,1.169
2020-12-10 13:17:36.1580,-0.079,-0.119,-1.202,1.21
2020-12-10 13:17:36.1680,-0.065,-0.087,-1.235,1.24
2020-12-10 13:17:36.1780,-0.045,-0.055,-1.243,1.245
2020-12-10 13:17:36.1880,-0.017,-0.037,-1.227,1.228
2020-12-10 13:17:36.1980,0.014,-0.039,-1.195,1.196
2020-12-10 13:17:36.2080,0.038,-0.052,-1.156,1.158
2020-12-10 13:17:36.2180,0.049,-0.065,-1.108,1.111
2020-12-10 13:17:36.2490,0.006,-0.098,-0.993,0.998
2020-12-10 13:17:36.2490,0.006,-0.098,-0.993,0.998
2020-12-10 13:17:36.2500,0.006,-0.098,-0.993,0.998
2020-12-10 13:17:36.2580,-0.031,-0.103,-0.978,0.984
2020-12-10 13:17:36.2680,-0.074,-0.105,-0.964,0.973
2020-12-10 13:17:36.2780,-0.106,-0.111,-0.955,0.967
2020-12-10 13:17:36.2880,-0.126,-0.122,-0.949,0.965
2020-12-10 13:17:36.2980,-0.131,-0.133,-0.943,0.961
2020-12-10 13:17:36.3080,-0.118,-0.136,-0.937,0.954
2020-12-10 13:17:36.3190,-0.085,-0.127,-0.923,0.936
2020-12-10 13:17:36.3510,0.04,-0.104,-0.843,0.85
2020-12-10 13:17:36.3510,0.04,-0.104,-0.843,0.85
2020-12-10 13:17:36.3510,0.04,-0.104,-0.843,0.85
2020-12-10 13:17:36.3580,0.063,-0.105,-0.816,0.825
2020-12-10 13:17:36.3680,0.08,-0.109,-0.792,0.803
2020-12-10 13:17:36.3790,0.09,-0.111,-0.765,0.778
2020-12-10 13:17:36.3880,0.089,-0.115,-0.738,0.752
2020-12-10 13:17:36.3980,0.081,-0.127,-0.712,0.728
2020-12-10 13:17:36.4090,0.076,-0.145,-0.695,0.714
2020-12-10 13:17:36.4190,0.075,-0.16,-0.683,0.705
2020-12-10 13:17:36.4450,0.069,-0.183,-0.693,0.72
2020-12-10 13:17:36.4460,0.069,-0.183,-0.693,0.72
2020-12-10 13:17:36.4480,0.064,-0.187,-0.716,0.743
2020-12-10 13:17:36.4590,0.056,-0.188,-0.746,0.771
2020-12-10 13:17:36.4680,0.048,-0.188,-0.784,0.808
2020-12-10 13:17:36.4790,0.04,-0.186,-0.829,0.851
2020-12-10 13:17:36.4880,0.03,-0.185,-0.874,0.894
2020-12-10 13:17:36.4980,0.019,-0.186,-0.911,0.93
2020-12-10 13:17:36.5080,0.011,-0.188,-0.942,0.961
2020-12-10 13:17:36.5190,0.009,-0.186,-0.964,0.982
2020-12-10 13:17:36.5530,0.047,-0.2,-0.98,1.001
2020-12-10 13:17:36.5530,0.047,-0.2,-0.98,1.001
2020-12-10 13:17:36.5540,0.047,-0.2,-0.98,1.001
2020-12-10 13:17:36.5590,0.064,-0.211,-0.988,1.012
2020-12-10 13:17:36.5680,0.078,-0.222,-1.001,1.028
2020-12-10 13:17:36.5790,0.084,-0.23,-1.016,1.045
2020-12-10 13:17:36.5890,0.078,-0.232,-1.036,1.065
2020-12-10 13:17:36.5990,0.061,-0.226,-1.056,1.082
2020-12-10 13:17:36.6090,0.042,-0.216,-1.083,1.105
2020-12-10 13:17:36.6190,0.028,-0.196,-1.131,1.148
2020-12-10 13:17:36.6520,0.027,-0.105,-1.318,1.322
2020-12-10 13:17:36.6520,0.027,-0.105,-1.318,1.322
2020-12-10 13:17:36.6530,0.027,-0.105,-1.318,1.322
2020-12-10 13:17:36.6590,0.04,-0.135,-1.335,1.342
2020-12-10 13:17:36.6690,0.025,-0.169,-1.317,1.328
2020-12-10 13:17:36.6790,-0.011,-0.187,-1.288,1.302
2020-12-10 13:17:36.6890,-0.037,-0.206,-1.278,1.295
2020-12-10 13:17:36.6990,-0.034,-0.219,-1.287,1.306
2020-12-10 13:17:36.7090,-0.015,-0.208,-1.302,1.319
2020-12-10 13:17:36.7190,0.009,-0.173,-1.307,1.318
2020-12-10 13:17:36.7560,0.114,-0.08,-1.224,1.232
2020-12-10 13:17:36.7560,0.114,-0.08,-1.224,1.232
2020-12-10 13:17:36.7560,0.114,-0.08,-1.224,1.232
2020-12-10 13:17:36.7590,0.128,-0.063,-1.154,1.163
2020-12-10 13:17:36.7690,0.126,-0.06,-1.071,1.08
2020-12-10 13:17:36.7790,0.123,-0.067,-0.997,1.007
2020-12-10 13:17:36.7890,0.131,-0.075,-0.943,0.955
2020-12-10 13:17:36.7990,0.151,-0.092,-0.914,0.931
2020-12-10 13:17:36.8090,0.167,-0.113,-0.898,0.92
2020-12-10 13:17:36.8190,0.168,-0.131,-0.895,0.92
2020-12-10 13:17:36.8540,0.127,-0.148,-0.882,0.903
2020-12-10 13:17:36.8540,0.127,-0.148,-0.882,0.903
2020-12-10 13:17:36.8540,0.127,-0.148,-0.882,0.903
2020-12-10 13:17:36.8590,0.104,-0.158,-0.878,0.898
2020-12-10 13:17:36.8690,0.08,-0.162,-0.885,0.903
2020-12-10 13:17:36.8800,0.051,-0.159,-0.91,0.925
2020-12-10 13:17:36.8890,0.031,-0.16,-0.944,0.958
2020-12-10 13:17:36.8990,0.021,-0.161,-0.973,0.986
2020-12-10 13:17:36.9090,0.007,-0.157,-0.983,0.995
2020-12-10 13:17:36.9200,-0.008,-0.145,-0.977,0.988
2020-12-10 13:17:36.9570,0.022,-0.138,-0.919,0.93
2020-12-10 13:17:36.9570,0.022,-0.138,-0.919,0.93
2020-12-10 13:17:36.9570,0.022,-0.138,-0.919,0.93
2020-12-10 13:17:36.9590,0.029,-0.146,-0.895,0.907
2020-12-10 13:17:36.9690,0.029,-0.158,-0.867,0.882
2020-12-10 13:17:36.9790,0.027,-0.174,-0.841,0.859
2020-12-10 13:17:36.9890,0.026,-0.195,-0.815,0.838
2020-12-10 13:17:37.0000,0.028,-0.213,-0.786,0.815
2020-12-10 13:17:37.0100,0.024,-0.229,-0.758,0.792
2020-12-10 13:17:37.0200,0.02,-0.241,-0.736,0.775
2020-12-10 13:17:37.0510,0.06,-0.31,-0.7,0.768
2020-12-10 13:17:37.0510,0.06,-0.31,-0.7,0.768
2020-12-10 13:17:37.0510,0.06,-0.31,-0.7,0.768
2020-12-10 13:17:37.0590,0.078,-0.32,-0.712,0.784
2020-12-10 13:17:37.0690,0.099,-0.317,-0.744,0.815
2020-12-10 13:17:37.0800,0.108,-0.302,-0.8,0.862
2020-12-10 13:17:37.0900,0.103,-0.284,-0.872,0.923
2020-12-10 13:17:37.1000,0.082,-0.267,-0.944,0.984
2020-12-10 13:17:37.1100,0.062,-0.25,-0.997,1.03
2020-12-10 13:17:37.1200,0.051,-0.236,-1.039,1.067
2020-12-10 13:17:37.1530,0.088,-0.231,-1.107,1.134
2020-12-10 13:17:37.1540,0.088,-0.231,-1.107,1.134
2020-12-10 13:17:37.1540,0.088,-0.231,-1.107,1.134
2020-12-10 13:17:37.1600,0.099,-0.237,-1.103,1.133
2020-12-10 13:17:37.1690,0.114,-0.247,-1.099,1.132
2020-12-10 13:17:37.1800,0.143,-0.273,-1.089,1.132
2020-12-10 13:17:37.1900,0.175,-0.302,-1.071,1.126
2020-12-10 13:17:37.2000,0.189,-0.31,-1.041,1.102
2020-12-10 13:17:37.2100,0.192,-0.3,-0.996,1.058
2020-12-10 13:17:37.2200,0.195,-0.298,-0.961,1.025
2020-12-10 13:17:37.2520,0.142,-0.242,-1.007,1.045
2020-12-10 13:17:37.2520,0.142,-0.242,-1.007,1.045
2020-12-10 13:17:37.2530,0.142,-0.242,-1.007,1.045
2020-12-10 13:17:37.2600,0.108,-0.194,-1.087,1.109
2020-12-10 13:17:37.2700,0.083,-0.154,-1.188,1.201
2020-12-10 13:17:37.2800,0.071,-0.121,-1.275,1.283
2020-12-10 13:17:37.2900,0.073,-0.1,-1.332,1.338
2020-12-10 13:17:37.3000,0.078,-0.094,-1.341,1.347
2020-12-10 13:17:37.3100,0.07,-0.097,-1.299,1.304
2020-12-10 13:17:37.3200,0.046,-0.11,-1.214,1.22
2020-12-10 13:17:37.3550,-0.046,-0.186,-0.961,0.98
2020-12-10 13:17:37.3550,-0.046,-0.186,-0.961,0.98
2020-12-10 13:17:37.3550,-0.046,-0.186,-0.961,0.98
2020-12-10 13:17:37.3600,-0.081,-0.21,-0.912,0.939
2020-12-10 13:17:37.3700,-0.107,-0.232,-0.883,0.919
2020-12-10 13:17:37.3810,-0.113,-0.25,-0.872,0.914
2020-12-10 13:17:37.3900,-0.104,-0.256,-0.873,0.916
2020-12-10 13:17:37.4000,-0.086,-0.245,-0.878,0.916
2020-12-10 13:17:37.4100,-0.054,-0.222,-0.879,0.908
2020-12-10 13:17:37.4210,-0.018,-0.201,-0.882,0.905
2020-12-10 13:17:37.4560,0.089,-0.163,-0.853,0.873
2020-12-10 13:17:37.4560,0.089,-0.163,-0.853,0.873
2020-12-10 13:17:37.4560,0.089,-0.163,-0.853,0.873
2020-12-10 13:17:37.4600,0.118,-0.151,-0.819,0.841
2020-12-10 13:17:37.4700,0.146,-0.144,-0.784,0.81
2020-12-10 13:17:37.4810,0.174,-0.141,-0.753,0.786
2020-12-10 13:17:37.4900,0.19,-0.138,-0.739,0.775
2020-12-10 13:17:37.5010,0.179,-0.14,-0.746,0.78
2020-12-10 13:17:37.5100,0.143,-0.142,-0.76,0.786
2020-12-10 13:17:37.5210,0.104,-0.147,-0.772,0.793
2020-12-10 13:17:37.5530,0.047,-0.211,-0.77,0.8
2020-12-10 13:17:37.5530,0.047,-0.211,-0.77,0.8
2020-12-10 13:17:37.5540,0.047,-0.211,-0.77,0.8
2020-12-10 13:17:37.5600,0.04,-0.238,-0.774,0.811
2020-12-10 13:17:37.5700,0.036,-0.249,-0.783,0.822
2020-12-10 13:17:37.5810,0.037,-0.251,-0.795,0.835
2020-12-10 13:17:37.5900,0.038,-0.26,-0.809,0.851
2020-12-10 13:17:37.6010,0.034,-0.274,-0.826,0.871
2020-12-10 13:17:37.6100,0.021,-0.289,-0.846,0.894
2020-12-10 13:17:37.6210,0.001,-0.297,-0.867,0.916
2020-12-10 13:17:37.6530,-0.045,-0.316,-0.983,1.034
2020-12-10 13:17:37.6540,-0.045,-0.316,-0.983,1.034
2020-12-10 13:17:37.6540,-0.045,-0.316,-0.983,1.034
2020-12-10 13:17:37.6600,-0.058,-0.327,-1.039,1.091
2020-12-10 13:17:37.6710,-0.061,-0.331,-1.089,1.14
2020-12-10 13:17:37.6810,-0.046,-0.33,-1.13,1.178
2020-12-10 13:17:37.6910,-0.026,-0.328,-1.159,1.205
2020-12-10 13:17:37.7010,-0.009,-0.328,-1.174,1.219
2020-12-10 13:17:37.7110,-0.002,-0.33,-1.187,1.232
2020-12-10 13:17:37.7210,-0.003,-0.332,-1.2,1.245
2020-12-10 13:17:37.7560,0.018,-0.376,-1.215,1.272
2020-12-10 13:17:37.7560,0.018,-0.376,-1.215,1.272
2020-12-10 13:17:37.7570,0.018,-0.376,-1.215,1.272
2020-12-10 13:17:37.7600,-0.012,-0.373,-1.203,1.26
2020-12-10 13:17:37.7710,-0.065,-0.355,-1.211,1.264
2020-12-10 13:17:37.7810,-0.091,-0.343,-1.254,1.303
2020-12-10 13:17:37.7910,-0.087,-0.303,-1.321,1.358
2020-12-10 13:17:37.8010,-0.057,-0.222,-1.383,1.402
2020-12-10 13:17:37.8110,-0.004,-0.136,-1.421,1.427
2020-12-10 13:17:37.8210,0.07,-0.065,-1.43,1.433
2020-12-10 13:17:37.8580,0.211,0.02,-1.192,1.211
2020-12-10 13:17:37.8580,0.211,0.02,-1.192,1.211
2020-12-10 13:17:37.8580,0.211,0.02,-1.192,1.211
2020-12-10 13:17:37.8610,0.209,-0.001,-1.054,1.075
2020-12-10 13:17:37.8710,0.184,-0.038,-0.929,0.948
2020-12-10 13:17:37.8810,0.145,-0.079,-0.827,0.843
2020-12-10 13:17:37.8910,0.105,-0.111,-0.745,0.761
2020-12-10 13:17:37.9010,0.082,-0.136,-0.685,0.703
2020-12-10 13:17:37.9110,0.075,-0.15,-0.656,0.677
2020-12-10 13:17:37.9210,0.081,-0.15,-0.652,0.674
2020-12-10 13:17:37.9540,0.119,-0.123,-0.746,0.765
2020-12-10 13:17:37.9540,0.119,-0.123,-0.746,0.765
2020-12-10 13:17:37.9540,0.119,-0.123,-0.746,0.765
2020-12-10 13:17:37.9610,0.13,-0.117,-0.787,0.806
2020-12-10 13:17:37.9710,0.139,-0.11,-0.818,0.837
2020-12-10 13:17:37.9820,0.15,-0.101,-0.845,0.864
2020-12-10 13:17:37.9910,0.158,-0.097,-0.87,0.89
2020-12-10 13:17:38.0010,0.147,-0.1,-0.901,0.918
2020-12-10 13:17:38.0120,0.112,-0.098,-0.934,0.946
2020-12-10 13:17:38.0220,0.071,-0.09,-0.96,0.967
2020-12-10 13:17:38.0560,0.002,-0.097,-1.037,1.042
2020-12-10 13:17:38.0570,0.002,-0.097,-1.037,1.042
2020-12-10 13:17:38.0570,0.002,-0.097,-1.037,1.042
2020-12-10 13:17:38.0610,-0.012,-0.103,-1.046,1.051
2020-12-10 13:17:38.0710,-0.021,-0.108,-1.043,1.049
2020-12-10 13:17:38.0820,-0.028,-0.111,-1.029,1.035
2020-12-10 13:17:38.0910,-0.029,-0.122,-0.998,1.006
2020-12-10 13:17:38.1020,-0.021,-0.139,-0.949,0.959
2020-12-10 13:17:38.1120,-0.012,-0.157,-0.894,0.908
2020-12-10 13:17:38.1220,-0.007,-0.176,-0.843,0.861
2020-12-10 13:17:38.1580,-0.007,-0.236,-0.727,0.764
2020-12-10 13:17:38.1580,-0.007,-0.236,-0.727,0.764
2020-12-10 13:17:38.1580,-0.007,-0.236,-0.727,0.764
2020-12-10 13:17:38.1610,-0.007,-0.255,-0.709,0.753
2020-12-10 13:17:38.1710,-0.008,-0.27,-0.706,0.756
2020-12-10 13:17:38.1820,-0.009,-0.283,-0.711,0.765
2020-12-10 13:17:38.1920,-0.006,-0.295,-0.722,0.78
2020-12-10 13:17:38.2020,0.005,-0.298,-0.755,0.812
2020-12-10 13:17:38.2120,0.022,-0.287,-0.827,0.876
2020-12-10 13:17:38.2220,0.037,-0.267,-0.922,0.961
2020-12-10 13:17:38.2530,0.079,-0.228,-1.148,1.173
2020-12-10 13:17:38.2540,0.079,-0.228,-1.148,1.173
2020-12-10 13:17:38.2540,0.079,-0.228,-1.148,1.173
2020-12-10 13:17:38.2620,0.087,-0.226,-1.193,1.217
2020-12-10 13:17:38.2720,0.083,-0.212,-1.21,1.231
2020-12-10 13:17:38.2820,0.078,-0.199,-1.206,1.225
2020-12-10 13:17:38.2920,0.081,-0.197,-1.195,1.214
2020-12-10 13:17:38.3020,0.096,-0.201,-1.192,1.213
2020-12-10 13:17:38.3130,0.114,-0.218,-1.187,1.212
2020-12-10 13:17:38.3220,0.123,-0.229,-1.17,1.199
2020-12-10 13:17:38.3570,0.03,-0.232,-1.162,1.185
2020-12-10 13:17:38.3580,0.03,-0.232,-1.162,1.185
2020-12-10 13:17:38.3580,0.03,-0.232,-1.162,1.185
2020-12-10 13:17:38.3620,-0.013,-0.223,-1.191,1.212
2020-12-10 13:17:38.3720,-0.038,-0.201,-1.225,1.242
2020-12-10 13:17:38.3820,-0.051,-0.178,-1.251,1.265
2020-12-10 13:17:38.3920,-0.057,-0.14,-1.254,1.263
2020-12-10 13:17:38.4020,-0.043,-0.096,-1.244,1.248
2020-12-10 13:17:38.4120,-0.0,-0.054,-1.236,1.237
2020-12-10 13:17:38.4220,0.051,-0.02,-1.226,1.227
2020-12-10 13:17:38.4560,0.113,0.028,-1.145,1.151
2020-12-10 13:17:38.4560,0.113,0.028,-1.145,1.151
2020-12-10 13:17:38.4570,0.113,0.028,-1.145,1.151
2020-12-10 13:17:38.4620,0.097,0.012,-1.087,1.091
2020-12-10 13:17:38.4720,0.074,-0.026,-1.019,1.022
2020-12-10 13:17:38.4830,0.046,-0.07,-0.951,0.955
2020-12-10 13:17:38.4920,0.011,-0.106,-0.885,0.891
2020-12-10 13:17:38.5020,-0.027,-0.136,-0.818,0.83
2020-12-10 13:17:38.5130,-0.058,-0.165,-0.765,0.785
2020-12-10 13:17:38.5230,-0.077,-0.19,-0.733,0.761
2020-12-10 13:17:38.5580,-0.028,-0.183,-0.778,0.8
2020-12-10 13:17:38.5580,-0.028,-0.183,-0.778,0.8
2020-12-10 13:17:38.5580,-0.028,-0.183,-0.778,0.8
2020-12-10 13:17:38.5620,0.011,-0.158,-0.831,0.846
2020-12-10 13:17:38.5720,0.051,-0.135,-0.877,0.889
2020-12-10 13:17:38.5830,0.091,-0.118,-0.913,0.925
2020-12-10 13:17:38.5920,0.126,-0.109,-0.933,0.948
2020-12-10 13:17:38.6030,0.151,-0.108,-0.934,0.952
2020-12-10 13:17:38.6120,0.162,-0.114,-0.916,0.937
2020-12-10 13:17:38.6230,0.16,-0.128,-0.885,0.908
2020-12-10 13:17:38.6570,0.116,-0.174,-0.769,0.797
2020-12-10 13:17:38.6570,0.116,-0.174,-0.769,0.797
2020-12-10 13:17:38.6570,0.116,-0.174,-0.769,0.797
2020-12-10 13:17:38.6620,0.099,-0.178,-0.734,0.762
2020-12-10 13:17:38.6720,0.085,-0.179,-0.708,0.735
