time,gFx,gFy,gFz,acc
23:44.8,-0.021,-0.23,-1.071,1.096
23:44.8,-0.018,-0.221,-1.077,1.1
23:44.9,-0.014,-0.25,-1.057,1.086
23:44.9,-0.014,-0.25,-1.057,1.086
23:44.9,-0.014,-0.25,-1.057,1.086
23:44.9,0.01,-0.279,-1.083,1.118
23:44.9,0.017,-0.308,-1.123,1.165
23:44.9,-0.033,-0.319,-1.165,1.208
23:44.9,-0.124,-0.319,-1.221,1.268
23:44.9,-0.197,-0.315,-1.283,1.336
23:44.9,-0.221,-0.279,-1.329,1.376
23:44.9,-0.205,-0.216,-1.338,1.371
23:45.0,-0.064,-0.073,-1.253,1.257
23:45.0,-0.064,-0.073,-1.253,1.257
23:45.0,-0.064,-0.073,-1.253,1.257
23:45.0,-0.024,-0.071,-1.245,1.247
23:45.0,-0.014,-0.07,-1.247,1.249
23:45.0,-0.03,-0.062,-1.235,1.237
23:45.0,-0.058,-0.063,-1.213,1.216
23:45.0,-0.078,-0.073,-1.187,1.192
23:45.0,-0.081,-0.091,-1.152,1.158
23:45.0,-0.079,-0.116,-1.101,1.11
23:45.1,-0.099,-0.182,-0.898,0.922
23:45.1,-0.099,-0.182,-0.898,0.922
23:45.1,-0.099,-0.182,-0.898,0.922
23:45.1,-0.116,-0.174,-0.849,0.874
23:45.1,-0.125,-0.167,-0.825,0.851
23:45.1,-0.121,-0.162,-0.821,0.846
23:45.1,-0.115,-0.167,-0.831,0.855
23:45.1,-0.109,-0.177,-0.851,0.876
23:45.1,-0.107,-0.181,-0.868,0.893
23:45.1,-0.102,-0.171,-0.875,0.897
23:45.2,-0.033,-0.161,-0.824,0.84
23:45.2,-0.033,-0.161,-0.824,0.84
23:45.2,-0.033,-0.161,-0.824,0.84
23:45.2,-0.016,-0.171,-0.771,0.79
23:45.2,-0.007,-0.196,-0.731,0.757
23:45.2,0.002,-0.219,-0.703,0.736
23:45.2,0.004,-0.23,-0.678,0.716
23:45.2,-0.013,-0.239,-0.66,0.702
23:45.2,-0.033,-0.252,-0.667,0.714
23:45.2,-0.049,-0.268,-0.688,0.74
23:45.3,-0.09,-0.291,-0.722,0.784
23:45.3,-0.09,-0.291,-0.722,0.784
23:45.3,-0.09,-0.291,-0.722,0.784
23:45.3,-0.092,-0.305,-0.739,0.805
23:45.3,-0.09,-0.317,-0.765,0.833
23:45.3,-0.092,-0.328,-0.806,0.875
23:45.3,-0.099,-0.327,-0.86,0.925
23:45.3,-0.105,-0.317,-0.915,0.974
23:45.3,-0.11,-0.308,-0.973,1.026
23:45.3,-0.114,-0.301,-1.027,1.076
23:45.4,-0.117,-0.291,-1.102,1.146
23:45.4,-0.117,-0.291,-1.102,1.146
23:45.4,-0.117,-0.291,-1.102,1.146
23:45.4,-0.106,-0.292,-1.09,1.133
23:45.4,-0.096,-0.301,-1.062,1.108
23:45.4,-0.087,-0.317,-1.036,1.087
23:45.4,-0.081,-0.336,-1.033,1.089
23:45.4,-0.072,-0.348,-1.05,1.109
23:45.4,-0.048,-0.355,-1.079,1.137
23:45.4,-0.016,-0.362,-1.095,1.153
23:45.5,-0.064,-0.35,-1.174,1.227
23:45.5,-0.064,-0.35,-1.174,1.227
23:45.5,-0.064,-0.35,-1.174,1.227
23:45.5,-0.105,-0.33,-1.24,1.287
23:45.5,-0.127,-0.292,-1.313,1.351
23:45.5,-0.116,-0.238,-1.38,1.405
23:45.5,-0.076,-0.185,-1.415,1.429
23:45.5,-0.025,-0.138,-1.408,1.415
23:45.5,0.022,-0.094,-1.36,1.363
23:45.5,0.058,-0.057,-1.295,1.298
23:45.6,0.118,-0.055,-1.092,1.1
23:45.6,0.118,-0.055,-1.092,1.1
23:45.6,0.118,-0.055,-1.092,1.1
23:45.6,0.111,-0.077,-1.019,1.028
23:45.6,0.093,-0.1,-0.949,0.959
23:45.6,0.074,-0.124,-0.886,0.898
