time,gFx,gFy,gFz,acc
19:37.6,0.022,-0.053,-0.886,0.888
19:37.6,0.022,-0.053,-0.886,0.888
19:37.6,0.071,-0.081,-0.915,0.921
19:37.6,0.069,-0.103,-0.896,0.905
19:37.6,0.046,-0.111,-0.866,0.874
19:37.6,0.022,-0.132,-0.842,0.853
19:37.6,-0.004,-0.168,-0.818,0.835
19:37.6,-0.029,-0.207,-0.793,0.82
19:37.6,-0.057,-0.245,-0.767,0.807
19:37.6,-0.077,-0.275,-0.748,0.801
19:37.7,-0.08,-0.283,-0.736,0.793
19:37.7,-0.08,-0.283,-0.736,0.793
19:37.7,-0.058,-0.268,-0.744,0.793
19:37.7,-0.029,-0.25,-0.76,0.801
19:37.7,-0.011,-0.246,-0.79,0.827
19:37.7,-0.021,-0.26,-0.836,0.876
19:37.7,-0.057,-0.27,-0.888,0.93
19:37.7,-0.097,-0.282,-0.931,0.978
19:37.7,-0.125,-0.292,-0.96,1.011
19:37.7,-0.144,-0.29,-0.965,1.018
19:37.8,-0.116,-0.296,-0.913,0.967
19:37.8,-0.116,-0.296,-0.913,0.967
19:37.8,-0.116,-0.296,-0.913,0.967
19:37.8,-0.112,-0.301,-0.932,0.986
19:37.8,-0.104,-0.298,-0.955,1.006
19:37.8,-0.094,-0.29,-0.977,1.023
19:37.8,-0.085,-0.283,-0.999,1.042
19:37.8,-0.079,-0.278,-1.029,1.069
19:37.8,-0.078,-0.271,-1.064,1.101
19:37.8,-0.07,-0.279,-1.113,1.15
19:37.9,-0.049,-0.304,-1.225,1.263
19:37.9,-0.049,-0.304,-1.225,1.263
19:37.9,-0.049,-0.304,-1.225,1.263
19:37.9,-0.075,-0.281,-1.237,1.271
19:37.9,-0.092,-0.267,-1.25,1.282
19:37.9,-0.1,-0.245,-1.28,1.307
19:37.9,-0.102,-0.197,-1.324,1.342
19:37.9,-0.094,-0.137,-1.37,1.38
19:37.9,-0.076,-0.082,-1.398,1.402
19:38.0,-0.044,-0.045,-1.408,1.409
19:38.0,0.036,-0.061,-1.329,1.331
19:38.0,0.036,-0.061,-1.329,1.331
19:38.0,0.036,-0.061,-1.329,1.331
19:38.0,0.028,-0.077,-1.266,1.269
19:38.0,0.001,-0.098,-1.186,1.19
19:38.0,-0.03,-0.117,-1.096,1.103
19:38.0,-0.053,-0.136,-1.011,1.021
19:38.0,-0.062,-0.153,-0.932,0.947
19:38.0,-0.064,-0.164,-0.868,0.886
19:38.1,-0.071,-0.169,-0.826,0.846
19:38.1,-0.087,-0.17,-0.838,0.859
19:38.1,-0.087,-0.17,-0.838,0.859
19:38.1,-0.087,-0.17,-0.838,0.859
19:38.1,-0.093,-0.163,-0.867,0.887
19:38.1,-0.086,-0.152,-0.887,0.904
19:38.1,-0.063,-0.141,-0.892,0.905
19:38.1,-0.036,-0.132,-0.879,0.89
19:38.1,-0.009,-0.126,-0.85,0.859
19:38.1,0.009,-0.122,-0.81,0.819
19:38.2,0.017,-0.121,-0.761,0.771
19:38.2,0.018,-0.171,-0.633,0.656
19:38.2,0.018,-0.171,-0.633,0.656
19:38.2,0.018,-0.171,-0.633,0.656
19:38.2,0.017,-0.195,-0.614,0.644
19:38.2,0.012,-0.218,-0.61,0.648
19:38.2,0.001,-0.239,-0.616,0.661
19:38.2,-0.018,-0.26,-0.626,0.678
19:38.2,-0.046,-0.281,-0.639,0.7
19:38.2,-0.069,-0.298,-0.658,0.726
19:38.3,-0.078,-0.31,-0.684,0.755
19:38.3,-0.041,-0.313,-0.826,0.884
19:38.3,-0.041,-0.313,-0.826,0.884
19:38.3,-0.041,-0.313,-0.826,0.884
19:38.3,-0.036,-0.306,-0.875,0.928
19:38.3,-0.035,-0.307,-0.912,0.963
19:38.3,-0.032,-0.315,-0.937,0.989
19:38.3,-0.027,-0.325,-0.957,1.011
19:38.3,-0.018,-0.337,-0.973,1.03
19:38.3,-0.009,-0.346,-0.98,1.039
19:38.4,-0.004,-0.354,-0.982,1.044
19:38.4,0.021,-0.379,-1.01,1.079
19:38.4,0.021,-0.379,-1.01,1.079
19:38.4,0.021,-0.379,-1.01,1.079
19:38.4,0.037,-0.39,-1.04,1.111
19:38.4,0.045,-0.397,-1.092,1.163
19:38.4,0.048,-0.401,-1.146,1.215
19:38.4,0.051,-0.418,-1.186,1.259
19:38.4,0.042,-0.439,-1.209,1.287
19:38.4,0.004,-0.442,-1.226,1.303
19:38.5,-0.049,-0.428,-1.266,1.337
19:38.5,-0.106,-0.375,-1.406,1.459
19:38.5,-0.106,-0.375,-1.406,1.459
19:38.5,-0.111,-0.322,-1.473,1.512
19:38.5,-0.099,-0.258,-1.506,1.531
19:38.5,-0.07,-0.203,-1.497,1.512
19:38.5,-0.032,-0.168,-1.448,1.458
19:38.5,0.01,-0.14,-1.37,1.377
19:38.5,0.05,-0.117,-1.277,1.283
19:38.5,0.079,-0.102,-1.185,1.192
19:38.6,0.104,-0.098,-1.098,1.107
19:38.6,0.126,-0.124,-0.883,0.901
19:38.6,0.126,-0.124,-0.883,0.901
19:38.6,0.126,-0.124,-0.883,0.901
19:38.6,0.114,-0.144,-0.832,0.852
19:38.6,0.098,-0.164,-0.786,0.809
19:38.6,0.08,-0.19,-0.737,0.765
19:38.6,0.071,-0.219,-0.686,0.724
19:38.6,0.066,-0.246,-0.638,0.687
19:38.6,0.058,-0.268,-0.595,0.655
19:38.7,0.045,-0.283,-0.573,0.641
19:38.7,0.001,-0.305,-0.661,0.728
19:38.7,0.001,-0.305,-0.661,0.728
19:38.7,0.001,-0.305,-0.661,0.728
19:38.7,0.019,-0.288,-0.717,0.773
19:38.7,0.057,-0.263,-0.774,0.819
19:38.7,0.091,-0.237,-0.829,0.867
19:38.7,0.113,-0.214,-0.878,0.911
19:38.7,0.125,-0.196,-0.915,0.944
19:38.7,0.125,-0.189,-0.942,0.969
19:38.8,0.114,-0.194,-0.956,0.982
19:38.8,0.042,-0.239,-0.93,0.961
19:38.8,0.042,-0.239,-0.93,0.961
19:38.8,0.042,-0.239,-0.93,0.961
19:38.8,0.018,-0.259,-0.901,0.938
19:38.8,0.007,-0.274,-0.865,0.907
19:38.8,0.006,-0.284,-0.831,0.878
19:38.8,0.004,-0.297,-0.806,0.859
19:38.8,0.004,-0.31,-0.795,0.853
19:38.8,0.005,-0.322,-0.795,0.858
19:38.9,0.001,-0.326,-0.81,0.873
19:38.9,0.001,-0.31,-0.91,0.961
19:38.9,0.001,-0.31,-0.91,0.961
19:38.9,0.001,-0.31,-0.91,0.961
19:38.9,0.01,-0.307,-0.954,1.002
19:38.9,0.015,-0.306,-0.998,1.044
19:38.9,0.019,-0.303,-1.032,1.076
19:38.9,0.028,-0.302,-1.055,1.098
19:38.9,0.033,-0.303,-1.074,1.116
19:38.9,0.026,-0.3,-1.096,1.137
19:39.0,0.019,-0.304,-1.123,1.164
19:39.0,0.077,-0.358,-1.14,1.197
19:39.0,0.077,-0.358,-1.14,1.197
19:39.0,0.077,-0.358,-1.14,1.197
19:39.0,0.078,-0.355,-1.104,1.162
19:39.0,0.074,-0.372,-1.077,1.142
19:39.0,0.058,-0.388,-1.065,1.135
19:39.0,0.028,-0.379,-1.084,1.149
19:39.0,0.006,-0.342,-1.134,1.184
19:39.0,0.014,-0.292,-1.206,1.241
19:39.1,0.047,-0.237,-1.282,1.305
19:39.1,0.146,-0.069,-1.396,1.405
19:39.1,0.146,-0.069,-1.396,1.405
19:39.1,0.146,-0.069,-1.396,1.405
19:39.1,0.177,-0.053,-1.367,1.379
19:39.1,0.184,-0.048,-1.306,1.32
19:39.1,0.159,-0.047,-1.23,1.241
19:39.1,0.11,-0.051,-1.148,1.154
19:39.1,0.057,-0.076,-1.07,1.074
19:39.1,0.011,-0.12,-1.004,1.011
19:39.2,-0.039,-0.159,-0.942,0.956
19:39.2,-0.089,-0.189,-0.888,0.912
19:39.2,-0.133,-0.215,-0.847,0.884
19:39.2,-0.159,-0.232,-0.813,0.86
19:39.2,-0.164,-0.236,-0.789,0.84
19:39.2,-0.148,-0.231,-0.772,0.819
19:39.2,-0.116,-0.217,-0.768,0.806
19:39.2,-0.073,-0.199,-0.773,0.802
19:39.2,-0.032,-0.186,-0.775,0.798
19:39.2,0.005,-0.175,-0.772,0.792
19:39.3,0.034,-0.17,-0.765,0.784
19:39.3,0.055,-0.167,-0.75,0.77
19:39.3,0.071,-0.174,-0.726,0.75
19:39.3,0.08,-0.189,-0.692,0.722
19:39.3,0.083,-0.205,-0.661,0.697
19:39.3,0.087,-0.22,-0.635,0.678
19:39.3,0.092,-0.231,-0.619,0.667
19:39.3,0.096,-0.247,-0.614,0.669
19:39.3,0.088,-0.269,-0.622,0.683
19:39.3,0.073,-0.285,-0.645,0.709
19:39.4,0.057,-0.3,-0.673,0.739
19:39.4,0.045,-0.332,-0.72,0.794
19:39.4,0.045,-0.332,-0.72,0.794
19:39.4,0.05,-0.34,-0.736,0.812
19:39.4,0.057,-0.347,-0.752,0.83
19:39.4,0.059,-0.354,-0.775,0.854
19:39.4,0.055,-0.36,-0.802,0.881
19:39.4,0.052,-0.368,-0.839,0.918
19:39.4,0.06,-0.376,-0.883,0.962
19:39.4,0.069,-0.384,-0.944,1.021
19:39.5,0.071,-0.386,-1.012,1.085
19:39.5,0.029,-0.401,-1.185,1.251
19:39.5,0.029,-0.401,-1.185,1.251
19:39.5,0.029,-0.401,-1.185,1.251
19:39.5,0.016,-0.412,-1.231,1.298
19:39.5,0.003,-0.416,-1.269,1.335
19:39.5,0.005,-0.414,-1.303,1.367
19:39.5,0.031,-0.423,-1.331,1.397
19:39.5,0.063,-0.435,-1.333,1.404
19:39.5,0.071,-0.425,-1.32,1.389
19:39.6,0.068,-0.411,-1.329,1.393
19:39.6,0.089,-0.386,-1.397,1.452
19:39.6,0.089,-0.386,-1.397,1.452
19:39.6,0.11,-0.341,-1.42,1.465
19:39.6,0.149,-0.294,-1.43,1.467
19:39.6,0.202,-0.254,-1.431,1.467
19:39.6,0.239,-0.21,-1.407,1.443
19:39.6,0.255,-0.166,-1.355,1.389
19:39.6,0.267,-0.139,-1.274,1.309
19:39.6,0.273,-0.136,-1.178,1.217
19:39.7,0.265,-0.141,-1.083,1.124
19:39.7,0.181,-0.148,-0.871,0.902
19:39.7,0.181,-0.148,-0.871,0.902
19:39.7,0.181,-0.148,-0.871,0.902
19:39.7,0.166,-0.157,-0.813,0.844
19:39.7,0.161,-0.161,-0.766,0.799
19:39.7,0.157,-0.157,-0.729,0.762
19:39.7,0.155,-0.154,-0.703,0.736
19:39.7,0.147,-0.153,-0.684,0.716
19:39.7,0.138,-0.155,-0.675,0.706
19:39.8,0.129,-0.157,-0.677,0.707
19:39.8,0.121,-0.148,-0.685,0.711
19:39.8,0.121,-0.148,-0.685,0.711
